prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
21.05,21.05,0.0,DONATI Massimiliano,1979,SM,G.A. FIAMME GIALLE,2 ba- 6,Madrid,2005-03-05,https://www.fidal.it/atleta/DONATI-Massimiliano/f6iRlZKibmY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
21.11,21.11,0.0,DONATI Massimiliano,1979,SM,G.A. FIAMME GIALLE,4 sf- 3,Madrid,2005-03-05,https://www.fidal.it/atleta/DONATI-Massimiliano/f6iRlZKibmY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
21.16,21.16,0.0,DONATI Massimiliano,1979,SM,G.A. FIAMME GIALLE,1 se- 1,Ancona,2005-02-12,https://www.fidal.it/atleta/DONATI-Massimiliano/f6iRlZKibmY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
21.16,21.16,0.0,DONATI Massimiliano,1979,SM,G.A. FIAMME GIALLE,1 se- 1,Ancona,2005-02-12,https://www.fidal.it/atleta/DONATI-Massimiliano/f6iRlZKibmY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
21.31,21.31,0.0,DONATI Massimiliano,1979,SM,G.A. FIAMME GIALLE,1 fi- 1,Ancona,2005-02-20,https://www.fidal.it/atleta/DONATI-Massimiliano/f6iRlZKibmY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
21.48,21.48,0.0,MARSADRI Marco,1981,SM,C.S. AERONAUTICA MILITARE,1 se- 1,Genova Palasport,2005-02-13,https://www.fidal.it/atleta/MARSADRI-Marco/dq2RkpOlaGk%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
21.62,21.62,0.0,DONATI Massimiliano,1979,SM,G.A. FIAMME GIALLE,1 sf- 1,Ancona,2005-02-20,https://www.fidal.it/atleta/DONATI-Massimiliano/f6iRlZKibmY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
21.7,21.70,0.0,SCALPELLI Marco,1982,SM,ATL. AVIS MACERATA,1 se- 1,Ancona,2005-02-14,https://www.fidal.it/atleta/SCALPELLI-Marco/e6iRkpuhbmo%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
21.71,21.71,0.0,SALVUCCI Marco,1976,SM,C.S. CARABINIERI SEZ. ATLETICA,2 sf- 1,Ancona,2005-02-20,https://www.fidal.it/atleta/SALVUCCI-Marco/e6iRkpOibGw%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
21.76,21.76,0.0,BRACIOLA Stefano,1975,SM,SPORT CLUB CATANIA A.S.D.,2 fi- 1,Ancona,2005-02-20,https://www.fidal.it/atleta/BRACIOLA-Stefano/f6iRlpqlb2g%3D,https://www.fidal.it/societa/SPORT-CLUB-CATANIA-A-S-D-/CT075
21.81,21.81,0.0,DONATI Roberto,1983,PM,C.S. ESERCITO,1 fi- 1,Genova,2005-02-06,https://www.fidal.it/atleta/DONATI-Roberto/f6iRlZKobWw%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
21.84,21.84,0.0,RAO Domenico,1977,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 2,Ancona,2005-02-14,https://www.fidal.it/atleta/RAO-Domenico/h6iRkpahaWo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
