prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
70.8,1:10.80,e,ACCIARI Virginia,1990,CF,ATLETICA VARAZZE,4 su- 1,Genova Palasport,2005-02-09,https://www.fidal.it/atleta/ACCIARI-Virginia/daiRk5SlcGs%3D,https://www.fidal.it/societa/ATLETICA-VARAZZE/SV019
47.25,47.25,e,GALLETTI Luca,1980,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Genova Palasport,2005-01-30,https://www.fidal.it/atleta/GALLETTI-Luca/eqiRk5WocGc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
47.39,47.39,e,GALLETTI Luca,1980,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Genova Palasport,2005-02-09,https://www.fidal.it/atleta/GALLETTI-Luca/eqiRk5WocGc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
47.53,47.53,e,AMANFU Jens yao,1980,SM,A.S. LA FRATELLANZA 1874,2 se- 1,Genova Palasport,2005-02-09,https://www.fidal.it/atleta/AMANFU-Jens-yao/eqiRlJOmbmk%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
47.54,47.54,e,SALVUCCI Marco,1976,SM,C.S. CARABINIERI SEZ. ATLETICA,3 se- 1,Genova Palasport,2005-02-09,https://www.fidal.it/atleta/SALVUCCI-Marco/e6iRkpOibGw%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
47.56,47.56,e,LICCIARDELLO Claudio,1986,JM,A.S. DIL. LIBERTAS CATANIA,1 fi- 1,Genova,2005-02-05,https://www.fidal.it/atleta/LICCIARDELLO-Claudio/h6iRlZWhaGQ%3D,https://www.fidal.it/societa/A-S--DIL--LIBERTAS-CATANIA/CT073
47.88,47.88,e,CARABELLI Gianni,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,1 ba- 3,Ancona,2005-02-19,https://www.fidal.it/atleta/CARABELLI-Gianni/dqiRkpimaWo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
47.89,47.89,e,USAI Pietro,1981,SM,C.S. ESERCITO,1 se- 3,Genova Palasport,2005-02-09,https://www.fidal.it/atleta/USAI-Pietro/iKiRk5Kiamg%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
47.91,47.91,e,GALLETTI Luca,1980,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 5,Ancona,2005-02-13,https://www.fidal.it/atleta/GALLETTI-Luca/eqiRk5WocGc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
47.91,47.91,e,GALLETTI Luca,1980,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 5,Ancona,2005-02-13,https://www.fidal.it/atleta/GALLETTI-Luca/eqiRk5WocGc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
