prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
19.2,DI MAGGIO Marco,1983,SM,C.S. AERONAUTICA MILITARE,1 su- 1,Ancona,2007-02-18,https://www.fidal.it/atleta/DI-MAGGIO-Marco/h6iRlJmkbGw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
18.88,DODONI Marco,1972,SM35,G.S. FORESTALE,2 su- 1,Ancona,2007-02-18,https://www.fidal.it/atleta/DODONI-Marco/f6iRkpKmbms%3D,https://www.fidal.it/societa/G-S--FORESTALE/RI224
18.62,DODONI Marco,1972,SM35,G.S. FORESTALE,1 su- 1,Padova,2007-02-03,https://www.fidal.it/atleta/DODONI-Marco/f6iRkpKmbms%3D,https://www.fidal.it/societa/G-S--FORESTALE/RI224
18.53,DI MAGGIO Marco,1983,SM,C.S. AERONAUTICA MILITARE,1 se- 1,Ancona,2007-02-04,https://www.fidal.it/atleta/DI-MAGGIO-Marco/h6iRlJmkbGw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
18.1,CAPPONI Paolo,1976,SM,G.S. FIAMME ORO PADOVA,3 su- 1,Ancona,2007-02-18,https://www.fidal.it/atleta/CAPPONI-Paolo/e6iRkpKlaWc%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
17.54,MANNUCCI Eugenio umberto,1986,PM,G.A. FIAMME GIALLE,2 se- 1,Ancona,2007-02-04,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
17.26,MANNUCCI Eugenio umberto,1986,PM,G.A. FIAMME GIALLE,1 su- 1,Genova,2007-02-24,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
17.03,MANNUCCI Eugenio umberto,1986,PM,G.A. FIAMME GIALLE,4 su- 1,Ancona,2007-02-18,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
16.4,APOLITO Aldo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,5 su- 1,Ancona,2007-02-18,https://www.fidal.it/atleta/APOLITO-Aldo/e6iRkpqjaWg%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
16.33,FALOCI Giovanni,1985,PM,G.A. FIAMME GIALLE,2 su- 1,Genova,2007-02-24,https://www.fidal.it/atleta/FALOCI-Giovanni/fqiRk5ihamU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
16.28,FALOCI Giovanni,1985,PM,G.A. FIAMME GIALLE,1 su- 1,Firenze,2007-01-30,https://www.fidal.it/atleta/FALOCI-Giovanni/fqiRk5ihamU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
16.25,RICCI Andrea,1985,PM,A.S.D. POL. LIBERTAS CATANIA,6 su- 1,Ancona,2007-02-18,https://www.fidal.it/atleta/RICCI-Andrea/fqiRk5Kga2U%3D,https://www.fidal.it/societa/A-S-D--POL--LIBERTAS-CATANIA/CT073
16.21,RICCI Andrea,1985,PM,A.S.D. POL. LIBERTAS CATANIA,2 su- 1,Padova,2007-02-03,https://www.fidal.it/atleta/RICCI-Andrea/fqiRk5Kga2U%3D,https://www.fidal.it/societa/A-S-D--POL--LIBERTAS-CATANIA/CT073
16.15,FALOCI Giovanni,1985,PM,G.A. FIAMME GIALLE,3 se- 1,Ancona,2007-02-04,https://www.fidal.it/atleta/FALOCI-Giovanni/fqiRk5ihamU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
16.08,FALOCI Giovanni,1985,PM,G.A. FIAMME GIALLE,7 su- 1,Ancona,2007-02-18,https://www.fidal.it/atleta/FALOCI-Giovanni/fqiRk5ihamU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
16.02,APOLITO Aldo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Ancona,2007-02-10,https://www.fidal.it/atleta/APOLITO-Aldo/e6iRkpqjaWg%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
15.74,CIBOLINI Matteo,1973,SM,PRO SESTO ATL.,8 su- 1,Ancona,2007-02-18,https://www.fidal.it/atleta/CIBOLINI-Matteo/dqiRkpSobmc%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
15.73,CIBOLINI Matteo,1973,SM,PRO SESTO ATL.,3 su- 1,Padova,2007-02-03,https://www.fidal.it/atleta/CIBOLINI-Matteo/dqiRkpSobmc%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
15.68,APOLITO Aldo,1984,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Ancona,2007-01-20,https://www.fidal.it/atleta/APOLITO-Aldo/e6iRkpqjaWg%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
