prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
1143.38,19:03.38,e,GANDELLINI Alessandro,1973,SM,G.S. FIAMME ORO PADOVA,1 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/GANDELLINI-Alessandro/eKiRk5ejbGo%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
1160.0,19:20.00,e,DIDONI Michele,1974,SM,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/DIDONI-Michele/dqiRkpWgcGY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
1166.51,19:26.51,e,RUBINO Giorgio,1986,JM,G.A. FIAMME GIALLE,3 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/RUBINO-Giorgio/f6iRlpakamU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
1168.35,19:28.1,m,PALUMBO Gian piero,1981,SM,LIB. POL. AMAT. ATL. BN,1 su- 1,Napoli,2005-01-22,https://www.fidal.it/atleta/PALUMBO-Gian-piero/gKiRlJKgamo%3D,https://www.fidal.it/societa/LIB--POL--AMAT--ATL--BN/BN026
1168.85,19:28.85,e,CIVALLERO Lorenzo,1975,SM,C.S. CARABINIERI SEZ. ATLETICA,4 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/CIVALLERO-Lorenzo/dKiRkpSfbmc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
1169.95,19:29.7,m,PALUMBO Gian piero,1981,SM,LIB. POL. AMAT. ATL. BN,1 su- 1,Napoli,2005-01-09,https://www.fidal.it/atleta/PALUMBO-Gian-piero/gKiRlJKgamo%3D,https://www.fidal.it/societa/LIB--POL--AMAT--ATL--BN/BN026
1171.39,19:31.39,e,MANFREDINI Andrea,1978,SM,G.A. FIAMME GIALLE,5 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/MANFREDINI-Andrea/faiRkpSfa2M%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
1178.2,19:38.20,e,TROMBETTI Gian luca,1977,SM,SPORT CLUB CATANIA A.S.D.,6 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/TROMBETTI-Gian-luca/eqiRkpOhamM%3D,https://www.fidal.it/societa/SPORT-CLUB-CATANIA-A-S-D-/CT075
1181.35,19:41.35,e,LANG Enrico,1972,SM,C.S. FORESTALE,7 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/LANG-Enrico/f6iRkpKkbWY%3D,https://www.fidal.it/societa/C-S--FORESTALE/RI224
1203.05,20:02.8,m,MUCCI Vittorino,1974,SM,ATL.ASICS FIRENZE MARATHON,2 su- 1,Napoli,2005-01-22,https://www.fidal.it/atleta/MUCCI-Vittorino/g6iRkpKhbmQ%3D,https://www.fidal.it/societa/ATL-ASICS-FIRENZE-MARATHON/FI002
