prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
9.79,9.79,e,FORCELLINI Carla,1959,SF45,A.S.D. POL. EUROPA CAPACI,1 se- 1,Ancona,2007-03-03,https://www.fidal.it/atleta/FORCELLINI-Carla/f6iRkpKncGM%3D,https://www.fidal.it/societa/A-S-D--POL--EUROPA-CAPACI/PA335
9.9,9.90,e,FORCELLINI Carla,1959,SF50,ATLETICA GRAN SASSO SSD A R.L.,4 su- 1,Ancona,2009-03-28,https://www.fidal.it/atleta/FORCELLINI-Carla/f6iRkpKncGM%3D,https://www.fidal.it/societa/ATLETICA-GRAN-SASSO-SSD-A-R-L-/TE138
10.3,10.30,e,DODI Elisabetta,1970,SF40,POLISPORTIVA TRIVENETO TRIESTE,2 su- 1,Ancona,2010-02-20,https://www.fidal.it/atleta/DODI-Elisabetta/eaiRkpKicGk%3D,https://www.fidal.it/societa/POLISPORTIVA-TRIVENETO-TRIESTE/TS099
10.52,10.52,e,DODI Elisabetta,1970,SF40,POLISPORTIVA TRIVENETO TRIESTE,3 su- 1,Ancona,2011-03-05,https://www.fidal.it/atleta/DODI-Elisabetta/eaiRkpKicGk%3D,https://www.fidal.it/societa/POLISPORTIVA-TRIVENETO-TRIESTE/TS099
9.98,9.98,e,AIDI Miriam,1997,CF,A.S.D.  ATL. MARANO,1 se- 1,Napoli Ponticelli,2012-01-08,https://www.fidal.it/atleta/AIDI-Miriam/gKyRkpOmbWQ%3D,https://www.fidal.it/societa/A-S-D--ATL--MARANO/NA019
10.43,10.43,e,BOTTICELLA Andrea,1997,CF,A.S.D. POLISPORTIVA ASTRO 2000,2 se- 1,Napoli Ponticelli,2012-01-08,https://www.fidal.it/atleta/BOTTICELLA-Andrea/gKqRkpKibmU%3D,https://www.fidal.it/societa/A-S-D--POLISPORTIVA-ASTRO-2000/BN286
11.68,11.68,e,CACCIAPUOTI Vincenza,1997,CF,A.S.D.  ATL. MARANO,3 se- 1,Napoli Ponticelli,2012-01-08,https://www.fidal.it/atleta/CACCIAPUOTI-Vincenza/gKyRkpSlb2Q%3D,https://www.fidal.it/societa/A-S-D--ATL--MARANO/NA019
10.21,10.21,e,FERRARINI Barbara,1967,SF45,ATL. VIRTUS CASTENEDOLO,1 su- 1,Ancona,2014-03-08,https://www.fidal.it/atleta/FERRARINI-Barbara/dqiRkpWhbWg%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
10.26,10.26,e,DE LUCA Rebecka,1972,SF40,ATL. ROMA ACQUACETOSA,3 se- 2,Budapest,2014-03-25,https://www.fidal.it/atleta/DE-LUCA-Rebecka/f6iRlpancGY%3D,https://www.fidal.it/societa/ATL--ROMA-ACQUACETOSA/RM161
10.34,10.34,e,DODI Elisabetta,1970,SF40,TRIESTE ATLETICA,1 se- 2,Ancona,2014-03-08,https://www.fidal.it/atleta/DODI-Elisabetta/eaiRkpKicGk%3D,https://www.fidal.it/societa/TRIESTE-ATLETICA/TS044
