prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
9.08,9.08,0.0,CRESTO Stefano,1990,AM,ATLETICA PONT DONNAS,1 se- 1,Aosta,2007-02-03,https://www.fidal.it/atleta/CRESTO-Stefano/jKiRkpSnamw%3D,https://www.fidal.it/societa/ATLETICA-PONT-DONNAS/AO002
10.13,10.13,0.0,BONETTO Matteo,1991,AM,ATLETICA SANDRO CALVESI,2 se- 1,Aosta,2007-02-03,https://www.fidal.it/atleta/BONETTO-Matteo/jKiRlJSmaWg%3D,https://www.fidal.it/societa/ATLETICA-SANDRO-CALVESI/AO004
10.3,10.30,0.0,SPAGNOLI Giorgio,1961,SM50,EDERA ATL. FORLI,3 se- 1,Jyvaskyla,2012-04-04,https://www.fidal.it/atleta/SPAGNOLI-Giorgio/eqiRlZanamU%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
8.88,8.88,0.0,OBERHOFER Thomas,1964,SM50,A.S.D. SUEDTIROL TEAM CLUB,1 se- 2,Padova,2014-02-23,https://www.fidal.it/atleta/OBERHOFER-Thomas/iaiRkpmia2M%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
8.89,8.89,0.0,OBERHOFER Thomas,1964,SM50,A.S.D. SUEDTIROL TEAM CLUB,1 se- 2,Ancona,2014-03-08,https://www.fidal.it/atleta/OBERHOFER-Thomas/iaiRkpmia2M%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
9.05,9.05,0.0,REBUZZI Pierluigi,1962,SM50,ATL. VIRTUS CASTENEDOLO,2 se- 2,Ancona,2014-03-08,https://www.fidal.it/atleta/REBUZZI-Pierluigi/dqiRkpSjamw%3D,https://www.fidal.it/societa/ATL--VIRTUS-CASTENEDOLO/BS575
9.14,9.14,0.0,D'ERRICO Antonio,1964,SM50,ASD ARCA ATL.AVERSA A.AVERSANO,1 se- 5,Ancona,2014-03-07,https://www.fidal.it/atleta/D-ERRICO-Antonio/gKiRkpeobmk%3D,https://www.fidal.it/societa/ASD-ARCA-ATL-AVERSA-A-AVERSANO/CE033
9.22,9.22,0.0,D'ERRICO Antonio,1964,SM50,ASD ARCA ATL.AVERSA A.AVERSANO,3 se- 2,Ancona,2014-03-08,https://www.fidal.it/atleta/D-ERRICO-Antonio/gKiRkpeobmk%3D,https://www.fidal.it/societa/ASD-ARCA-ATL-AVERSA-A-AVERSANO/CE033
9.39,9.39,0.0,INDRA Hubert,1957,SM55,A.S.D. SUEDTIROL TEAM CLUB,2 se- 2,Padova,2014-02-23,https://www.fidal.it/atleta/INDRA-Hubert/iaiRkpKgcGM%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
9.51,9.51,0.0,INDRA Hubert,1957,SM55,A.S.D. SUEDTIROL TEAM CLUB,1 se- 4,Ancona,2014-03-07,https://www.fidal.it/atleta/INDRA-Hubert/iaiRkpKgcGM%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
9.59,9.59,0.0,INDRA Hubert,1957,SM55,A.S.D. SUEDTIROL TEAM CLUB,1 se- 2,Budapest,2014-03-25,https://www.fidal.it/atleta/INDRA-Hubert/iaiRkpKgcGM%3D,https://www.fidal.it/societa/A-S-D--SUEDTIROL-TEAM-CLUB/BZ073
