prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
18.0,DIONISI Jacopo,1996,EM,ATL. STUDENTESCA CA.RI.RI,37 se- 1,Rieti,2005-03-05,https://www.fidal.it/atleta/DIONISI-Jacopo/f6iRmJehaGU%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
17.7,STRAZZULLO Emanuele,1995,EM,ASS. POL. PARTENOPE,4 se- 4,Napoli,2005-02-06,https://www.fidal.it/atleta/STRAZZULLO-Emanuele/gKiRlZmkcGg%3D,https://www.fidal.it/societa/ASS--POL--PARTENOPE/NA069
17.39,ZACCARIA Mattia,1995,EM,POL. OLIMPIA VIGNOLA,4 ba- 5,Modena,2005-12-10,https://www.fidal.it/atleta/ZACCARIA-Mattia/eqiRlpKkaWk%3D,https://www.fidal.it/societa/POL--OLIMPIA-VIGNOLA/MO058
16.9,D'ANGELI Matteo,1996,EM,ATL. STUDENTESCA CA.RI.RI,39 se- 1,Rieti,2005-03-05,https://www.fidal.it/atleta/D-ANGELI-Matteo/f6iRmJefaWs%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
16.8,BENASSAI Edoardo maria,1995,EM,A.P. AMATORI ATLETICA NAPOLI,3 se- 2,Napoli,2005-02-26,https://www.fidal.it/atleta/BENASSAI-Edoardo-maria/gKiRlZioaWU%3D,https://www.fidal.it/societa/A-P--AMATORI-ATLETICA-NAPOLI/NA064
16.1,KHALIL Amin,1997,EM,ATL. STUDENTESCA CA.RI.RI,35 se- 1,Rieti,2005-03-05,https://www.fidal.it/atleta/KHALIL-Amin/f6iRmJefamc%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
16.1,MARTINI Antenore manuel,1994,EM,ATL. STUDENTESCA CA.RI.RI,38 se- 1,Rieti,2005-03-05,https://www.fidal.it/atleta/MARTINI-Antenore-manuel/f6iRmJKocGY%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
16.0,ROSATI Francesco,1996,EM,ATL. STUDENTESCA CA.RI.RI,26 se- 1,Rieti,2005-03-05,https://www.fidal.it/atleta/ROSATI-Francesco/f6iRmJajaGs%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
15.6,SILVAGNI Giulio,1994,EM,ATL. STUDENTESCA CA.RI.RI,35 su- 1,Rieti,2005-02-03,https://www.fidal.it/atleta/SILVAGNI-Giulio/f6iRmJajaWk%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
15.4,ROSATI Francesco,1996,EM,ATL. STUDENTESCA CA.RI.RI,33 su- 1,Rieti,2005-02-03,https://www.fidal.it/atleta/ROSATI-Francesco/f6iRmJajaGs%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
