prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
4333,PIAZZA Tommaso,1990,SM,PROSPORT ATL. FIRENZE,1 su- 1,Firenze,2014-01-19,https://www.fidal.it/atleta/PIAZZA-Tommaso/faiRm5aha2c%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
4311,PIAZZA Matteo,1990,SM,PROSPORT ATL. FIRENZE,2 su- 1,Firenze,2014-01-19,https://www.fidal.it/atleta/PIAZZA-Matteo/faiRm5aha2Y%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
4230,MIANI Matteo,1993,PM,SILCA ULTRALITE VITTORIO V.TO,3 su- 1,Firenze,2014-01-19,https://www.fidal.it/atleta/MIANI-Matteo/eKyRkpSjbWo%3D,https://www.fidal.it/societa/SILCA-ULTRALITE-VITTORIO-V-TO/TV348
4021,COLOMBO Patrizio,1994,PM,ASSI GIGLIO ROSSO FIRENZE,4 su- 1,Firenze,2014-01-19,https://www.fidal.it/atleta/COLOMBO-Patrizio/faiSk5OobGU%3D,https://www.fidal.it/societa/ASSI-GIGLIO-ROSSO-FIRENZE/FI001
3552,GIANNOTTI Alessandro,1976,SM35,ASD LA GALLA PONTEDERA ATL.,5 su- 1,Firenze,2014-01-19,https://www.fidal.it/atleta/GIANNOTTI-Alessandro/faiSkpKlbGk%3D,https://www.fidal.it/societa/ASD-LA-GALLA-PONTEDERA-ATL-/PI144
4644,MARSI Luca,1989,SM,ATLETICA LIVORNO,1 su- 1,Firenze,2015-01-18,https://www.fidal.it/atleta/MARSI-Luca/faiRm5aiaWc%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036
4003,COLOMBO Patrizio,1994,PM,PROSPORT ATL. FIRENZE,2 su- 1,Firenze,2015-01-18,https://www.fidal.it/atleta/COLOMBO-Patrizio/faiSk5OobGU%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
3562,BUCARELLI Matteo,1981,SM,PROSPORT ATL. FIRENZE,3 su- 1,Firenze,2015-01-18,https://www.fidal.it/atleta/BUCARELLI-Matteo/faiRk5enbGw%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
3272,TERRENI Valerio,1978,SM35,ASD LA GALLA PONTEDERA ATL.,4 su- 1,Firenze,2015-01-18,https://www.fidal.it/atleta/TERRENI-Valerio/faAAARkpOibGU%3D,https://www.fidal.it/societa/ASD-LA-GALLA-PONTEDERA-ATL-/PI144
3187,GIANNOTTI Alessandro,1976,SM35,N.ATL. FANFULLA LODIGIANA,5 su- 1,Firenze,2015-01-18,https://www.fidal.it/atleta/GIANNOTTI-Alessandro/faiSkpKlbGk%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
