prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
4889.0,COMBI Stefano,1990,JM,GINN.MONZESE FORTI E LIBERI,1 su- 1,Ancona,2008-01-27,https://www.fidal.it/atleta/COMBI-Stefano/dq2Rk5WfcGY%3D,https://www.fidal.it/societa/GINN-MONZESE-FORTI-E-LIBERI/MI085
4886.0,CALVI Michele,1990,JM,G.S.SELF ATL. MONTANARI GRUZZA,2 su- 1,Ancona,2008-01-27,https://www.fidal.it/atleta/CALVI-Michele/eqiRlZWkb2c%3D,https://www.fidal.it/societa/G-S-SELF-ATL--MONTANARI-GRUZZA/RE105
4853.0,MARSI Luca,1989,JM,ATLETICA LIVORNO,3 su- 1,Ancona,2008-01-27,https://www.fidal.it/atleta/MARSI-Luca/faiRm5aiaWc%3D,https://www.fidal.it/societa/ATLETICA-LIVORNO/LI036
4487.0,MARCATO Riccardo,1990,JM,ASSINDUSTRIA SPORT PADOVA,4 su- 1,Ancona,2008-01-27,https://www.fidal.it/atleta/MARCATO-Riccardo/eKiRlZajbWc%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PADOVA/PD140
4467.0,DE CARLI Matteo,1989,JM,FONDAZIONE M. BENTEGODI,5 su- 1,Ancona,2008-01-27,https://www.fidal.it/atleta/DE-CARLI-Matteo/eKiRlJWlcGw%3D,https://www.fidal.it/societa/FONDAZIONE-M--BENTEGODI/VR784
4247.0,CASTRO Nicolo',1989,JM,A.S.D. ATLETICASPEZIA CARISPE,6 su- 1,Ancona,2008-01-27,https://www.fidal.it/atleta/CASTRO-Nicolo-/daiRk5Ombmw%3D,https://www.fidal.it/societa/A-S-D--ATLETICASPEZIA-CARISPE/SP573
4235.0,SCEBI Agostino,1990,JM,A.S.D. AGG. HINNA,7 su- 1,Ancona,2008-01-27,https://www.fidal.it/atleta/SCEBI-Agostino/gKiRlZKocWY%3D,https://www.fidal.it/societa/A-S-D--AGG--HINNA/NA014
4111.0,SIMIONATO Gianluca,1990,JM,N.ATL. FANFULLA LODIGIANA,8 su- 1,Ancona,2008-01-27,https://www.fidal.it/atleta/SIMIONATO-Gianluca/drKRkpSobWM%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
4057.0,PIAZZA Tommaso,1990,JM,PROSPORT ATL. FIRENZE,9 su- 1,Ancona,2008-01-27,https://www.fidal.it/atleta/PIAZZA-Tommaso/faiRm5aha2c%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
5132.0,COMBI Stefano,1990,JM,GINN.MONZESE FORTI E LIBERI,1 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/COMBI-Stefano/dq2Rk5WfcGY%3D,https://www.fidal.it/societa/GINN-MONZESE-FORTI-E-LIBERI/MI085
5070.0,COMBI Stefano,1990,JM,GINN.MONZESE FORTI E LIBERI,1 su- 1,Ancona,2009-01-17,https://www.fidal.it/atleta/COMBI-Stefano/dq2Rk5WfcGY%3D,https://www.fidal.it/societa/GINN-MONZESE-FORTI-E-LIBERI/MI085
4795.0,PIAZZA Matteo,1990,JM,PROSPORT ATL. FIRENZE,2 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/PIAZZA-Matteo/faiRm5aha2Y%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
4751.0,MARCATO Riccardo,1990,JM,ASSINDUSTRIA SPORT PADOVA,3 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/MARCATO-Riccardo/eKiRlZajbWc%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PADOVA/PD140
4729.0,BAGNOLI Leonardo,1991,JM,PROSPORT ATL. FIRENZE,4 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/BAGNOLI-Leonardo/faiRm5mgcGQ%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
4675.0,PERNA Marco,1991,JM,A.S.D. AGG. HINNA,5 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/PERNA-Marco/gKiRlJuobms%3D,https://www.fidal.it/societa/A-S-D--AGG--HINNA/NA014
4547.0,OTTAVIANI Leonardo,1991,JM,ATL. AVIS MACERATA,6 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/OTTAVIANI-Leonardo/e6iRk5KlaGw%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
4537.0,PIAZZA Tommaso,1990,JM,PROSPORT ATL. FIRENZE,7 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/PIAZZA-Tommaso/faiRm5aha2c%3D,https://www.fidal.it/societa/PROSPORT-ATL--FIRENZE/FI009
4392.0,BIZZOTTO Andrea,1991,JM,ATLETICA LIBERTAS PADOVA,8 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/BIZZOTTO-Andrea/eK6RkpKib2o%3D,https://www.fidal.it/societa/ATLETICA-LIBERTAS-PADOVA/PD135
4390.0,SIMIONATO Gianluca,1990,JM,N.ATL. FANFULLA LODIGIANA,2 su- 1,Ancona,2009-01-17,https://www.fidal.it/atleta/SIMIONATO-Gianluca/drKRkpSobWM%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
4357.0,SIMIONATO Gianluca,1990,JM,N.ATL. FANFULLA LODIGIANA,9 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/SIMIONATO-Gianluca/drKRkpSobWM%3D,https://www.fidal.it/societa/N-ATL--FANFULLA-LODIGIANA/MI218
4290.0,SPADA Alessio,1991,JM,OLIMPUS SAN MARINO ATLETICA,10 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/SPADA-Alessio/eqiRlZejbGo%3D,https://www.fidal.it/societa/OLIMPUS-SAN-MARINO-ATLETICA/SM278
4249.0,CUSPOLICI Tommaso,1991,JM,A.S. DIL. POL. A.P.B.,11 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/CUSPOLICI-Tommaso/h6iRlZinb2w%3D,https://www.fidal.it/societa/A-S--DIL--POL--A-P-B-/PA354
4189.0,SCEBI Agostino,1990,JM,A.S.D. AGG. HINNA,12 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/SCEBI-Agostino/gKiRlZKocWY%3D,https://www.fidal.it/societa/A-S-D--AGG--HINNA/NA014
4184.0,LACALA Stefano,1991,JM,A.P.D. PARTENOPE ATL. LEGG.,13 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/LACALA-Stefano/gKiRlZmkcWM%3D,https://www.fidal.it/societa/A-P-D--PARTENOPE-ATL--LEGG-/NA069
4120.0,MASERA Luca,1990,JM,S.A.F. BOLZANO,14 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/MASERA-Luca/iaiRkpikaWQ%3D,https://www.fidal.it/societa/S-A-F--BOLZANO/BZ018
4119.0,CASTELLI Alfio,1990,JM,SPORT CLUB CATANIA A.S.D.,15 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/CASTELLI-Alfio/h6iRlJuhbWo%3D,https://www.fidal.it/societa/SPORT-CLUB-CATANIA-A-S-D-/CT075
4073.0,SCEBI Agostino,1990,JM,A.S.D. AGG. HINNA,1 fi- 1,Napoli,2009-01-11,https://www.fidal.it/atleta/SCEBI-Agostino/gKiRlZKocWY%3D,https://www.fidal.it/societa/A-S-D--AGG--HINNA/NA014
4062.0,CUSINATO Michael,1991,JM,ATLETICA MIZUNO PIEMONTE ASSOC,16 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/CUSINATO-Michael/dK2Rk5mmaGo%3D,https://www.fidal.it/societa/ATLETICA-MIZUNO-PIEMONTE-ASSOC/TO226
4035.0,BIZZOTTO Andrea,1991,JM,ATLETICA LIBERTAS PADOVA,3 su- 1,Ancona,2009-01-17,https://www.fidal.it/atleta/BIZZOTTO-Andrea/eK6RkpKib2o%3D,https://www.fidal.it/societa/ATLETICA-LIBERTAS-PADOVA/PD135
4023.0,SPADA Alessio,1991,JM,OLIMPUS SAN MARINO ATLETICA,4 su- 1,Ancona,2009-01-17,https://www.fidal.it/atleta/SPADA-Alessio/eqiRlZejbGo%3D,https://www.fidal.it/societa/OLIMPUS-SAN-MARINO-ATLETICA/SM278
4004.0,ANZANI Stefano,1991,JM,GINN.MONZESE FORTI E LIBERI,17 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/ANZANI-Stefano/dquRkpOiaGc%3D,https://www.fidal.it/societa/GINN-MONZESE-FORTI-E-LIBERI/MI085
3964.0,LACALA Stefano,1991,JM,A.P.D. PARTENOPE ATL. LEGG.,2 fi- 1,Napoli,2009-01-11,https://www.fidal.it/atleta/LACALA-Stefano/gKiRlZmkcWM%3D,https://www.fidal.it/societa/A-P-D--PARTENOPE-ATL--LEGG-/NA069
3918.0,ANZANI Stefano,1991,JM,GINN.MONZESE FORTI E LIBERI,5 su- 1,Ancona,2009-01-17,https://www.fidal.it/atleta/ANZANI-Stefano/dquRkpOiaGc%3D,https://www.fidal.it/societa/GINN-MONZESE-FORTI-E-LIBERI/MI085
3915.0,CIPRINI Luca,1991,JM,ATL. AVIS MACERATA,6 su- 1,Ancona,2009-01-17,https://www.fidal.it/atleta/CIPRINI-Luca/e6iRk5egbGs%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
3867.0,STRAGLIOTTO Nicola,1990,JM,ATLETICA LIBERTAS PADOVA,7 su- 1,Ancona,2009-01-17,https://www.fidal.it/atleta/STRAGLIOTTO-Nicola/eKiRlJmlbWk%3D,https://www.fidal.it/societa/ATLETICA-LIBERTAS-PADOVA/PD135
3791.0,LEONI Alessio,1991,JM,A.S. LA FRATELLANZA 1874,18 su- 1,Ancona,2009-02-01,https://www.fidal.it/atleta/LEONI-Alessio/eqiRlZemaWo%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
3210.0,CANDIDO Rinaldo,1990,JM,NUOVA ATLETICA FIAMMA ARANCA,3 fi- 1,Napoli,2009-01-11,https://www.fidal.it/atleta/CANDIDO-Rinaldo/hqiRk5mgbmY%3D,https://www.fidal.it/societa/NUOVA-ATLETICA-FIAMMA-ARANCA/RC032
2809.0,COEN Filippo,1991,JM,U.S. MILANESE,8 su- 1,Ancona,2009-01-17,https://www.fidal.it/atleta/COEN-Filippo/dq2Rkpqfb2M%3D,https://www.fidal.it/societa/U-S--MILANESE/MI579
