prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
3712.0,LEONE Marco,1998,AM,ATL. LECCO-COLOMBO COSTRUZ.,1 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/LEONE-Marco/dquRkpWmaGg%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
3638.0,DI PANFILO Mattia,1999,AM,E.SERVIZI ATL. FUTURA ROMA,2 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/DI-PANFILO-Mattia/f6iRmZincWw%3D,https://www.fidal.it/societa/E-SERVIZI-ATL--FUTURA-ROMA/RM555
3470.0,ROBBIN Jean marie,1998,AM,ATLETICA SANDRO CALVESI,3 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/ROBBIN-Jean-marie/dKqRkpKhcGM%3D,https://www.fidal.it/societa/ATLETICA-SANDRO-CALVESI/AO004
3469.0,LEONE Marco,1998,AM,ATL. LECCO-COLOMBO COSTRUZ.,1 su- 1,Padova,2015-01-10,https://www.fidal.it/atleta/LEONE-Marco/dquRkpWmaGg%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
3449.0,NICOLA Riccardo,1998,AM,G.S. ERMENEGILDO ZEGNA,4 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/NICOLA-Riccardo/dKAAARk5qjbWY%3D,https://www.fidal.it/societa/G-S--ERMENEGILDO-ZEGNA/VC020
3407.0,GENTILI Lorenzo,1998,AM,CENTRO ATLETICA PIOMBINO,5 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/GENTILI-Lorenzo/fayRkpWka2g%3D,https://www.fidal.it/societa/CENTRO-ATLETICA-PIOMBINO/LI038
3400.0,MASTRIPPOLITO Giovanni,1998,AM,S.E.F. VIRTUS EMILSIDER BO,6 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/MASTRIPPOLITO-Giovanni/eqiRlpOoa2Q%3D,https://www.fidal.it/societa/S-E-F--VIRTUS-EMILSIDER-BO/BO007
3287.0,IRRERA Lorenzo,1998,AM,ATL. STUDENTESCA CA.RI.RI,7 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/IRRERA-Lorenzo/f6uRkpKiaGU%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
3227.0,BUSNARDO Simone,1998,AM,ATL.VICENTINA,8 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/BUSNARDO-Simone/eK6RkpehbWs%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
3172.0,MANOJLOVIC Loris,1998,AM,COLLECTION ATLETICA SAMBENEDET,9 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/MANOJLOVIC-Loris/e6iRk5agcGk%3D,https://www.fidal.it/societa/COLLECTION-ATLETICA-SAMBENEDET/AP034
3155.0,MANOJLOVIC Loris,1998,AM,COLLECTION ATLETICA SAMBENEDET,1 su- 1,Ancona,2015-01-11,https://www.fidal.it/atleta/MANOJLOVIC-Loris/e6iRk5agcGk%3D,https://www.fidal.it/societa/COLLECTION-ATLETICA-SAMBENEDET/AP034
3142.0,CHIUSOLO Matteo,1998,AM,SPORTRACE,10 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/CHIUSOLO-Matteo/f6yRkpWnbGU%3D,https://www.fidal.it/societa/SPORTRACE/RM243
3108.0,ARPIONI Davide,1998,AM,ATLETICA BRUGNERA FRIULINTAGLI,11 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/ARPIONI-Davide/eaqRkpqfaGU%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
3056.0,MERCATILI Riccardo,1998,AM,COLLECTION ATLETICA SAMBENEDET,2 su- 1,Ancona,2015-01-11,https://www.fidal.it/atleta/MERCATILI-Riccardo/e6qRkpOkamM%3D,https://www.fidal.it/societa/COLLECTION-ATLETICA-SAMBENEDET/AP034
3052.0,ARPIONI Davide,1998,AM,ATLETICA BRUGNERA FRIULINTAGLI,2 su- 1,Padova,2015-01-10,https://www.fidal.it/atleta/ARPIONI-Davide/eaqRkpqfaGU%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
2995.0,BARBINI Luca,1999,AM,S G AMSICORA,12 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/BARBINI-Luca/iKiSmZmiaWw%3D,https://www.fidal.it/societa/S-G-AMSICORA/CA002
2990.0,EBERT Samuele,1998,AM,LIB. VALPOLICELLA LUPATOTINA,3 su- 1,Padova,2015-01-10,https://www.fidal.it/atleta/EBERT-Samuele/eKAAARkpqncGY%3D,https://www.fidal.it/societa/LIB--VALPOLICELLA-LUPATOTINA/VR833
2987.0,COCCO Luca,1999,AM,ATL.VICENTINA,4 su- 1,Padova,2015-01-10,https://www.fidal.it/atleta/COCCO-Luca/eK6Rkpaia2Q%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
2940.0,COCCO Luca,1999,AM,ATL.VICENTINA,13 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/COCCO-Luca/eK6Rkpaia2Q%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
2936.0,FUSARO Nicolo',1999,AM,ATHLETIC CLUB 96 AE SPA,14 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/FUSARO-Nicolo-/iaiRk5KhaWQ%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-AE-SPA/BZ066
2935.0,TOMADA Nicolo',1998,AM,ATHLETIC CLUB 96 AE SPA,5 su- 1,Padova,2015-01-10,https://www.fidal.it/atleta/TOMADA-Nicolo-/iaiRkpufaWo%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-AE-SPA/BZ066
2924.0,GRANDI VENTURI Simone,1999,AM,S.E.F. VIRTUS EMILSIDER BO,15 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/GRANDI-VENTURI-Simone/eqmRkpOka2o%3D,https://www.fidal.it/societa/S-E-F--VIRTUS-EMILSIDER-BO/BO007
2914.0,TOMADA Nicolo',1998,AM,ATHLETIC CLUB 96 AE SPA,16 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/TOMADA-Nicolo-/iaiRkpufaWo%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-AE-SPA/BZ066
2898.0,GASTALDIN Giulio,1998,AM,ATLETICA MONZA,18 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/GASTALDIN-Giulio/dq2RlZioamo%3D,https://www.fidal.it/societa/ATLETICA-MONZA/MI710
2887.0,FUSARO Nicolo',1999,AM,ATHLETIC CLUB 96 AE SPA,6 su- 1,Padova,2015-01-10,https://www.fidal.it/atleta/FUSARO-Nicolo-/iaiRk5KhaWQ%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-AE-SPA/BZ066
