prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
4176.0,OBERTO Laura,1993,PF,BRACCO ATLETICA,1 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/OBERTO-Laura/dK6RlJqjaWk%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221
4032.0,DERKACH Dariya,1993,PF,C.S. AERONAUTICA MILITARE,2 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/DERKACH-Dariya/gKiRlZelcGw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
3888.0,SPORTOLETTI Giulia,1996,JF,TEAM-A LOMBARDIA,3 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/SPORTOLETTI-Giulia/dq2Rk5Slb2k%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
3873.0,SPORTOLETTI Giulia,1996,JF,TEAM-A LOMBARDIA,1 su- 1,Padova,2015-01-10,https://www.fidal.it/atleta/SPORTOLETTI-Giulia/dq2Rk5Slb2k%3D,https://www.fidal.it/societa/TEAM-A-LOMBARDIA/MI774
3689.0,FIORESE Beatrice,1997,JF,ATL.VICENTINA,2 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/FIORESE-Beatrice/eK6RkpSocGU%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
3558.0,VALLORTIGARA Elena,1991,SF,G.S. FORESTALE,4 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/VALLORTIGARA-Elena/eK6RkpKga2U%3D,https://www.fidal.it/societa/G-S--FORESTALE/RI224
3555.0,PALUMBO Federica,1995,PF,U.S. SANGIORGESE,5 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/PALUMBO-Federica/dq2Rk5SfcWk%3D,https://www.fidal.it/societa/U-S--SANGIORGESE/MI244
3471.0,GENERALI Anna,1990,SF,GS VALSUGANA TRENTINO,6 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/GENERALI-Anna/gKiRlZOoa2g%3D,https://www.fidal.it/societa/GS-VALSUGANA-TRENTINO/TN104
3440.0,SEPPI Lisa,1996,JF,S.G EISACKTAL RAIFFEISEN ASV,7 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/SEPPI-Lisa/iaiRkpqfaWw%3D,https://www.fidal.it/societa/S-G-EISACKTAL-RAIFFEISEN-ASV/BZ068
3382.0,CALIO' Rita,1996,JF,S.S.FIAMMA ATL.CATANZARO,4 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/CALIO-Rita/hqqRkpKmbWY%3D,https://www.fidal.it/societa/S-S-FIAMMA-ATL-CATANZARO/CZ010
3373.0,GENERALI Anna,1990,SF,GS VALSUGANA TRENTINO,1 su- 1,Ancona,2015-01-11,https://www.fidal.it/atleta/GENERALI-Anna/gKiRlZOoa2g%3D,https://www.fidal.it/societa/GS-VALSUGANA-TRENTINO/TN104
3362.0,AGOSTINI Mariaelena,1997,JF,ATLETICA LIBERTAS S.A.N.P.,5 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/AGOSTINI-Mariaelena/eKqRkpOlbWo%3D,https://www.fidal.it/societa/ATLETICA-LIBERTAS-S-A-N-P-/PD146
3325.0,SEPPI Lisa,1996,JF,S.G EISACKTAL RAIFFEISEN ASV,2 su- 1,Padova,2015-01-10,https://www.fidal.it/atleta/SEPPI-Lisa/iaiRkpqfaWw%3D,https://www.fidal.it/societa/S-G-EISACKTAL-RAIFFEISEN-ASV/BZ068
3324.0,NICOLA Silvia,1996,JF,G.S. ERMENEGILDO ZEGNA,8 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/NICOLA-Silvia/dKAAARk5qjbWc%3D,https://www.fidal.it/societa/G-S--ERMENEGILDO-ZEGNA/VC020
3260.0,CESTONARO Ottavia,1995,PF,G.S. FORESTALE,9 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/CESTONARO-Ottavia/eK6RkpKobWU%3D,https://www.fidal.it/societa/G-S--FORESTALE/RI224
3203.0,MONFARDINI Erica,1996,JF,BRACCO ATLETICA,7 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/MONFARDINI-Erica/dq2Rk5ufbGs%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221
3186.0,CALGARINI Chiara,1996,JF,ATL. LUGO,10 su- 1,Padova,2015-01-24,https://www.fidal.it/atleta/CALGARINI-Chiara/eqAAARkpKjcWM%3D,https://www.fidal.it/societa/ATL--LUGO/RA093
3165.0,PORFIRI Sara,1992,SF,ATL. AVIS MACERATA,2 su- 1,Ancona,2015-01-11,https://www.fidal.it/atleta/PORFIRI-Sara/e6iRk5Woa2M%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
