prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
4.56,CELLARIO Giovanni,1994,EM,ATLETICA REGGIO,1 se- 1,Modena,2005-02-19,https://www.fidal.it/atleta/CELLARIO-Giovanni/eqiRlZeoa2w%3D,https://www.fidal.it/societa/ATLETICA-REGGIO/RE129
3.76,FIORELLO Ivan,1996,EM,POL. OLIMPIA VIGNOLA,1 su- 1,Modena,2005-12-10,https://www.fidal.it/atleta/FIORELLO-Ivan/eqiRlpKkaGo%3D,https://www.fidal.it/societa/POL--OLIMPIA-VIGNOLA/MO058
3.65,COLLINELLI Marco,1994,EM,EDERA ATL. FORLI,1 su- 1,Cesenatico,2005-01-16,https://www.fidal.it/atleta/COLLINELLI-Marco/eqiRlZumbGk%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
3.65,COLLINELLI Marco,1994,EM,EDERA ATL. FORLI,1 su- 1,Cesenatico,2005-02-13,https://www.fidal.it/atleta/COLLINELLI-Marco/eqiRlZumbGk%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
3.65,BISCARO Pietro,1995,EM,POL. NONANTOLA,2 se- 1,Modena,2005-02-19,https://www.fidal.it/atleta/BISCARO-Pietro/eqiRlpKlamY%3D,https://www.fidal.it/societa/POL--NONANTOLA/MO419
3.55,CIOFFI Marco,1994,EM,A.S. METATLETIC,1 fi- 1,Napoli,2005-02-05,https://www.fidal.it/atleta/CIOFFI-Marco/gKiRlZinbmU%3D,https://www.fidal.it/societa/A-S--METATLETIC/NA141
3.5,BUFALINO Lorenzo,1994,EM,ATL. STUDENTESCA CA.RI.RI,1 fi- 1,Rieti,2005-01-25,https://www.fidal.it/atleta/BUFALINO-Lorenzo/f6iRmJKoaGc%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
3.48,CRISI Emanuele,1994,EM,ATL. STUDENTESCA CA.RI.RI,2 fi- 1,Rieti,2005-01-25,https://www.fidal.it/atleta/CRISI-Emanuele/f6iRmJKoaGg%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
3.46,FINESSI Marco,1995,EM,POL. CASTELFRANCO EMILIA,3 se- 1,Modena,2005-02-19,https://www.fidal.it/atleta/FINESSI-Marco/eqiRlZeibmM%3D,https://www.fidal.it/societa/POL--CASTELFRANCO-EMILIA/MO060
3.45,GASPARI Edoardo,1994,EM,EDERA ATL. FORLI,2 su- 1,Cesenatico,2005-01-16,https://www.fidal.it/atleta/GASPARI-Edoardo/eqiRlZiocGg%3D,https://www.fidal.it/societa/EDERA-ATL--FORLI/FC038
3.45,GRASSO Alessandro,1994,EM,POL.ATL. ENDAS CESENATICO,2 su- 1,Cesenatico,2005-02-13,https://www.fidal.it/atleta/GRASSO-Alessandro/eqiRlZmgbGg%3D,https://www.fidal.it/societa/POL-ATL--ENDAS-CESENATICO/FC338
