prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
14.56,DAL MORO Francesca,1996,EF,TREVISATLETICA,4 se- 1,Rosa,2007-06-27,https://www.fidal.it/atleta/DAL-MORO-Francesca/eKyRkpWkbmw%3D,https://www.fidal.it/societa/TREVISATLETICA/TV354
42.67,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 su- 1,Ravenna,2007-10-13,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
40.9,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 se- 1,Majano,2007-10-20,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
40.89,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 fi- 1,Lignano Sabbiadoro,2007-09-26,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
40.03,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 se- 1,Udine,2007-08-31,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
39.88,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 su- 1,Udine,2007-05-15,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
39.26,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 se- 1,Tolmezzo,2007-07-08,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
38.82,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 se- 1,Trieste,2007-09-30,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
38.71,VITA Carolina,1992,CF,ATLETICA MASSA CARRARA,2 fi- 1,Lignano Sabbiadoro,2007-09-26,https://www.fidal.it/atleta/VITA-Carolina/faiSkpehcGY%3D,https://www.fidal.it/societa/ATLETICA-MASSA-CARRARA/MS064
38.3,VITA Carolina,1992,CF,ATLETICA MASSA CARRARA,1 su- 1,Massa,2007-09-16,https://www.fidal.it/atleta/VITA-Carolina/faiSkpehcGY%3D,https://www.fidal.it/societa/ATLETICA-MASSA-CARRARA/MS064
