prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
45.53,,45.53,0,CLEAN Martina,1993,CF,TRIESTE TRASPORTI CRAL ATL.GIO,1 se- 1,Trieste,2007-10-27,https://www.fidal.it/atleta/CLEAN-Martina/eaiRk5elb2g%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
44.71,,44.71,0,CLEAN Martina,1993,CF,TRIESTE TRASPORTI CRAL ATL.GIO,1 se- 1,Gorizia,2007-04-21,https://www.fidal.it/atleta/CLEAN-Martina/eaiRk5elb2g%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
44.5,,44.50,0,CLEAN Martina,1993,CF,TRIESTE TRASPORTI CRAL ATL.GIO,1 se- 1,San Vito Al Tagliamento,2007-05-12,https://www.fidal.it/atleta/CLEAN-Martina/eaiRk5elb2g%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
44.32,,44.32,0,CLEAN Martina,1993,CF,TRIESTE TRASPORTI CRAL ATL.GIO,1 su- 1,Udine,2007-03-25,https://www.fidal.it/atleta/CLEAN-Martina/eaiRk5elb2g%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
43.56,,43.56,0,MOLARDI Roberta,1993,CF,CREMONA SPORTIVA ATL. ARVEDI,1 se- 1,Casalmaggiore,2007-05-13,https://www.fidal.it/atleta/MOLARDI-Roberta/dqyRlpmhbGs%3D,https://www.fidal.it/societa/CREMONA-SPORTIVA-ATL--ARVEDI/CR041
43.44,,43.44,0,CLEAN Martina,1993,CF,TRIESTE TRASPORTI CRAL ATL.GIO,1 se- 1,Trieste,2007-09-30,https://www.fidal.it/atleta/CLEAN-Martina/eaiRk5elb2g%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
41.56,,41.56,0,CLEAN Martina,1993,CF,TRIESTE TRASPORTI CRAL ATL.GIO,1 se- 1,Gorizia,2007-10-24,https://www.fidal.it/atleta/CLEAN-Martina/eaiRk5elb2g%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
41.38,,41.38,0,CLEAN Martina,1993,CF,TRIESTE TRASPORTI CRAL ATL.GIO,1 se- 1,Trieste,2007-06-10,https://www.fidal.it/atleta/CLEAN-Martina/eaiRk5elb2g%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
40.28,,40.28,0,CLEAN Martina,1993,CF,TRIESTE TRASPORTI CRAL ATL.GIO,1 se- 1,Trieste,2007-04-14,https://www.fidal.it/atleta/CLEAN-Martina/eaiRk5elb2g%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
40.14,,40.14,0,CLEAN Martina,1993,CF,TRIESTE TRASPORTI CRAL ATL.GIO,1 su- 1,Majano,2007-09-08,https://www.fidal.it/atleta/CLEAN-Martina/eaiRk5elb2g%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
40.02,,40.02,0,MOLARDI Roberta,1993,CF,CREMONA SPORTIVA ATL. ARVEDI,1 su- 1,Pergine Borgo,2007-09-16,https://www.fidal.it/atleta/MOLARDI-Roberta/dqyRlpmhbGs%3D,https://www.fidal.it/societa/CREMONA-SPORTIVA-ATL--ARVEDI/CR041
39.81,,39.81,0,CLEAN Martina,1993,CF,TRIESTE TRASPORTI CRAL ATL.GIO,1 su- 1,Trieste,2007-05-16,https://www.fidal.it/atleta/CLEAN-Martina/eaiRk5elb2g%3D,https://www.fidal.it/societa/TRIESTE-TRASPORTI-CRAL-ATL-GIO/TS003
