prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
37.74,SCALA Concetto valentino,1992,CM,A.S.DIL. ATLETICA SIRACUSA,1 su- 1,Catania,2007-04-28,https://www.fidal.it/atleta/SCALA-Concetto-valentino/h6iRlpWmbWM%3D,https://www.fidal.it/societa/A-S-DIL--ATLETICA-SIRACUSA/SR130
27.9,TARAS Nicola,1992,CM,ASC ATL SAN GIOVANNI,4 su- 1,Sassari,2007-04-29,https://www.fidal.it/atleta/TARAS-Nicola/iKiSmZuob2c%3D,https://www.fidal.it/societa/ASC-ATL-SAN-GIOVANNI/SS021
26.12,MINUTOLI Pietro,1992,CM,A.S. DIL. MESSINA 2000,4 su- 1,Catania,2007-04-28,https://www.fidal.it/atleta/MINUTOLI-Pietro/h6iRlpifa2U%3D,https://www.fidal.it/societa/A-S--DIL--MESSINA-2000/ME114
68.5,NARDINI Stefano,1990,AM,U.S. ATL. VEDANO,1 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/NARDINI-Stefano/dq2RkpaiaWo%3D,https://www.fidal.it/societa/U-S--ATL--VEDANO/MI054
65.6,TAMBERI Gianluca,1990,AM,ATLETICA FABRIANO - OSIMO,2 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/TAMBERI-Gianluca/e6iRk5WicWY%3D,https://www.fidal.it/societa/ATLETICA-FABRIANO-OSIMO/AN037
63.19,BAROIS Matteo,1990,AM,FIAMME GIALLE G. SIMONI,3 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/BAROIS-Matteo/f6iRl5moa2g%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
63.06,NARDINI Stefano,1990,AM,U.S. ATL. VEDANO,3 su- 1,Bressanone,2007-05-27,https://www.fidal.it/atleta/NARDINI-Stefano/dq2RkpaiaWo%3D,https://www.fidal.it/societa/U-S--ATL--VEDANO/MI054
61.52,NARDINI Stefano,1990,AM,U.S. ATL. VEDANO,6 qu- 1,Belgrado,2007-07-23,https://www.fidal.it/atleta/NARDINI-Stefano/dq2RkpaiaWo%3D,https://www.fidal.it/societa/U-S--ATL--VEDANO/MI054
61.05,DANUSO Riccardo,1990,AM,C.U.S. PADOVA,1 se- 1,Abano Terme,2007-06-22,https://www.fidal.it/atleta/DANUSO-Riccardo/eKiRlZaia2U%3D,https://www.fidal.it/societa/C-U-S--PADOVA/PD143
60.54,DANUSO Riccardo,1990,AM,C.U.S. PADOVA,1 su- 1,Vicenza,2007-05-12,https://www.fidal.it/atleta/DANUSO-Riccardo/eKiRlZaia2U%3D,https://www.fidal.it/societa/C-U-S--PADOVA/PD143
59.92,DANUSO Riccardo,1990,AM,C.U.S. PADOVA,1 su- 1,Busto Arsizio,2007-06-09,https://www.fidal.it/atleta/DANUSO-Riccardo/eKiRlZaia2U%3D,https://www.fidal.it/societa/C-U-S--PADOVA/PD143
59.44,BAUDINO Stefano,1990,AM,ATLETICA CANAVESANA,1 su- 1,Torino,2007-05-12,https://www.fidal.it/atleta/BAUDINO-Stefano/dK6RlJWlaGk%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
58.37,BAUDINO Stefano,1990,AM,ATLETICA CANAVESANA,1 su- 1,Terni,2007-06-09,https://www.fidal.it/atleta/BAUDINO-Stefano/dK6RlJWlaGk%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
58.2,BAUDINO Stefano,1990,AM,ATLETICA CANAVESANA,1 su- 1,Torino,2007-09-29,https://www.fidal.it/atleta/BAUDINO-Stefano/dK6RlJWlaGk%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
57.47,DANUSO Riccardo,1990,AM,C.U.S. PADOVA,4 su- 1,Bressanone,2007-05-27,https://www.fidal.it/atleta/DANUSO-Riccardo/eKiRlZaia2U%3D,https://www.fidal.it/societa/C-U-S--PADOVA/PD143
56.8,BAROIS Matteo,1990,AM,FIAMME GIALLE G. SIMONI,1 fi- 1,Roma,2007-02-04,https://www.fidal.it/atleta/BAROIS-Matteo/f6iRl5moa2g%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
56.38,BAUDINO Stefano,1990,AM,ATLETICA CANAVESANA,4 se- 2,Cesenatico,2007-10-06,https://www.fidal.it/atleta/BAUDINO-Stefano/dK6RlJWlaGk%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
56.33,BAROIS Matteo,1990,AM,FIAMME GIALLE G. SIMONI,2 su- 1,Busto Arsizio,2007-06-09,https://www.fidal.it/atleta/BAROIS-Matteo/f6iRl5moa2g%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
56.3,BAUDINO Stefano,1990,AM,ATLETICA CANAVESANA,6 su- 1,Bressanone,2007-05-27,https://www.fidal.it/atleta/BAUDINO-Stefano/dK6RlJWlaGk%3D,https://www.fidal.it/societa/ATLETICA-CANAVESANA/TO015
56.11,NARDINI Stefano,1990,AM,U.S. ATL. VEDANO,1 su- 1,Chiari,2007-06-16,https://www.fidal.it/atleta/NARDINI-Stefano/dq2RkpaiaWo%3D,https://www.fidal.it/societa/U-S--ATL--VEDANO/MI054
