prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
78.21,,78.21,0,VIZZONI Nicola,1973,SM,G.A. FIAMME GIALLE,1 su- 1,Albufeira,2007-05-26,https://www.fidal.it/atleta/VIZZONI-Nicola/f6iRkpKlbWw%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
77.98,,77.98,0,VIZZONI Nicola,1973,SM,G.A. FIAMME GIALLE,1 su- 1,Padova,2007-07-28,https://www.fidal.it/atleta/VIZZONI-Nicola/f6iRkpKlbWw%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
77.65,,77.65,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Nizza,2007-04-28,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
77.53,,77.53,0,VIZZONI Nicola,1973,SM,G.A. FIAMME GIALLE,1 su- 1,Lucca,2007-06-28,https://www.fidal.it/atleta/VIZZONI-Nicola/f6iRkpKlbWw%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
77.31,,77.31,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Trieste,2007-07-21,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
77.1,,77.10,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,1 se- 1,Trento,2007-04-21,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.97,,76.97,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Ostia Lido,2007-09-26,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.95,,76.95,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Sotteville,2007-06-05,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.91,,76.91,0,VIZZONI Nicola,1973,SM,G.A. FIAMME GIALLE,99 su- 1,Quarrata,2007-07-07,https://www.fidal.it/atleta/VIZZONI-Nicola/f6iRkpKlbWw%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.62,,76.62,0,VIZZONI Nicola,1973,SM,G.A. FIAMME GIALLE,3 su- 1,Milano,2007-06-23,https://www.fidal.it/atleta/VIZZONI-Nicola/f6iRkpKlbWw%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.49,,76.49,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Bari,2007-03-04,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.27,,76.27,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,5 fi- 1,Halle,2007-05-19,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.27,,76.27,0,VIZZONI Nicola,1973,SM,G.A. FIAMME GIALLE,1 su- 1,Palermo,2007-09-30,https://www.fidal.it/atleta/VIZZONI-Nicola/f6iRkpKlbWw%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.23,,76.23,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,3 fi- 1,Velenje,2007-06-28,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.18,,76.18,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,2 fi- 1,Rehlingen,2007-05-28,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.12,,76.12,0,LINGUA Marco,1978,SM,G.A. FIAMME GIALLE,2 fi- 1,Algeri,2007-06-21,https://www.fidal.it/atleta/LINGUA-Marco/dK6Rk5ancWg%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.01,,76.01,0,VIZZONI Nicola,1973,SM,G.A. FIAMME GIALLE,7 su- 1,Rieti,2007-09-09,https://www.fidal.it/atleta/VIZZONI-Nicola/f6iRkpKlbWw%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
