prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
5.29,,5.29,0,FRAOLINI Federico,1996,EM,G.S. UISPORT  TODI,1 su- 1,Narni,2007-09-15,https://www.fidal.it/atleta/FRAOLINI-Federico/fqiRk5uibWM%3D,https://www.fidal.it/societa/G-S--UISPORT-TODI/PG017
5.58,,5.58,0,RAJI Ilham,1993,CM,ATLETICA NEW STAR,16 se- 1,Bologna,2007-04-25,https://www.fidal.it/atleta/RAJI-Ilham/eqiRlpmlcWk%3D,https://www.fidal.it/societa/ATLETICA-NEW-STAR/BO430
5.44,,5.44,0,PRALORAN Tiziano,1992,CM,ATHLETIC CLUB BELLUNO,6 su- 1,Puos Alpago,2007-04-14,https://www.fidal.it/atleta/PRALORAN-Tiziano/eKmRlJKobGk%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-BELLUNO/BL009
-1,,1183,2,TASCA Chiara,1992,CF,ISOLA MILANO,1 se- 1,Nova Milanese,2007-04-25,https://www.fidal.it/atleta/TASCA-Chiara/dq2Rk5Oka2s%3D,https://www.fidal.it/societa/ISOLA-MILANO/MI213
13.51,,13.51,0,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,2 se- 1,Novo Mesto,2007-09-21,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
13.31,,13.31,0,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 fi- 1,Tarvisio,2007-05-20,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
13.3,,13.30,0,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 su- 1,Fidenza,2007-06-17,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
13.0,,13.00,0,VITA Carolina,1992,CF,ATLETICA MASSA CARRARA,1 su- 1,Livorno,2007-05-20,https://www.fidal.it/atleta/VITA-Carolina/faiSkpehcGY%3D,https://www.fidal.it/societa/ATLETICA-MASSA-CARRARA/MS064
13.0,,13.00,0,DA PRATO Debora,1992,CF,A. ATL. CAMAIORE,2 su- 1,Fidenza,2007-06-17,https://www.fidal.it/atleta/DA-PRATO-Debora/faiRm5egcGg%3D,https://www.fidal.it/societa/A--ATL--CAMAIORE/LU106
12.99,,12.99,0,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 se- 1,San Vito Al Tagliamento,2007-05-12,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
12.96,,12.96,0,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 se- 1,Trieste,2007-06-09,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
12.9,,12.90,0,DA PRATO Debora,1992,CF,A. ATL. CAMAIORE,2 su- 1,Livorno,2007-05-20,https://www.fidal.it/atleta/DA-PRATO-Debora/faiRm5egcGg%3D,https://www.fidal.it/societa/A--ATL--CAMAIORE/LU106
12.85,,12.85,0,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 se- 1,Trieste,2007-09-29,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
12.84,,12.84,0,NADALINI Beatrice,1992,CF,A.S. FRANCESCO FRANCIA,1 su- 1,Ravenna,2007-10-13,https://www.fidal.it/atleta/NADALINI-Beatrice/eqiRlZeoaGg%3D,https://www.fidal.it/societa/A-S--FRANCESCO-FRANCIA/BO015
12.76,,12.76,0,BOARO Elisa,1992,CF,LIBERTAS FRIUL PALMANOVA,1 se- 1,Majano,2007-10-21,https://www.fidal.it/atleta/BOARO-Elisa/eayRkpuhbWk%3D,https://www.fidal.it/societa/LIBERTAS-FRIUL-PALMANOVA/UD018
12.68,,12.68,0,VITA Carolina,1992,CF,ATLETICA MASSA CARRARA,1 se- 1,Livorno,2007-04-28,https://www.fidal.it/atleta/VITA-Carolina/faiSkpehcGY%3D,https://www.fidal.it/societa/ATLETICA-MASSA-CARRARA/MS064
12.61,,12.61,0,DA PRATO Debora,1992,CF,A. ATL. CAMAIORE,2 se- 1,Livorno,2007-04-28,https://www.fidal.it/atleta/DA-PRATO-Debora/faiRm5egcGg%3D,https://www.fidal.it/societa/A--ATL--CAMAIORE/LU106
12.59,,12.59,0,DA PRATO Debora,1992,CF,A. ATL. CAMAIORE,1 su- 1,Livorno,2007-06-24,https://www.fidal.it/atleta/DA-PRATO-Debora/faiRm5egcGg%3D,https://www.fidal.it/societa/A--ATL--CAMAIORE/LU106
12.59,,12.59,0,VITA Carolina,1992,CF,ATLETICA MASSA CARRARA,1 su- 1,Massa,2007-09-16,https://www.fidal.it/atleta/VITA-Carolina/faiSkpehcGY%3D,https://www.fidal.it/societa/ATLETICA-MASSA-CARRARA/MS064
12.59,,12.59,0,DA PRATO Debora,1992,CF,A. ATL. CAMAIORE,2 su- 1,Ravenna,2007-10-13,https://www.fidal.it/atleta/DA-PRATO-Debora/faiRm5egcGg%3D,https://www.fidal.it/societa/A--ATL--CAMAIORE/LU106
