prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
1456.75,24:16.5,m,CIPOLLA Domenico,1990,CM,POL. WILMA RUDOLPH MT,1 su- 1,Matera,2005-10-15,https://www.fidal.it/atleta/CIPOLLA-Domenico/haiRk5OjaWw%3D,https://www.fidal.it/societa/POL--WILMA-RUDOLPH-MT/MT097
1520.05,25:19.8,m,DICHIO Christohpher,1991,CM,ECOSPORT SB. 2000 MONTE CSAIN,2 su- 1,Matera,2005-10-15,https://www.fidal.it/atleta/DICHIO-Christohpher/haiRk5KoaWU%3D,https://www.fidal.it/societa/ECOSPORT-SB--2000-MONTE-CSAIN/MT088
1720.75,28:40.5,m,CONGIA Andrea,1990,CM,ATL LA GHIANDA SANLURI,1 se- 1,Terralba,2005-10-30,https://www.fidal.it/atleta/CONGIA-Andrea/iKiRk5mjcWw%3D,https://www.fidal.it/societa/ATL-LA-GHIANDA-SANLURI/CA175
1781.85,29:41.6,m,CONGIA Andrea,1990,CM,ATL LA GHIANDA SANLURI,1 su- 1,Carbonia,2005-05-07,https://www.fidal.it/atleta/CONGIA-Andrea/iKiRk5mjcWw%3D,https://www.fidal.it/societa/ATL-LA-GHIANDA-SANLURI/CA175
1903.47,31:43.47,e,FOGLIA Sara,1990,CF,ASS.ATL.LIBERTAS ORVIETO,1 se- 1,Sulmona,2005-10-02,https://www.fidal.it/atleta/FOGLIA-Sara/fqiRk5imbWU%3D,https://www.fidal.it/societa/ASS-ATL-LIBERTAS-ORVIETO/TR024
1202.24,20:02.24,e,RUBINO Giorgio,1986,JM,G.A. FIAMME GIALLE,1 su- 1,Velletri,2005-07-03,https://www.fidal.it/atleta/RUBINO-Giorgio/f6iRlpakamU%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
1203.85,20:03.6,m,DE LUCA Marco,1981,SM,G.A. FIAMME GIALLE,1 su- 1,Matera,2005-09-02,https://www.fidal.it/atleta/DE-LUCA-Marco/f6iRkpWgaGs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
1210.33,20:10.33,e,MANFREDINI Andrea,1978,SM,G.A. FIAMME GIALLE,2 su- 1,Velletri,2005-07-03,https://www.fidal.it/atleta/MANFREDINI-Andrea/faiRkpSfa2M%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
1226.66,20:26.66,e,NKOULOUKIDI Jean jacques,1982,SM,G.A. FIAMME GIALLE,3 su- 1,Velletri,2005-07-03,https://www.fidal.it/atleta/NKOULOUKIDI-Jean-jacques/f6iRlJKlaGQ%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
1233.23,20:33.23,e,CAFAGNA Diego,1975,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Gorizia,2005-05-08,https://www.fidal.it/atleta/CAFAGNA-Diego/eaiRkpKia2Q%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
