prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
12.05,11.8,1.0,SUSIC Luca,1991,CM,C.AZ. FINCANTIERI WARTSILA IT.,1 se- 1,Gorizia,2005-05-17,https://www.fidal.it/atleta/SUSIC-Luca/eauRkpqhcWo%3D,https://www.fidal.it/societa/C-AZ--FINCANTIERI-WARTSILA-IT-/TS087
12.05,11.8,1.0,FANZUTTI Paride,1991,CM,ATLETICA SAN DANIELE,2 se- 1,Gorizia,2005-05-17,https://www.fidal.it/atleta/FANZUTTI-Paride/eayRkpqfcWs%3D,https://www.fidal.it/societa/ATLETICA-SAN-DANIELE/UD118
11.84,11.84,0.0,PICCARDO Manuela,1991,CF,ATL. UNIVERSALE D.B. DON BOSCO,1 se- 1,Genova,2005-05-21,https://www.fidal.it/atleta/PICCARDO-Manuela/daiRk5WmamQ%3D,https://www.fidal.it/societa/ATL--UNIVERSALE-D-B--DON-BOSCO/GE016
11.85,11.6,1.0,MASIERO Silvia,1990,CF,C.U.S. PADOVA,1 se- 2,Mogliano Veneto,2005-10-16,https://www.fidal.it/atleta/MASIERO-Silvia/eKiRlZejbms%3D,https://www.fidal.it/societa/C-U-S--PADOVA/PD143
11.86,11.86,0.0,PICCARDO Manuela,1991,CF,ATL. UNIVERSALE D.B. DON BOSCO,1 se- 4,Alessandria,2005-05-15,https://www.fidal.it/atleta/PICCARDO-Manuela/daiRk5WmamQ%3D,https://www.fidal.it/societa/ATL--UNIVERSALE-D-B--DON-BOSCO/GE016
11.87,11.87,0.0,PICCARDO Manuela,1991,CF,ATL. UNIVERSALE D.B. DON BOSCO,1 fi- 1,Bisceglie,2005-10-08,https://www.fidal.it/atleta/PICCARDO-Manuela/daiRk5WmamQ%3D,https://www.fidal.it/societa/ATL--UNIVERSALE-D-B--DON-BOSCO/GE016
11.88,11.88,0.0,PICCARDO Manuela,1991,CF,ATL. UNIVERSALE D.B. DON BOSCO,1 se- 3,Aulla,2005-07-03,https://www.fidal.it/atleta/PICCARDO-Manuela/daiRk5WmamQ%3D,https://www.fidal.it/societa/ATL--UNIVERSALE-D-B--DON-BOSCO/GE016
11.9,11.90,0.0,MARZULLO Paola,1990,CF,U.S. S.VITTORE O. 1906,1 se- 4,Bergamo,2005-06-26,https://www.fidal.it/atleta/MARZULLO-Paola/dq2Rkpqja2c%3D,https://www.fidal.it/societa/U-S--S-VITTORE-O--1906/MI215
11.99,11.99,0.0,STRATI Laura,1990,CF,GS.SCOLASTICO MARCONI CASSOLA,1 se- 1,Rossano Veneto,2005-09-11,https://www.fidal.it/atleta/STRATI-Laura/eKiRlZKnaGs%3D,https://www.fidal.it/societa/GS-SCOLASTICO-MARCONI-CASSOLA/VI632
12.0,12.00,0.0,MASIERO Silvia,1990,CF,C.U.S. PADOVA,1 se- 4,Bisceglie,2005-10-07,https://www.fidal.it/atleta/MASIERO-Silvia/eKiRlZejbms%3D,https://www.fidal.it/societa/C-U-S--PADOVA/PD143
