prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
15.39,-1.8,15.39,0,BENCOSME DE LEON Jose reynaldo,1992,CM,A.S.D ATLETICA CUNEO,2 ba- 3,Lignano Sabbiadoro,2007-09-24,https://www.fidal.it/atleta/BENCOSME-DE-LEON-Jose-reynaldo/dKiRk5mnaGU%3D,https://www.fidal.it/societa/A-S-D-ATLETICA-CUNEO/CN013
15.45,,15.2,1,BERLESE Nicola,1992,CM,ATLETICA BRUGNERA FRIULINTAGLI,1 se- 1,Udine,2007-05-23,https://www.fidal.it/atleta/BERLESE-Nicola/eaqRkpmkbGQ%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
15.53,-1.1,15.53,0,BENCOSME DE LEON Jose reynaldo,1992,CM,A.S.D ATLETICA CUNEO,2 sf- 2,Lignano Sabbiadoro,2007-09-25,https://www.fidal.it/atleta/BENCOSME-DE-LEON-Jose-reynaldo/dKiRk5mnaGU%3D,https://www.fidal.it/societa/A-S-D-ATLETICA-CUNEO/CN013
15.88,-1.4,15.88,0,BENCOSME DE LEON Jose reynaldo,1992,CM,A.S.D ATLETICA CUNEO,3 fi- 2,Lignano Sabbiadoro,2007-09-26,https://www.fidal.it/atleta/BENCOSME-DE-LEON-Jose-reynaldo/dKiRk5mnaGU%3D,https://www.fidal.it/societa/A-S-D-ATLETICA-CUNEO/CN013
16.55,,16.3,1,PAOLUZZI Roberto,1993,CM,ATL.CAPANNE PRO LOCO,1 se- 1,Terni,2007-10-20,https://www.fidal.it/atleta/PAOLUZZI-Roberto/fqiRk5qhaWs%3D,https://www.fidal.it/societa/ATL-CAPANNE-PRO-LOCO/PG014
16.58,-1.8,16.58,0,BERLESE Nicola,1992,CM,ATLETICA BRUGNERA FRIULINTAGLI,3 ba- 3,Lignano Sabbiadoro,2007-09-24,https://www.fidal.it/atleta/BERLESE-Nicola/eaqRkpmkbGQ%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
16.62,-1.1,16.62,0,BERLESE Nicola,1992,CM,ATLETICA BRUGNERA FRIULINTAGLI,4 sf- 2,Lignano Sabbiadoro,2007-09-25,https://www.fidal.it/atleta/BERLESE-Nicola/eaqRkpmkbGQ%3D,https://www.fidal.it/societa/ATLETICA-BRUGNERA-FRIULINTAGLI/PN039
17.3,-0.0,17.30,0,OLMETTO Emanuele,1992,CM,SS ATL ORISTANO,3 su- 1,Sassari,2007-04-29,https://www.fidal.it/atleta/OLMETTO-Emanuele/iKiSmZamaGw%3D,https://www.fidal.it/societa/SS-ATL-ORISTANO/OR030
17.3,-1.5,17.30,0,FELLINE Francesco,1992,CM,ATL. RIGOLETTO,3 ba- 5,Lignano Sabbiadoro,2007-09-24,https://www.fidal.it/atleta/FELLINE-Francesco/dqiSl5Slamw%3D,https://www.fidal.it/societa/ATL--RIGOLETTO/MN406
17.4,,17.40,0,AVELLA Antonio,1992,CM,A.S.D.HINNA ARCHEOATL. VESUVIO,3 su- 1,San Marcellino,2007-05-18,https://www.fidal.it/atleta/AVELLA-Antonio/gKiRlpOgbGQ%3D,https://www.fidal.it/societa/A-S-D-HINNA-ARCHEOATL--VESUVIO/NA063
17.42,-1.4,17.42,0,MURGIA Mattia,1992,CM,G.S. TRILACUM,3 ba- 6,Lignano Sabbiadoro,2007-09-24,https://www.fidal.it/atleta/MURGIA-Mattia/d6iRkpuocWk%3D,https://www.fidal.it/societa/G-S--TRILACUM/TN524
17.54,-1.8,17.54,0,RE Emanuele,1992,CM,ATLETICA  OSIMO,4 ba- 3,Lignano Sabbiadoro,2007-09-24,https://www.fidal.it/atleta/RE-Emanuele/e6iRk5OocWQ%3D,https://www.fidal.it/societa/ATLETICA-OSIMO/AN001
18.45,,18.2,1,CECOLIN Federico,1992,CM,ATLETICA UDINESE MALIGNANI,6 se- 1,Udine,2007-05-23,https://www.fidal.it/atleta/CECOLIN-Federico/eayRkpuib2g%3D,https://www.fidal.it/societa/ATLETICA-UDINESE-MALIGNANI/UD030
18.75,,18.5,1,PARLANTE Marco,1992,CM,MARATHON U.O.E.I. TRIESTE,8 se- 1,Udine,2007-05-23,https://www.fidal.it/atleta/PARLANTE-Marco/eauRkpmhbWQ%3D,https://www.fidal.it/societa/MARATHON-U-O-E-I--TRIESTE/TS044
18.8,,18.80,0,MANNIELLO Giuseppe,1992,CM,ASD CSAAS AMAT. ATL. SORRENTO,6 su- 1,San Marcellino,2007-05-18,https://www.fidal.it/atleta/MANNIELLO-Giuseppe/gKiRlpKmcWs%3D,https://www.fidal.it/societa/ASD-CSAAS-AMAT--ATL--SORRENTO/NA370
