prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
76.28,1:16.28,e,CASACCA Serena,1992,CF,AS ATLETICA MACOMER,1 su- 1,Sassari,2007-04-29,https://www.fidal.it/atleta/CASACCA-Serena/iKiRlJOlams%3D,https://www.fidal.it/societa/AS-ATLETICA-MACOMER/NU171
78.21,1:18.21,e,CASACCA Serena,1992,CF,AS ATLETICA MACOMER,3 su- 1,Oristano,2007-04-15,https://www.fidal.it/atleta/CASACCA-Serena/iKiRlJOlams%3D,https://www.fidal.it/societa/AS-ATLETICA-MACOMER/NU171
80.01,1:20.01,e,VACCA Laura,1992,CF,C.U.S. SASSARI,2 su- 1,Sassari,2007-04-29,https://www.fidal.it/atleta/VACCA-Laura/iKiSmZSkcWs%3D,https://www.fidal.it/societa/C-U-S--SASSARI/SS019
57.45,57.45,e,SPANO Nicolo',1981,SM,C.U.S. SASSARI,1 su- 1,Sassari,2007-06-01,https://www.fidal.it/atleta/SPANO-Nicolo-/iKiRkpShcWU%3D,https://www.fidal.it/societa/C-U-S--SASSARI/SS019
56.26,56.26,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Varsavia,2007-06-17,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.46,56.46,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,5 se- 1,Atene,2007-07-02,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.5,56.50,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Milano,2007-06-23,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.53,56.53,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,1 se- 2,Trento,2007-06-02,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.54,56.54,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,3 su- 1,Albufeira,2007-05-26,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.56,56.56,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,5 su- 1,Roma,2007-07-13,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.59,56.59,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,1 fi- 1,Padova,2007-07-28,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.66,56.66,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Rieti,2007-05-19,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.72,56.72,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,1 se- 2,Madrid,2007-07-21,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
56.78,56.78,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,4 se- 1,Lucerna,2007-06-28,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
57.02,57.02,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,8 su- 1,Rieti,2007-09-09,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
57.03,57.03,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Montgeron,2007-05-12,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
57.04,57.04,e,GENTILI Manuela,1978,SF,A.S.D. C.U.S. PALERMO,2 fi- 1,Padova,2007-07-28,https://www.fidal.it/atleta/GENTILI-Manuela/eqiRkpOicGU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--PALERMO/PA001
57.28,57.28,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,6 se- 1,Rovereto,2007-09-12,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
57.33,57.33,e,GENTILI Manuela,1978,SF,A.S.D. C.U.S. PALERMO,4 se- 1,Ginevra,2007-06-09,https://www.fidal.it/atleta/GENTILI-Manuela/eqiRkpOicGU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--PALERMO/PA001
57.66,57.66,e,SCARDANZAN Elisa,1985,PF,G.S. FIAMME ORO PADOVA,1 su- 1,Bressanone,2007-06-17,https://www.fidal.it/atleta/SCARDANZAN-Elisa/eKmRkpKhbWQ%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
57.97,57.97,e,GENTILI Manuela,1978,SF,A.S.D. C.U.S. PALERMO,1 se- 1,Trento,2007-06-02,https://www.fidal.it/atleta/GENTILI-Manuela/eqiRkpOicGU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--PALERMO/PA001
57.97,57.97,e,ROCCO Lara,1975,SF,G.S. FIAMME ORO PADOVA,3 se- 2,Trento,2007-06-02,https://www.fidal.it/atleta/ROCCO-Lara/eKiRkpWhcWo%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
57.98,57.98,e,ROCCO Lara,1975,SF,G.S. FIAMME ORO PADOVA,1 se- 1,Pordenone,2007-07-13,https://www.fidal.it/atleta/ROCCO-Lara/eKiRkpWhcWo%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131
58.08,58.08,e,GENTILI Manuela,1978,SF,A.S.D. C.U.S. PALERMO,2 se- 2,Pavia,2007-05-13,https://www.fidal.it/atleta/GENTILI-Manuela/eqiRkpOicGU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--PALERMO/PA001
58.11,58.11,e,CECCARELLI Benedetta,1980,SF,C.S. CARABINIERI SEZ. ATLETICA,3 se- 2,Palermo,2007-09-30,https://www.fidal.it/atleta/CECCARELLI-Benedetta/fqiRkpOjbmY%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
58.2,58.20,e,GENTILI Manuela,1978,SF,A.S.D. C.U.S. PALERMO,1 su- 1,Catania,2007-05-20,https://www.fidal.it/atleta/GENTILI-Manuela/eqiRkpOicGU%3D,https://www.fidal.it/societa/A-S-D--C-U-S--PALERMO/PA001
