prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
17.6,,ESPOSITO Antonio,1994,EM,G.P. LA CORSA,3 se- 2,Napoli,2005-10-29,https://www.fidal.it/atleta/ESPOSITO-Antonio/gKiRlZuhbWo%3D,https://www.fidal.it/societa/G-P--LA-CORSA/NA018
16.5,,MAZZOTTA Leonardo,1995,EM,LIB. G.S. SS SALVATORE,4 se- 3,Salerno,2005-04-09,https://www.fidal.it/atleta/MAZZOTTA-Leonardo/gKiRlZelb2M%3D,https://www.fidal.it/societa/LIB--G-S--SS-SALVATORE/SA129
16.3,,SANTORO Giuseppe,1994,EM,A.S. ATL. MARANO,5 se- 2,Villa Literno,2005-06-23,https://www.fidal.it/atleta/SANTORO-Giuseppe/gKiRlZqkcWc%3D,https://www.fidal.it/societa/A-S--ATL--MARANO/NA019
16.48,,CARINO Cristian,1997,EM,A.S. LA PRIMAVERA ATLETICA,4 se- 3,Modena,2005-04-30,https://www.fidal.it/atleta/CARINO-Cristian/eqiRlZeibWU%3D,https://www.fidal.it/societa/A-S--LA-PRIMAVERA-ATLETICA/MO266
15.7,,MONTUORI Gerolamo,1994,EM,G.P. LA CORSA,3 se- 3,Napoli,2005-10-29,https://www.fidal.it/atleta/MONTUORI-Gerolamo/gKiRlZuhbGc%3D,https://www.fidal.it/societa/G-P--LA-CORSA/NA018
15.6,,DE SIMONE Salvatore,1995,EM,LIB. G.S. SS SALVATORE,3 se- 3,Salerno,2005-04-09,https://www.fidal.it/atleta/DE-SIMONE-Salvatore/gKiRlZejb2g%3D,https://www.fidal.it/societa/LIB--G-S--SS-SALVATORE/SA129
15.6,,CORALLI Michele,1996,EM,ATL. STUDENTESCA CA.RI.RI,4 se- 1,Rieti,2005-10-22,https://www.fidal.it/atleta/CORALLI-Michele/f6iRmJegcWo%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
15.6,,DE NUNZIO Fabio,1995,EM,G.P. LA CORSA,2 se- 4,Napoli,2005-10-29,https://www.fidal.it/atleta/DE-NUNZIO-Fabio/gKiRlZuhbmQ%3D,https://www.fidal.it/societa/G-P--LA-CORSA/NA018
15.34,,MARCHESI Federico,1996,EM,POL. CASTELFRANCO EMILIA,3 se- 3,Modena,2005-04-30,https://www.fidal.it/atleta/MARCHESI-Federico/eqiRlZeibmY%3D,https://www.fidal.it/societa/POL--CASTELFRANCO-EMILIA/MO060
14.8,,QUONDAMSTEFANO Iacopo,1996,EM,ATL. STUDENTESCA CA.RI.RI,11 se- 1,Rieti,2005-10-22,https://www.fidal.it/atleta/QUONDAMSTEFANO-Iacopo/f6iRmJefa2M%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
