prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
7577.0,,VITI Marzio,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,4 su- 1,Bydgoszcz,2005-07-03,https://www.fidal.it/atleta/VITI-Marzio/faiRkpOoaGw%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7547.0,,FRULLANI William,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,17 su- 1,Gotzis,2005-05-29,https://www.fidal.it/atleta/FRULLANI-William/faiRkpWhcGk%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7387.0,,FRULLANI William,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,15 su- 1,Bydgoszcz,2005-07-03,https://www.fidal.it/atleta/FRULLANI-William/faiRkpWhcGk%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7344.0,,MOTTADELLI Paolo,1979,SM,ATL.  CENTO TORRI PAVIA,1 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/MOTTADELLI-Paolo/dqiRkpqhbGo%3D,https://www.fidal.it/societa/ATL--CENTO-TORRI-PAVIA/PV110
7308.0,,CEGLIE Luca,1979,SM,C.S. AERONAUTICA MILITARE,21 su- 1,Bydgoszcz,2005-07-03,https://www.fidal.it/atleta/CEGLIE-Luca/hKiRkpuha2o%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7277.0,,MOTTADELLI Paolo,1979,SM,ATL.  CENTO TORRI PAVIA,8 su- 1,Izmir,2005-08-19,https://www.fidal.it/atleta/MOTTADELLI-Paolo/dqiRkpqhbGo%3D,https://www.fidal.it/societa/ATL--CENTO-TORRI-PAVIA/PV110
7244.0,,CEGLIE Luca,1979,SM,C.S. AERONAUTICA MILITARE,2 su- 1,Forli,2005-10-02,https://www.fidal.it/atleta/CEGLIE-Luca/hKiRkpuha2o%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7177.0,,VITI Marzio,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,11 su- 1,Salo,2005-05-08,https://www.fidal.it/atleta/VITI-Marzio/faiRkpOoaGw%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
7150.0,,KRANNER Matteo,1983,PM,C.S. AERONAUTICA MILITARE,1 su- 1,Formia,2005-06-19,https://www.fidal.it/atleta/KRANNER-Matteo/f6iRlJiiams%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
7109.0,,VITI Marzio,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Fano,2005-05-22,https://www.fidal.it/atleta/VITI-Marzio/faiRkpOoaGw%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
