prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
18.14,,MANNUCCI Eugenio umberto,1986,JM,G.A. FIAMME GIALLE,1 su- 1,Grosseto,2005-06-04,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
17.96,,MANNUCCI Eugenio umberto,1986,JM,G.A. FIAMME GIALLE,1 fi- 1,Viterbo,2005-05-25,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
17.76,,MANNUCCI Eugenio umberto,1986,JM,G.A. FIAMME GIALLE,1 fi- 1,Viterbo,2005-05-08,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
17.76,,MANNUCCI Eugenio umberto,1986,JM,G.A. FIAMME GIALLE,8 qu- 2,Kaunas,2005-07-21,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
17.55,,CARLINI Marco,1986,JM,ATL.LIB. CITTA' DI CASTELLO,1 se- 1,Perugia,2005-06-24,https://www.fidal.it/atleta/CARLINI-Marco/fqiRk5Siamc%3D,https://www.fidal.it/societa/ATL-LIB--CITTA-DI-CASTELLO/PG021
17.26,,MANNUCCI Eugenio umberto,1986,JM,G.A. FIAMME GIALLE,3 su- 1,Marsiglia,2005-08-07,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
17.21,,MANNUCCI Eugenio umberto,1986,JM,G.A. FIAMME GIALLE,1 fi- 1,Roma,2005-09-25,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
17.21,,MANNUCCI Eugenio umberto,1986,JM,G.A. FIAMME GIALLE,1 su- 1,Forli,2005-09-30,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
17.16,,MANNUCCI Eugenio umberto,1986,JM,G.A. FIAMME GIALLE,1 su- 1,Pietrasanta,2005-10-09,https://www.fidal.it/atleta/MANNUCCI-Eugenio-umberto/f6iRlpWjcGY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
16.98,,GOVONI Marco,1985,PM,PRO SESTO ATL.,1 su- 1,Pavia,2005-09-25,https://www.fidal.it/atleta/GOVONI-Marco/dqiRlZuicGw%3D,https://www.fidal.it/societa/PRO-SESTO-ATL-/MI089
