prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
4041.0,,AVOLEDO Fabiola,2000,CF,LIBERTAS CASARSA,1 se- 1,Sulmona,2015-10-11,https://www.fidal.it/atleta/AVOLEDO-Fabiola/eaqRkpuhcWc%3D,https://www.fidal.it/societa/LIBERTAS-CASARSA/PN025
4004.0,,RONCATO Anna,2001,CF,ATL.AUDACE NOALE,2 se- 1,Sulmona,2015-10-11,https://www.fidal.it/atleta/RONCATO-Anna/eK2RkpemcWw%3D,https://www.fidal.it/societa/ATL-AUDACE-NOALE/VE464
3994.0,,AVOLEDO Fabiola,2000,CF,LIBERTAS CASARSA,1 su- 1,Udine,2015-09-12,https://www.fidal.it/atleta/AVOLEDO-Fabiola/eaqRkpuhcWc%3D,https://www.fidal.it/societa/LIBERTAS-CASARSA/PN025
3963.0,,AVOLEDO Fabiola,2000,CF,LIBERTAS CASARSA,1 su- 1,Rossano Veneto,2015-09-06,https://www.fidal.it/atleta/AVOLEDO-Fabiola/eaqRkpuhcWc%3D,https://www.fidal.it/societa/LIBERTAS-CASARSA/PN025
3951.0,,CALA Teuta,2000,CF,ATL. STUDENTESCA CA.RI.RI,1 su- 1,Roma,2015-09-23,https://www.fidal.it/atleta/CALA-Teuta/f6uRkpKmb2Y%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
3936.0,,RONCATO Anna,2001,CF,ATL.AUDACE NOALE,1 su- 1,Padova,2015-09-12,https://www.fidal.it/atleta/RONCATO-Anna/eK2RkpemcWw%3D,https://www.fidal.it/societa/ATL-AUDACE-NOALE/VE464
3867.0,,STERNI Meta,2000,CF,SPORTNO ZDRUZENJE BOR ASSOCI,2 su- 1,Udine,2015-09-12,https://www.fidal.it/atleta/STERNI-Meta/eauRk5Oia2Q%3D,https://www.fidal.it/societa/SPORTNO-ZDRUZENJE-BOR-ASSOCI/TS006
3833.0,,DE MARCO Carlotta,2000,CF,CENTRO ATLETICA PIOMBINO,3 se- 1,Sulmona,2015-10-11,https://www.fidal.it/atleta/DE-MARCO-Carlotta/fayRkpKfaGg%3D,https://www.fidal.it/societa/CENTRO-ATLETICA-PIOMBINO/LI038
3815.0,,CALA Teuta,2000,CF,ATL. STUDENTESCA CA.RI.RI,1 su- 1,Latina,2015-07-11,https://www.fidal.it/atleta/CALA-Teuta/f6uRkpKmb2Y%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
3811.0,,SILVESTRI Emma,2001,CF,COLLECTION ATLETICA SAMBENEDET,1 su- 1,Osimo,2015-06-13,https://www.fidal.it/atleta/SILVESTRI-Emma/e6qRkpOlamo%3D,https://www.fidal.it/societa/COLLECTION-ATLETICA-SAMBENEDET/AP034
