prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
15:45.49,VIGNOLA Claudio,1977,SM,ATLETICA SANDRO CALVESI,4 su- 1,Torino,2005-05-14,https://www.fidal.it/atleta/VIGNOLA-Claudio/jKiRlJSocGc%3D,https://www.fidal.it/societa/ATLETICA-SANDRO-CALVESI/AO004
14:18.05,MILIONE Morgan,1970,SM35,C.U.S. SALERNO,3 su- 1,Salerno,2005-05-28,https://www.fidal.it/atleta/MILIONE-Morgan/gKiRk5uma2w%3D,https://www.fidal.it/societa/C-U-S--SALERNO/SA265
12:46.3,MUSIANI Daniele,1982,SM,ATL. IMOLA SACMI AVIS,5 su- 1,Bologna,2005-07-21,https://www.fidal.it/atleta/MUSIANI-Daniele/eqiRk5OmcWY%3D,https://www.fidal.it/societa/ATL--IMOLA-SACMI-AVIS/BO014
12:37.4,BIAGI Matteo,1988,AM,ATL. IMOLA SACMI AVIS,4 su- 1,Bologna,2005-07-21,https://www.fidal.it/atleta/BIAGI-Matteo/eqiRlJuob2s%3D,https://www.fidal.it/societa/ATL--IMOLA-SACMI-AVIS/BO014
12:31.4,MANNI Nicolo',1988,AM,POL. CASTELFRANCO EMILIA,9 se- 1,Castelfranco Emilia,2005-05-21,https://www.fidal.it/atleta/MANNI-Nicolo-/eqiRlJuocWQ%3D,https://www.fidal.it/societa/POL--CASTELFRANCO-EMILIA/MO060
12:30.38,INVENINATO Daniele,1987,JM,A.S.D. C.A.S. PIETRO CLARENZA,6 su- 1,Catania,2005-05-14,https://www.fidal.it/atleta/INVENINATO-Daniele/h6iRlJikbWw%3D,https://www.fidal.it/societa/A-S-D--C-A-S--PIETRO-CLARENZA/CT262
12:30.06,BATTAGLIA Alessandro,1986,JM,A.ATL. LECCO-COLOMBO COSTRUZ.,9 su- 1,Pavia,2005-09-24,https://www.fidal.it/atleta/BATTAGLIA-Alessandro/dqiRlZSkbmQ%3D,https://www.fidal.it/societa/A-ATL--LECCO-COLOMBO-COSTRUZ-/CO208
12:30.05,SCHINTU Elia,1983,PM,ASSI BANCA TOSCANA FIRENZE,13 su- 1,Lucca,2005-05-14,https://www.fidal.it/atleta/SCHINTU-Elia/faiSkpOnb2s%3D,https://www.fidal.it/societa/ASSI-BANCA-TOSCANA-FIRENZE/FI001
12:27.48,PATRONELLI Salvatore,1986,JM,S.S. L'AMICO TARANTO,10 su- 1,Molfetta,2005-05-14,https://www.fidal.it/atleta/PATRONELLI-Salvatore/hKiSmJmgb2g%3D,https://www.fidal.it/societa/S-S--L-AMICO-TARANTO/TA401
12:25.18,DISSEGNA Alessandro,1984,PM,ATLETICA LIBERTAS PADOVA,13 su- 1,Marcon,2005-05-14,https://www.fidal.it/atleta/DISSEGNA-Alessandro/eKiRlZelamk%3D,https://www.fidal.it/societa/ATLETICA-LIBERTAS-PADOVA/PD135
12:23.68,DISSEGNA Alessandro,1984,PM,ATLETICA LIBERTAS PADOVA,10 su- 1,Marcon,2005-09-24,https://www.fidal.it/atleta/DISSEGNA-Alessandro/eKiRlZelamk%3D,https://www.fidal.it/societa/ATLETICA-LIBERTAS-PADOVA/PD135
12:12.46,COSSETTA Roberto,1970,SM35,ATLETIC TEAM 2000,5 su- 1,Alessandria,2005-06-21,https://www.fidal.it/atleta/COSSETTA-Roberto/jKiRkpWhaWk%3D,https://www.fidal.it/societa/ATLETIC-TEAM-2000/AO015
12:11.55,DE PLANO Roberto,1984,PM,ATL. COLOSSEO 2000,11 su- 1,Roma,2005-05-14,https://www.fidal.it/atleta/DE-PLANO-Roberto/f6iRmJagcWo%3D,https://www.fidal.it/societa/ATL--COLOSSEO-2000/RM105
12:06.45,PATRONELLI Salvatore,1986,JM,S.S. L'AMICO TARANTO,6 su- 1,Matera,2005-05-28,https://www.fidal.it/atleta/PATRONELLI-Salvatore/hKiSmJmgb2g%3D,https://www.fidal.it/societa/S-S--L-AMICO-TARANTO/TA401
12:06.3,RAVASIO Daniele,1974,SM,G.S. A.MARINELLI COMENDUNO,2 se- 1,Bergamo,2005-06-29,https://www.fidal.it/atleta/RAVASIO-Daniele/dqmRlpilbmw%3D,https://www.fidal.it/societa/G-S--A-MARINELLI-COMENDUNO/BG351
11:59.16,TERLICHER Marco,1972,SM,C.U.S. TRIESTE,5 su- 1,Gorizia,2005-09-11,https://www.fidal.it/atleta/TERLICHER-Marco/eaiRkpOhamg%3D,https://www.fidal.it/societa/C-U-S--TRIESTE/TS010
11:58.65,COSSETTA Roberto,1970,SM35,ATLETIC TEAM 2000,1 su- 1,Aosta,2005-06-09,https://www.fidal.it/atleta/COSSETTA-Roberto/jKiRkpWhaWk%3D,https://www.fidal.it/societa/ATLETIC-TEAM-2000/AO015
11:57.54,FRACCHIOLLA Mattia,1985,PM,UNIVERSALE ALBA DOCILIA,3 su- 1,Genova,2005-09-18,https://www.fidal.it/atleta/FRACCHIOLLA-Mattia/daiRk5OnbGs%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
11:55.09,PIALLI Francesco,1977,SM,ATL. SESTINI,3 se- 1,Firenze,2005-04-16,https://www.fidal.it/atleta/PIALLI-Francesco/faiRlJina2g%3D,https://www.fidal.it/societa/ATL--SESTINI/AR051
11:53.65,GALLIANI Andrea,1979,SM,G.S. BERNATESE,11 su- 1,Rovellasca,2005-07-27,https://www.fidal.it/atleta/GALLIANI-Andrea/dquRkpWoaGc%3D,https://www.fidal.it/societa/G-S--BERNATESE/CO056
11:49.6,NOBILI Marco,1985,PM,ATL.C.R.PISTOIA E PESCIA,3 su- 1,Campi Bisenzio,2005-09-17,https://www.fidal.it/atleta/NOBILI-Marco/faiRlJOoaGQ%3D,https://www.fidal.it/societa/ATL-C-R-PISTOIA-E-PESCIA/PT115
11:49.1,COSSETTA Roberto,1970,SM35,ATLETIC TEAM 2000,1 se- 1,Novi Ligure,2005-08-30,https://www.fidal.it/atleta/COSSETTA-Roberto/jKiRkpWhaWk%3D,https://www.fidal.it/societa/ATLETIC-TEAM-2000/AO015
11:48.42,DE PLANO Roberto,1984,PM,ATL. COLOSSEO 2000,3 su- 1,Roma,2005-09-24,https://www.fidal.it/atleta/DE-PLANO-Roberto/f6iRmJagcWo%3D,https://www.fidal.it/societa/ATL--COLOSSEO-2000/RM105
11:48.40,BATTAGLIA Alessandro,1986,JM,A.ATL. LECCO-COLOMBO COSTRUZ.,9 su- 1,San Giorgio Su Legnano,2005-10-08,https://www.fidal.it/atleta/BATTAGLIA-Alessandro/dqiRlZSkbmQ%3D,https://www.fidal.it/societa/A-ATL--LECCO-COLOMBO-COSTRUZ-/CO208
11:46.33,VOLPICELLA Giuseppe,1986,JM,S.S. FIAMMA GIOVINAZZO,7 su- 1,Foggia,2005-04-30,https://www.fidal.it/atleta/VOLPICELLA-Giuseppe/hKiSmZegb2k%3D,https://www.fidal.it/societa/S-S--FIAMMA-GIOVINAZZO/BA021
