prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
354.31,,5:54.31,0,CAIANI Cesare,2003,AM,ATL BRUGNERA PN FRIULINTAGLI,1 se- 1,Modena,2020-10-17,https://www.fidal.it/atleta/CAIANI-Cesare/eaqRk5OocWQ%3D,https://www.fidal.it/societa/ATL-BRUGNERA-PN-FRIULINTAGLI/PN039
357.97,,5:57.97,0,VALDUGA Simone,2004,AM,U.S. QUERCIA TRENTINGRANA,2 se- 1,Modena,2020-10-17,https://www.fidal.it/atleta/VALDUGA-Simone/d6iRk5mjaWk%3D,https://www.fidal.it/societa/U-S--QUERCIA-TRENTINGRANA/TN109
360.11,,6:00.11,0,CAIANI Cesare,2003,AM,ATL BRUGNERA PN FRIULINTAGLI,1 su- 1,Tolmezzo,2020-10-04,https://www.fidal.it/atleta/CAIANI-Cesare/eaqRk5OocWQ%3D,https://www.fidal.it/societa/ATL-BRUGNERA-PN-FRIULINTAGLI/PN039
362.94,,6:02.94,0,SPALLETTA Valerio,2003,AM,RCF ROMA SUD,3 se- 1,Modena,2020-10-17,https://www.fidal.it/atleta/SPALLETTA-Valerio/f6yRk5alcGU%3D,https://www.fidal.it/societa/RCF-ROMA-SUD/RS195
367.23,,6:07.23,0,GORI Leonardo,2003,AM,ATLETICA WINNER FOLIGNO,4 se- 1,Modena,2020-10-17,https://www.fidal.it/atleta/GORI-Leonardo/fqmRkpKob2s%3D,https://www.fidal.it/societa/ATLETICA-WINNER-FOLIGNO/PG070
367.34,,6:07.34,0,AUGIMERI Raffaele,2003,AM,ATL. ADEN  EXPRIVIA MOLFETTA,5 se- 1,Modena,2020-10-17,https://www.fidal.it/atleta/AUGIMERI-Raffaele/hKmRkpSocGw%3D,https://www.fidal.it/societa/ATL--ADEN-EXPRIVIA-MOLFETTA/BA091
369.35,,6:09.35,0,SPALLETTA Valerio,2003,AM,RCF ROMA SUD,1 se- 1,Abbadia San Salvatore,2020-08-08,https://www.fidal.it/atleta/SPALLETTA-Valerio/f6yRk5alcGU%3D,https://www.fidal.it/societa/RCF-ROMA-SUD/RS195
369.44,,6:09.44,0,GAMBONE Gabriele,2003,AM,TOSCANA ATLETICA FUTURA,6 se- 1,Modena,2020-10-17,https://www.fidal.it/atleta/GAMBONE-Gabriele/faqRkpahbmk%3D,https://www.fidal.it/societa/TOSCANA-ATLETICA-FUTURA/FI018
369.49,,6:09.49,0,SILIQUINI Edoardo,2004,AM,S.A.F.ATLETICA PIEMONTE A.S.D.,7 se- 1,Modena,2020-10-17,https://www.fidal.it/atleta/SILIQUINI-Edoardo/dK6RlpSibWM%3D,https://www.fidal.it/societa/S-A-F-ATLETICA-PIEMONTE-A-S-D-/TO226
369.59,,6:09.59,0,DA ROLD Patrick,2003,AM,A.ATL.DOLOMITI BELLUNO,8 se- 1,Modena,2020-10-17,https://www.fidal.it/atleta/DA-ROLD-Patrick/eKmRlJelamc%3D,https://www.fidal.it/societa/A-ATL-DOLOMITI-BELLUNO/BL010
370.49,,6:10.49,0,SILIQUINI Edoardo,2004,AM,S.A.F.ATLETICA PIEMONTE A.S.D.,1 su- 1,Macerata,2020-08-22,https://www.fidal.it/atleta/SILIQUINI-Edoardo/dK6RlpSibWM%3D,https://www.fidal.it/societa/S-A-F-ATLETICA-PIEMONTE-A-S-D-/TO226
370.72,,6:10.72,0,BRUSA Edoardo,2003,AM,ATL. LECCO-COLOMBO COSTRUZ.,9 se- 1,Modena,2020-10-17,https://www.fidal.it/atleta/BRUSA-Edoardo/drKRk5Wka2k%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
372.59,,6:12.59,0,SPALLETTA Valerio,2003,AM,RCF ROMA SUD,1 su- 1,Rieti,2020-10-04,https://www.fidal.it/atleta/SPALLETTA-Valerio/f6yRk5alcGU%3D,https://www.fidal.it/societa/RCF-ROMA-SUD/RS195
372.66,,6:12.66,0,SPALLETTA Valerio,2003,AM,RCF ROMA SUD,1 su- 1,Roma,2020-07-19,https://www.fidal.it/atleta/SPALLETTA-Valerio/f6yRk5alcGU%3D,https://www.fidal.it/societa/RCF-ROMA-SUD/RS195
375.88,,6:15.88,0,GORI Leonardo,2003,AM,ATLETICA WINNER FOLIGNO,1 su- 1,Roma,2020-10-11,https://www.fidal.it/atleta/GORI-Leonardo/fqmRkpKob2s%3D,https://www.fidal.it/societa/ATLETICA-WINNER-FOLIGNO/PG070
376.96,,6:16.96,0,VALDUGA Simone,2004,AM,U.S. QUERCIA TRENTINGRANA,1 se- 1,Chiari,2020-08-09,https://www.fidal.it/atleta/VALDUGA-Simone/d6iRk5mjaWk%3D,https://www.fidal.it/societa/U-S--QUERCIA-TRENTINGRANA/TN109
378.81,,6:18.81,0,DA ROLD Patrick,2003,AM,A.ATL.DOLOMITI BELLUNO,1 su- 1,Mestre,2020-09-05,https://www.fidal.it/atleta/DA-ROLD-Patrick/eKmRlJelamc%3D,https://www.fidal.it/societa/A-ATL-DOLOMITI-BELLUNO/BL010
381.14,,6:21.14,0,BRUSA Edoardo,2003,AM,ATL. LECCO-COLOMBO COSTRUZ.,1 se- 2,Mariano Comense,2020-09-27,https://www.fidal.it/atleta/BRUSA-Edoardo/drKRk5Wka2k%3D,https://www.fidal.it/societa/ATL--LECCO-COLOMBO-COSTRUZ-/CO208
383.21,,6:23.21,0,SALONIA Antonio livio,2003,AM,SIRACUSATLETICA,1 se- 2,Modena,2020-10-17,https://www.fidal.it/atleta/SALONIA-Antonio-livio/h7GRkpKmbGc%3D,https://www.fidal.it/societa/SIRACUSATLETICA/SR248
383.3,,6:23.30,0,DAL PRA Giulio,2003,AM,ATL.VICENTINA,2 su- 1,Mestre,2020-09-05,https://www.fidal.it/atleta/DAL-PRA-Giulio/eK6RkpeibGo%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
383.55,,6:23.55,0,DAL PRA Giulio,2003,AM,ATL.VICENTINA,11 se- 1,Modena,2020-10-17,https://www.fidal.it/atleta/DAL-PRA-Giulio/eK6RkpeibGo%3D,https://www.fidal.it/societa/ATL-VICENTINA/VI626
385.1,,6:25.10,0,PASQUINUCCI Gabriele,2003,AM,ATLETICA FIRENZE MARATHON S.S.,12 se- 1,Modena,2020-10-17,https://www.fidal.it/atleta/PASQUINUCCI-Gabriele/faqRkpShbmQ%3D,https://www.fidal.it/societa/ATLETICA-FIRENZE-MARATHON-S-S-/FI002
386.11,,6:26.11,0,NANNI Gianluca,2003,AM,RCF ROMA SUD,1 su- 1,Roma,2020-09-06,https://www.fidal.it/atleta/NANNI-Gianluca/f6yRk5alb2k%3D,https://www.fidal.it/societa/RCF-ROMA-SUD/RS195
387.58,,6:27.58,0,MAPELLI Enrico,2004,AM,BERGAMO STARS ATLETICA,2 se- 2,Modena,2020-10-17,https://www.fidal.it/atleta/MAPELLI-Enrico/dqmRl5uoa2o%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
388.14,,6:28.14,0,NORIS Andrea,2004,AM,BERGAMO STARS ATLETICA,3 se- 2,Modena,2020-10-17,https://www.fidal.it/atleta/NORIS-Andrea/dqmRl5qmbWs%3D,https://www.fidal.it/societa/BERGAMO-STARS-ATLETICA/BG795
