prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
4.2,,4.20,0,MANZO Matteo,1996,EM,A.P. AMATORI ATLETICA NAPOLI,3 su- 1,Foggia,2005-10-15,https://www.fidal.it/atleta/MANZO-Matteo/gKiRlZiocGU%3D,https://www.fidal.it/societa/A-P--AMATORI-ATLETICA-NAPOLI/NA064
3.2,,3.20,0,COLOMBO Giulia,1994,EF,ATLETICA ASSAGO,26 su- 1,San Donato Milanese,2005-10-22,https://www.fidal.it/atleta/COLOMBO-Giulia/dq2Rk5ilcGc%3D,https://www.fidal.it/societa/ATLETICA-ASSAGO/MI279
3.0,,3.00,0,GALLI Giulia,1994,EF,AS.P.E.S.,2 su- 1,Donnas,2005-05-22,https://www.fidal.it/atleta/GALLI-Giulia/dq2Rk5WkaWk%3D,https://www.fidal.it/societa/AS-P-E-S-/MI330
4.25,,4.25,0,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 su- 1,Bisceglie,2005-10-08,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
4.1,,4.10,0,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Rieti,2005-05-25,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
4.0,,4.00,0,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Formia,2005-07-06,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
4.0,,4.00,0,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Roma,2005-09-17,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
4.0,,4.00,0,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,2 su- 1,Bisceglie,2005-10-08,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
3.9,,3.90,0,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Rieti,2005-06-14,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.9,,3.90,0,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,1 se- 1,Recanati,2005-08-12,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
3.9,,3.90,0,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,4 se- 1,Trento,2005-08-27,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.9,,3.90,0,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,3 su- 1,Bisceglie,2005-10-08,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
3.9,,3.90,0,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,1 su- 0,Ascoli Picemo,2005-10-22,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
3.8,,3.80,0,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Rieti,2005-05-22,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.8,,3.80,0,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Roma,2005-06-10,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.8,,3.80,0,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,3 se- 1,Orvieto,2005-06-19,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.8,,3.80,0,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,1 su- 1,Castelcovati,2005-09-18,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
3.8,,3.80,0,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,1 se- 1,Fermo,2005-10-02,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
3.8,,3.80,0,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,1 se- 1,Bassano Del Grappa,2005-10-15,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
3.7,,3.70,0,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,1 se- 1,Cremona,2005-09-10,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
3.7,,3.70,0,BAROIS Matteo,1990,CM,FIAMME GIALLE G. SIMONI,4 su- 1,Bisceglie,2005-10-08,https://www.fidal.it/atleta/BAROIS-Matteo/f6iRl5moa2g%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.7,,3.70,0,PALAZZO Marcello,1991,CM,SCUOLA NAZIONALE ASTA,1 su- 1,Foggia,2005-10-15,https://www.fidal.it/atleta/PALAZZO-Marcello/hKiSmZmoa2U%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
3.6,,3.60,0,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,1 su- 1,Lodi,2005-06-04,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
3.6,,3.60,0,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,2 fi- 1,Formia,2005-07-06,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
3.6,,3.60,0,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,1 su- 1,Aosta,2005-07-10,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
3.6,,3.60,0,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,9 se- 1,Ascoli Piceno,2005-07-30,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
3.6,,3.60,0,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Rieti,2005-09-11,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.6,,3.60,0,BAROIS Matteo,1990,CM,FIAMME GIALLE G. SIMONI,2 fi- 1,Rieti,2005-09-11,https://www.fidal.it/atleta/BAROIS-Matteo/f6iRl5moa2g%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.6,,3.60,0,BAROIS Matteo,1990,CM,FIAMME GIALLE G. SIMONI,2 fi- 1,Roma,2005-09-17,https://www.fidal.it/atleta/BAROIS-Matteo/f6iRl5moa2g%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.6,,3.60,0,SETTE Marco,1990,CM,ASSINDUSTRIA SPORT PD,5 su- 1,Bisceglie,2005-10-08,https://www.fidal.it/atleta/SETTE-Marco/eKiRlJujaGU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PD/PD140
3.55,,3.55,0,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,1 se- 1,Casalmaggiore,2005-04-30,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
3.52,,3.52,0,PALAZZO Marcello,1991,CM,SCUOLA NAZIONALE ASTA,1 su- 1,Molfetta,2005-10-02,https://www.fidal.it/atleta/PALAZZO-Marcello/hKiSmZmoa2U%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
3.5,,3.50,0,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,4 se- 1,Orvieto,2005-06-19,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
3.5,,3.50,0,PALAZZO Marcello,1991,CM,SCUOLA NAZIONALE ASTA,3 fi- 1,Formia,2005-07-06,https://www.fidal.it/atleta/PALAZZO-Marcello/hKiSmZmoa2U%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
3.5,,3.50,0,PALAZZO Marcello,1991,CM,SCUOLA NAZIONALE ASTA,6 su- 1,Bisceglie,2005-10-08,https://www.fidal.it/atleta/PALAZZO-Marcello/hKiSmZmoa2U%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
3.5,,3.50,0,CARDONE Michael,1990,CM,C.M.R. ATL. REGGIOLO,7 su- 1,Bisceglie,2005-10-08,https://www.fidal.it/atleta/CARDONE-Michael/eqiRlZekbWQ%3D,https://www.fidal.it/societa/C-M-R--ATL--REGGIOLO/RE107
3.45,,3.45,0,SETTE Marco,1990,CM,ASSINDUSTRIA SPORT PD,1 se- 1,Tezze Sul Brenta,2005-09-18,https://www.fidal.it/atleta/SETTE-Marco/eKiRlJujaGU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PD/PD140
3.4,,3.40,0,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,1 se- 1,Cremona,2005-04-09,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
3.4,,3.40,0,CAMBOLI Davide,1990,CM,POL JOLAO IGLESIAS,1 fi- 1,Sassari,2005-05-21,https://www.fidal.it/atleta/CAMBOLI-Davide/iKiSmJuicGc%3D,https://www.fidal.it/societa/POL-JOLAO-IGLESIAS/CA038
3.4,,3.40,0,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,1 se- 1,Macerata,2005-05-21,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
