prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
42.49,,42.49,0,IAROPOLI Salvatore,1992,CM,ATL. VIRTUS  CR LUCCA,1 se- 1,Livorno,2007-04-14,https://www.fidal.it/atleta/IAROPOLI-Salvatore/faiSkpaocWc%3D,https://www.fidal.it/societa/ATL--VIRTUS-CR-LUCCA/LU100
40.25,,40.25,0,IAROPOLI Salvatore,1992,CM,ATL. VIRTUS  CR LUCCA,1 su- 1,Livorno,2007-06-24,https://www.fidal.it/atleta/IAROPOLI-Salvatore/faiSkpaocWc%3D,https://www.fidal.it/societa/ATL--VIRTUS-CR-LUCCA/LU100
40.14,,40.14,0,DE PIERI Stefano,1992,CM,G.S.ATL.DIL.LIB. PIOMBINO DESE,1 su- 1,Mogliano Veneto,2007-09-30,https://www.fidal.it/atleta/DE-PIERI-Stefano/eKqRkpKfbGQ%3D,https://www.fidal.it/societa/G-S-ATL-DIL-LIB--PIOMBINO-DESE/PD163
39.0,,39.00,0,SALVAGGIO Claudio,1992,CM,A.S.D. G.S. ATL. PARTINICO,1 su- 1,Partinico,2007-05-30,https://www.fidal.it/atleta/SALVAGGIO-Claudio/h6iRlpOkcWQ%3D,https://www.fidal.it/societa/A-S-D--G-S--ATL--PARTINICO/PA042
38.91,,38.91,0,BONACINA Mirko,1993,CM,ATL. ESTRADA,1 se- 1,Ravenna,2007-10-13,https://www.fidal.it/atleta/BONACINA-Mirko/dqmRl5KfbGw%3D,https://www.fidal.it/societa/ATL--ESTRADA/BG248
38.35,,38.35,0,SALVAGGIO Claudio,1992,CM,A.S.D. G.S. ATL. PARTINICO,1 su- 1,Partinico,2007-06-20,https://www.fidal.it/atleta/SALVAGGIO-Claudio/h6iRlpOkcWQ%3D,https://www.fidal.it/societa/A-S-D--G-S--ATL--PARTINICO/PA042
38.23,,38.23,0,SALVAGGIO Claudio,1992,CM,A.S.D. G.S. ATL. PARTINICO,5 se- 1,Corsica,2007-05-24,https://www.fidal.it/atleta/SALVAGGIO-Claudio/h6iRlpOkcWQ%3D,https://www.fidal.it/societa/A-S-D--G-S--ATL--PARTINICO/PA042
38.07,,38.07,0,SECCI Daniele,1992,CM,AICS MARATHON ROMA,1 su- 1,Roma,2007-10-07,https://www.fidal.it/atleta/SECCI-Daniele/f6iRmZOnaGo%3D,https://www.fidal.it/societa/AICS-MARATHON-ROMA/RM034
37.89,,37.89,0,SALVAGGIO Claudio,1992,CM,A.S.D. G.S. ATL. PARTINICO,1 su- 1,Catania,2007-04-28,https://www.fidal.it/atleta/SALVAGGIO-Claudio/h6iRlpOkcWQ%3D,https://www.fidal.it/societa/A-S-D--G-S--ATL--PARTINICO/PA042
37.7,,37.70,0,SALVAGGIO Claudio,1992,CM,A.S.D. G.S. ATL. PARTINICO,1 su- 1,Palermo,2007-05-05,https://www.fidal.it/atleta/SALVAGGIO-Claudio/h6iRlpOkcWQ%3D,https://www.fidal.it/societa/A-S-D--G-S--ATL--PARTINICO/PA042
37.24,,37.24,0,CALANDRINI Luigi,1992,CM,CUS BARI,1 su- 1,Bari,2007-10-20,https://www.fidal.it/atleta/CALANDRINI-Luigi/hKiSmpimbmw%3D,https://www.fidal.it/societa/CUS-BARI/BA007
37.03,,37.03,0,BERGAMASCHI Tommaso,1992,CM,CREMONA SPORTIVA ATL. ARVEDI,1 su- 1,Bergamo,2007-09-30,https://www.fidal.it/atleta/BERGAMASCHI-Tommaso/dqiSl5efa2w%3D,https://www.fidal.it/societa/CREMONA-SPORTIVA-ATL--ARVEDI/CR041
36.95,,36.95,0,DALLA VECCHIA Giovanni,1992,CM,NOVATLETICA CITTA' DI SCHIO,2 su- 1,Mogliano Veneto,2007-09-30,https://www.fidal.it/atleta/DALLA-VECCHIA-Giovanni/eKiRlZSgamw%3D,https://www.fidal.it/societa/NOVATLETICA-CITTA-DI-SCHIO/VI617
36.88,,36.88,0,IAROPOLI Salvatore,1992,CM,ATL. VIRTUS  CR LUCCA,1 su- 1,Pisa,2007-06-03,https://www.fidal.it/atleta/IAROPOLI-Salvatore/faiSkpaocWc%3D,https://www.fidal.it/societa/ATL--VIRTUS-CR-LUCCA/LU100
36.79,,36.79,0,DALLA VECCHIA Giovanni,1992,CM,NOVATLETICA CITTA' DI SCHIO,2 se- 1,Ravenna,2007-10-13,https://www.fidal.it/atleta/DALLA-VECCHIA-Giovanni/eKiRlZSgamw%3D,https://www.fidal.it/societa/NOVATLETICA-CITTA-DI-SCHIO/VI617
36.73,,36.73,0,BERGAMASCHI Tommaso,1992,CM,CREMONA SPORTIVA ATL. ARVEDI,1 se- 1,Cremona,2007-04-14,https://www.fidal.it/atleta/BERGAMASCHI-Tommaso/dqiSl5efa2w%3D,https://www.fidal.it/societa/CREMONA-SPORTIVA-ATL--ARVEDI/CR041
36.7,,36.70,0,ZAMBITO Matteo,1992,CM,A.S. DIL. POL.AGAT0CLE SCIACCA,1 su- 1,Sciacca,2007-09-05,https://www.fidal.it/atleta/ZAMBITO-Matteo/h6iRlpagbWs%3D,https://www.fidal.it/societa/A-S--DIL--POL-AGAT0CLE-SCIACCA/AG052
36.45,,36.45,0,OSTERIA Stefano,1992,CM,A.P.D. AMATORI ATLETICA NAPOLI,3 se- 1,Ravenna,2007-10-13,https://www.fidal.it/atleta/OSTERIA-Stefano/gKiRlZKkaGs%3D,https://www.fidal.it/societa/A-P-D--AMATORI-ATLETICA-NAPOLI/NA064
36.35,,36.35,0,BONACINA Mirko,1993,CM,ATL. ESTRADA,1 su- 1,Bergamo,2007-09-13,https://www.fidal.it/atleta/BONACINA-Mirko/dqmRl5KfbGw%3D,https://www.fidal.it/societa/ATL--ESTRADA/BG248
36.25,,36.25,0,BERARDOCCO Pasquale,1992,CM,A.S.D.FALCO AZZURRO-CARICHIETI,4 se- 1,Ravenna,2007-10-13,https://www.fidal.it/atleta/BERARDOCCO-Pasquale/gaiRk5emamc%3D,https://www.fidal.it/societa/A-S-D-FALCO-AZZURRO-CARICHIETI/CH136
36.19,,36.19,0,DALLA VECCHIA Giovanni,1992,CM,NOVATLETICA CITTA' DI SCHIO,1 su- 1,Verona,2007-06-03,https://www.fidal.it/atleta/DALLA-VECCHIA-Giovanni/eKiRlZSgamw%3D,https://www.fidal.it/societa/NOVATLETICA-CITTA-DI-SCHIO/VI617
36.0,,36.00,0,DALLA VECCHIA Giovanni,1992,CM,NOVATLETICA CITTA' DI SCHIO,1 se- 1,Rosa,2007-06-27,https://www.fidal.it/atleta/DALLA-VECCHIA-Giovanni/eKiRlZSgamw%3D,https://www.fidal.it/societa/NOVATLETICA-CITTA-DI-SCHIO/VI617
35.99,,35.99,0,BONACINA Mirko,1993,CM,ATL. ESTRADA,2 su- 1,Bergamo,2007-09-30,https://www.fidal.it/atleta/BONACINA-Mirko/dqmRl5KfbGw%3D,https://www.fidal.it/societa/ATL--ESTRADA/BG248
35.96,,35.96,0,IAROPOLI Salvatore,1992,CM,ATL. VIRTUS  CR LUCCA,1 se- 1,Livorno,2007-04-28,https://www.fidal.it/atleta/IAROPOLI-Salvatore/faiSkpaocWc%3D,https://www.fidal.it/societa/ATL--VIRTUS-CR-LUCCA/LU100
35.96,,35.96,0,MAZZOTTA Christian,1993,CM,FIAMME GIALLE G. SIMONI,2 su- 1,Roma,2007-10-07,https://www.fidal.it/atleta/MAZZOTTA-Christian/f6iRmZKibmQ%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
35.95,,35.95,0,BONACINA Mirko,1993,CM,ATL. ESTRADA,1 su- 1,San Donato Milanese,2007-09-15,https://www.fidal.it/atleta/BONACINA-Mirko/dqmRl5KfbGw%3D,https://www.fidal.it/societa/ATL--ESTRADA/BG248
35.85,,35.85,0,BONACINA Mirko,1993,CM,ATL. ESTRADA,1 su- 1,Cremona,2007-09-23,https://www.fidal.it/atleta/BONACINA-Mirko/dqmRl5KfbGw%3D,https://www.fidal.it/societa/ATL--ESTRADA/BG248
