gara,prestazione,vento,tempo,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
10000m,1985.0,,33.05.0,GIAMBANCO Franco,1983,PM,RUNNER TEAM 99 SBV,9 su- 1,Novara,2005-04-24,https://www.fidal.it/atleta/GIAMBANCO-Franco/dK6RlJWoa2g%3D,https://www.fidal.it/societa/RUNNER-TEAM-99-SBV/TO185
1000m,195.0,,3.15.69,OSTILI Francesco,1993,CM,G.S. UISPORT AVIS TODI,1 su- 0,Spoleto,2008-03-30,https://www.fidal.it/atleta/OSTILI-Francesco/fqiRk5qla2s%3D,https://www.fidal.it/societa/G-S--UISPORT-AVIS-TODI/PG017
1000m,196.0,,3.16.52,FILIPPI Luca,1993,CM,2S ATLETICA SPOLETO,2 su- 0,Spoleto,2008-03-30,https://www.fidal.it/atleta/FILIPPI-Luca/fqiRk5qlaGU%3D,https://www.fidal.it/societa/2S-ATLETICA-SPOLETO/PG034
100m,1362.0,+1.5,22:42,AMATO Michela,1993,AF,ASD SULCIS ATLETICA CARBONIA,7 su- 1,Cagliari,2010-09-18,https://www.fidal.it/atleta/AMATO-Michela/iKiSmZSla2o%3D,https://www.fidal.it/societa/ASD-SULCIS-ATLETICA-CARBONIA/CA129
1miglio,388.0,,6.28.73,BASILE Massimiliano,1974,SM50,MILANO ATLETICA,13 se- 5,Voghera,2024-04-06,https://www.fidal.it/atleta/BASILE-Massimiliano/dq2RlpaoaGw%3D,https://www.fidal.it/societa/MILANO-ATLETICA/MI798
2000m,26509.0,,7:21:49,DEMETZ Sofia,2006,CF,SPORTCLUB MERANO,1 su- 1,Bolzano,2021-09-25,https://www.fidal.it/atleta/DEMETZ-Sofia/iaiRk5ahbGY%3D,https://www.fidal.it/societa/SPORTCLUB-MERANO/BZ019
2000m,31299.0,,8:41:39,RAMPADO Sonia,2006,CF,S.A.F. BOLZANO,2 su- 1,Bolzano,2021-09-25,https://www.fidal.it/atleta/RAMPADO-Sonia/iaiRk5igcWQ%3D,https://www.fidal.it/societa/S-A-F--BOLZANO/BZ018
3000m,493.0,,8.13.9,RICATTI Domenico,1979,SM,C.S. AERONAUTICA MILITARE,9 su- 1,Lignano Sabbiadoro,2006-07-16,https://www.fidal.it/atleta/RICATTI-Domenico/hKiRkpSkcWg%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
300m,69.0,,1.09.85,ONNIS Mirco,2004,EM,RIU MANNU GONNOSTRAMATZA,8 se- 4,Oristano,2012-10-28,https://www.fidal.it/atleta/ONNIS-Mirco/iKuRkpKjamk%3D,https://www.fidal.it/societa/RIU-MANNU-GONNOSTRAMATZA/OR011
400m,-1.0,,9999999999,PANE Bruno,1976,SM,ATLETICA VERCELLI 78,2 se- 2,Donnas,2005-07-20,https://www.fidal.it/atleta/PANE-Bruno/dKAAARk5inamU%3D,https://www.fidal.it/societa/ATLETICA-VERCELLI-78/VC004
