prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
41.95,,41.95,0,BALDUCCI Simone,1992,CM,CUS ROMA,7 su- 1,Ostia Lido,2007-09-26,https://www.fidal.it/atleta/BALDUCCI-Simone/f6iRl5mlbmw%3D,https://www.fidal.it/societa/CUS-ROMA/RM042
39.17,,39.17,0,OLEVANO Fabio,1992,CM,CUS ROMA,9 su- 1,Ostia Lido,2007-09-26,https://www.fidal.it/atleta/OLEVANO-Fabio/f6iRl5mlb2M%3D,https://www.fidal.it/societa/CUS-ROMA/RM042
77.94,,77.94,0,PIGNATA Francesco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Palermo,2007-09-29,https://www.fidal.it/atleta/PIGNATA-Francesco/hqiRkpKhbWs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.27,,76.27,0,PIGNATA Francesco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Bari,2007-03-03,https://www.fidal.it/atleta/PIGNATA-Francesco/hqiRkpKhbWs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
76.07,,76.07,0,PIGNATA Francesco,1978,SM,G.A. FIAMME GIALLE,2 su- 1,Albufeira,2007-05-27,https://www.fidal.it/atleta/PIGNATA-Francesco/hqiRkpKhbWs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
74.81,,74.81,0,PIGNATA Francesco,1978,SM,G.A. FIAMME GIALLE,2 su- 1,Milano,2007-06-24,https://www.fidal.it/atleta/PIGNATA-Francesco/hqiRkpKhbWs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
74.08,,74.08,0,PIGNATA Francesco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Pavia,2007-05-13,https://www.fidal.it/atleta/PIGNATA-Francesco/hqiRkpKhbWs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
73.93,,73.93,0,CRIVELLARO Daniele,1982,SM,C.S. AERONAUTICA MILITARE,2 su- 1,Palermo,2007-09-29,https://www.fidal.it/atleta/CRIVELLARO-Daniele/dK6Rk5ejaGw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
72.3,,72.30,0,CRIVELLARO Daniele,1982,SM,C.S. AERONAUTICA MILITARE,1 su- 1,Padova,2007-07-28,https://www.fidal.it/atleta/CRIVELLARO-Daniele/dK6Rk5ejaGw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
71.93,,71.93,0,CRIVELLARO Daniele,1982,SM,C.S. AERONAUTICA MILITARE,1 se- 2,Rieti,2007-05-19,https://www.fidal.it/atleta/CRIVELLARO-Daniele/dK6Rk5ejaGw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
71.68,,71.68,0,CRIVELLARO Daniele,1982,SM,C.S. AERONAUTICA MILITARE,1 su- 1,Savona,2007-05-23,https://www.fidal.it/atleta/CRIVELLARO-Daniele/dK6Rk5ejaGw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
71.44,,71.44,0,PIGNATA Francesco,1978,SM,G.A. FIAMME GIALLE,1 su- 1,Reggio Calabria,2007-07-07,https://www.fidal.it/atleta/PIGNATA-Francesco/hqiRkpKhbWs%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
71.29,,71.29,0,CRIVELLARO Daniele,1982,SM,C.S. AERONAUTICA MILITARE,2 su- 1,Bari,2007-03-03,https://www.fidal.it/atleta/CRIVELLARO-Daniele/dK6Rk5ejaGw%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
