punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
875,515.58,8:35.58,e,DEOLA Ruben iavor,2000,PM,ANA ATL.FELTRE,4 se- 1,Padova,2022-01-15,https://www.fidal.it/atleta/DEOLA-Ruben-iavor/eKmRlJSfaWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
872,516.2,8:36.20,e,DEOLA Ruben iavor,2000,PM,ANA ATL.FELTRE,7 su- 1,Ancona,2022-02-06,https://www.fidal.it/atleta/DEOLA-Ruben-iavor/eKmRlJSfaWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
869,516.74,8:36.74,e,CAPPELLETTO Pablo luis,2002,PM,ANA ATL.FELTRE,9 se- 1,Padova,2024-02-04,https://www.fidal.it/atleta/CAPPELLETTO-Pablo-luis/eKmRlJSnbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
835,523.14,8:43.14,e,CAPPELLETTO Pablo luis,2002,PM,ANA ATL.FELTRE,4 se- 3,Padova,2024-01-20,https://www.fidal.it/atleta/CAPPELLETTO-Pablo-luis/eKmRlJSnbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
820,526.06,8:46.06,e,DEOLA Ruben iavor,2000,PM,ANA ATL.FELTRE,5 se- 2,Padova,2021-01-31,https://www.fidal.it/atleta/DEOLA-Ruben-iavor/eKmRlJSfaWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
793,646.56,10:46.56,e,D'ALBERTO Arianna,2000,JF,ANA ATL.FELTRE,2 su- 1,Padova,2018-02-04,https://www.fidal.it/atleta/D-ALBERTO-Arianna/eKmRlJWmaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
765,536.62,8:56.62,e,POLESANA Filippo,2000,PM,ANA ATL.FELTRE,2 se- 2,Padova,2022-01-15,https://www.fidal.it/atleta/POLESANA-Filippo/eKmRlJSobGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
679,554.19,9:14.19,e,DEOLA Ruben iavor,2000,JM,ANA ATL.FELTRE,9 se- 1,Padova,2018-02-04,https://www.fidal.it/atleta/DEOLA-Ruben-iavor/eKmRlJSfaWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
657,558.94,9:18.94,e,BONAN Marco,2000,JM,ANA ATL.FELTRE,10 se- 1,Padova,2018-02-04,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
632,564.35,9:24.35,e,BRUNET Lorenzo,2002,AM,ANA ATL.FELTRE,6 se- 2,Padova,2019-02-03,https://www.fidal.it/atleta/BRUNET-Lorenzo/d6iRk5ukamk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
614,713.08,11:53.08,e,DA RIN DE MONEGO Beatrice,2003,JF,ANA ATL.FELTRE,12 su- 1,Padova,2022-01-15,https://www.fidal.it/atleta/DA-RIN-DE-MONEGO-Beatrice/eKmRlJSmbmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
597,719.54,11:59.54,e,DA RIN DE MONEGO Beatrice,2003,JF,ANA ATL.FELTRE,12 su- 1,Padova,2022-02-05,https://www.fidal.it/atleta/DA-RIN-DE-MONEGO-Beatrice/eKmRlJSmbmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
587,574.35,9:34.35,e,LOSS Nikolas,2001,JM,ANA ATL.FELTRE,4 se- 4,Padova,2019-02-03,https://www.fidal.it/atleta/LOSS-Nikolas/d6iRk5afbGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
567,578.76,9:38.76,e,CORSO Lorenzo,1999,AM,ANA ATL.FELTRE,4 se- 3,Padova,2016-01-30,https://www.fidal.it/atleta/CORSO-Lorenzo/eKmRlJWkbWc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
542,742.21,12:22.21,e,DALLA SANTA Alessia,2001,JF,ANA ATL.FELTRE,12 su- 1,Padova,2019-02-03,https://www.fidal.it/atleta/DALLA-SANTA-Alessia/eKmRlJifb2Y%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
423,614.36,10:14.36,e,CAPPELLETTO Pablo luis,2002,AM,ANA ATL.FELTRE,8 se- 2,Padova,2018-02-04,https://www.fidal.it/atleta/CAPPELLETTO-Pablo-luis/eKmRlJSnbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
410,617.79,10:17.79,e,SCOPEL Mattia,2000,JM,ANA ATL.FELTRE,9 se- 2,Padova,2018-02-04,https://www.fidal.it/atleta/SCOPEL-Mattia/eKmRlJija2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
392,622.84,10:22.84,e,ANTONIOL Samuel,2002,AM,ANA ATL.FELTRE,10 se- 2,Padova,2018-02-04,https://www.fidal.it/atleta/ANTONIOL-Samuel/eKmRlJaobWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
376,627.17,10:27.17,e,DA RIN DE MONEGO Lorenzo,2000,JM,ANA ATL.FELTRE,11 se- 2,Padova,2018-02-04,https://www.fidal.it/atleta/DA-RIN-DE-MONEGO-Lorenzo/eKmRlJefa2M%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
