punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,12.87,MARRONE Sebastiano,1996,AM,ANA ATL.FELTRE,4 se- 1,Schio,2012-01-14,https://www.fidal.it/atleta/MARRONE-Sebastiano/eK2RkpWiamY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,10.99,DOGLIONI Giorgio,1996,AM,ANA ATL.FELTRE,7 su- 1,Schio,2012-02-11,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,10.92,DOGLIONI Giorgio,1996,AM,ANA ATL.FELTRE,9 se- 1,Schio,2012-01-14,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,10.65,DOGLIONI Giorgio,1996,AM,ANA ATL.FELTRE,4 se- 1,Schio,2012-01-28,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.72,DOGLIONI Giorgio,1996,AM,ANA ATL.FELTRE,3 se- 1,Schio,2013-01-26,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.74,DOGLIONI Giorgio,1996,AM,ANA ATL.FELTRE,18 su- 1,Ancona,2013-02-23,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.64,DOGLIONI Giorgio,1996,AM,ANA ATL.FELTRE,5 se- 1,Schio,2013-01-12,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.43,DOGLIONI Giorgio,1996,AM,ANA ATL.FELTRE,6 se- 1,Schio,2013-02-02,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.04,CICCOMASCOLO Lorenzo,1997,AM,ANA ATL.FELTRE,7 se- 1,Schio,2013-01-12,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.67,PETITTO Leonardo,2008,AM,ANA ATL.FELTRE,8 se- 2,Padova,2024-02-04,https://www.fidal.it/atleta/PETITTO-Leonardo/eKmRlJijbmQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.33,SAADAOUI Omar,2008,AM,ANA ATL.FELTRE,22 su- 1,Padova,2024-01-13,https://www.fidal.it/atleta/SAADAOUI-Omar/eKmRlJimbWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.11,SCOPEL Nicola,2008,AM,ANA ATL.FELTRE,25 su- 1,Padova,2024-01-13,https://www.fidal.it/atleta/SCOPEL-Nicola/eKmRlJeocGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,7.68,PETITTO Leonardo,2008,AM,ANA ATL.FELTRE,26 su- 1,Padova,2024-01-13,https://www.fidal.it/atleta/PETITTO-Leonardo/eKmRlJijbmQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,7.65,BELLUS Riccardo,2008,AM,ANA ATL.FELTRE,14 se- 1,Padova,2024-02-04,https://www.fidal.it/atleta/BELLUS-Riccardo/eKmRlJekamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,6.97,BELLUS Riccardo,2008,AM,ANA ATL.FELTRE,29 su- 1,Padova,2024-01-13,https://www.fidal.it/atleta/BELLUS-Riccardo/eKmRlJekamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
