punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,9.28,9.28,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,4 ba- 6,Ancona,2018-02-11,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.36,9.36,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,2 fi- 1,Padova,2018-02-03,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.42,9.42,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,2 se- 1,Padova,2018-01-21,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.42,9.42,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,2 ba- 2,Padova,2018-02-03,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.85,9.85,e,DE CARLI Alessandra,2001,AF,ANA ATL.FELTRE,6 ba- 2,Padova,2018-02-03,https://www.fidal.it/atleta/DE-CARLI-Alessandra/eKmRlJalbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,10.29,10.29,e,DE CARLI Alessandra,2001,AF,ANA ATL.FELTRE,4 se- 2,Padova,2018-01-21,https://www.fidal.it/atleta/DE-CARLI-Alessandra/eKmRlJalbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,11.77,11.77,e,DALLA CORTE Giada,2001,AF,ANA ATL.FELTRE,5 se- 2,Padova,2018-01-21,https://www.fidal.it/atleta/DALLA-CORTE-Giada/eKmRlJancGk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.77,8.77,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,2 ba- 3,Ancona,2019-02-10,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.89,8.89,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,1 ba- 1,Modena,2019-01-26,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.93,8.93,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,2 fi- 1,Modena,2019-01-26,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,8.95,8.95,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,1 fi- 1,Padova,2019-01-05,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.0,9.00,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,5 sf- 2,Ancona,2019-02-10,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.02,9.02,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,1 ba- 1,Padova,2019-01-05,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,9.19,9.19,e,SCOPEL Gioia,2002,AF,ANA ATL.FELTRE,3 se- 1,Padova,2019-01-20,https://www.fidal.it/atleta/SCOPEL-Gioia/eKmRlJSjcGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.89,12.89,e,DE BACCO Paola,2002,AF,ANA ATL.FELTRE,5 se- 3,Padova,2019-01-20,https://www.fidal.it/atleta/DE-BACCO-Paola/eKmRlJilbWg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,11.04,11.04,e,CASSOL Anita,2005,AF,ANA ATL.FELTRE,7 se- 2,Padova,2021-02-06,https://www.fidal.it/atleta/CASSOL-Anita/eKmRlJWjbGY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
