punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
777,4.97,COLUSSI Ilary,2006,JF,ANA ATL.FELTRE,9 se- 1,Padova,2024-01-13,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
773,6.3,ARGENTA Alessio,2006,JM,ANA ATL.FELTRE,8 se- 2,Padova,2024-01-27,https://www.fidal.it/atleta/ARGENTA-Alessio/eKmRlJama2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
754,4.86,GIUSTI Lovely,2009,CF,ANA ATL.FELTRE,2 se- 4,Padova,2023-02-19,https://www.fidal.it/atleta/GIUSTI-Lovely/eKmRlJiiaWg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
750,6.19,ZIVOJINOVIC Milan,2001,PM,ANA ATL.FELTRE,13 se- 2,Padova,2021-01-16,https://www.fidal.it/atleta/ZIVOJINOVIC-Milan/eK6Rkpqja2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
748,6.18,ARGENTA Alessio,2006,JM,ANA ATL.FELTRE,5 se- 1,Padova,2024-01-14,https://www.fidal.it/atleta/ARGENTA-Alessio/eKmRlJama2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
731,6.1,ARGENTA Alessio,2006,AM,ANA ATL.FELTRE,5 se- 2,Padova,2023-02-04,https://www.fidal.it/atleta/ARGENTA-Alessio/eKmRlJama2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
720,4.7,COLUSSI Ilary,2006,AF,ANA ATL.FELTRE,10 se- 2,Saronno,2023-02-12,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
715,4.68,COLUSSI Ilary,2006,AF,ANA ATL.FELTRE,4 se- 1,Padova,2023-02-05,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
706,5.98,ARGENTA Alessio,2006,AM,ANA ATL.FELTRE,13 se- 1,Parma,2023-01-22,https://www.fidal.it/atleta/ARGENTA-Alessio/eKmRlJama2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
688,4.55,DE RIZ Chiara,2005,JF,ANA ATL.FELTRE,14 se- 2,Saronno,2023-02-12,https://www.fidal.it/atleta/DE-RIZ-Chiara/eKmRlJioaWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
682,4.52,ANDREOLI Vittoria,2007,AF,ANA ATL.FELTRE,9 se- 1,Padova,2023-02-05,https://www.fidal.it/atleta/ANDREOLI-Vittoria/eKmRlJmmbWw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
672,5.82,SAADAOUI Omar,2008,AM,ANA ATL.FELTRE,13 se- 2,Padova,2024-01-28,https://www.fidal.it/atleta/SAADAOUI-Omar/eKmRlJimbWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
671,4.47,RAVEANE Giorgia,2002,AF,ANA ATL.FELTRE,6 se- 2,Padova,2018-02-04,https://www.fidal.it/atleta/RAVEANE-Giorgia/eKmRlJakbmc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
660,5.76,BELLUS Riccardo,2008,AM,ANA ATL.FELTRE,12 se- 2,Padova,2024-01-21,https://www.fidal.it/atleta/BELLUS-Riccardo/eKmRlJekamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
