punteggio,prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
1010,24.27,+1.2,24.27,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 se- 2,Bressanone,2006-06-04,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1004,24.33,+0.7,24.33,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 ba- 2,Fano,2006-10-08,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1004,24.33,+2.7,24.33,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 fi- 1,Fano,2006-10-08,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
998,24.4,+3.6,24.40,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,2 se- 1,Tunisi,2006-08-06,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
990,24.48,-1.2,24.48,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 su- 1,Milano,2006-09-02,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
989,24.49,+1.0,24.49,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 sf- 3,Salonicco,2006-07-01,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
987,24.51,+0.0,24.51,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,4 fi- 1,Salonicco,2006-07-02,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
971,24.68,+0.2,24.68,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 ba- 3,Salonicco,2006-07-01,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
957,24.83,+0.2,24.83,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 se- 1,Mestre Venezia,2006-09-21,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
956,24.84,+0.0,24.84,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 se- 1,Vittorio Veneto,2006-05-14,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
933,25.1,+0.6,25.10,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,2 fi- 1,Cesenatico,2007-10-07,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
932,21.95,+3.9,21.95,e,SIRAGNA Lorenzo,2001,JM,ANA ATL.FELTRE,1 se- 2,San Biagio Di Callalta,2019-05-12,https://www.fidal.it/atleta/SIRAGNA-Lorenzo/eKmRlJahbmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
914,25.3,+0.9,25.30,e,BOTTEGA Samantha,1994,PF,ANA ATL.FELTRE,3 se- 1,Rovigo,2015-06-07,https://www.fidal.it/atleta/BOTTEGA-Samantha/eKmRlJKnb2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
914,25.3,+0.8,25.30,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 ba- 2,Cesenatico,2007-10-07,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
911,25.34,-0.4,25.34,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 se- 1,Vicenza,2007-09-16,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
900,25.46,+1.2,25.46,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,5 se- 1,Brugnera,2007-09-01,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
899,25.47,+0.4,25.47,e,DALLO Francesca,1990,AF,ANA ATL.FELTRE,1 se- 1,Rossano Veneto,2007-09-09,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
889,22.27,-1.3,22.27,e,SIRAGNA Lorenzo,2001,AM,ANA ATL.FELTRE,3 se- 1,Bolzano,2018-06-09,https://www.fidal.it/atleta/SIRAGNA-Lorenzo/eKmRlJahbmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
888,25.59,-0.4,25.59,e,BOTTEGA Samantha,1994,PF,ANA ATL.FELTRE,6 se- 1,Caprino Veronese,2015-06-28,https://www.fidal.it/atleta/BOTTEGA-Samantha/eKmRlJKnb2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
883,25.65,+0.0,25.65,e,BOTTEGA Samantha,1994,PF,ANA ATL.FELTRE,2 se- 1,Treviso,2015-05-27,https://www.fidal.it/atleta/BOTTEGA-Samantha/eKmRlJKnb2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
879,25.69,+1.0,25.69,e,BOTTEGA Samantha,1994,PF,ANA ATL.FELTRE,2 se- 1,Trento,2014-09-09,https://www.fidal.it/atleta/BOTTEGA-Samantha/eKmRlJKnb2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
869,22.42,-0.2,22.42,e,SIRAGNA Lorenzo,2001,JM,ANA ATL.FELTRE,3 se- 1,San Biagio Di Callalta,2020-09-13,https://www.fidal.it/atleta/SIRAGNA-Lorenzo/eKmRlJahbmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
867,22.43,-0.5,22.43,e,SIRAGNA Lorenzo,2001,AM,ANA ATL.FELTRE,2 se- 1,San Biagio Di Callalta,2018-05-13,https://www.fidal.it/atleta/SIRAGNA-Lorenzo/eKmRlJahbmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
