punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
1089,107.82,1:47.82,e,PERCO Emilio,1994,PM,ANA ATL.FELTRE,10 su- 1,Padova,2014-07-06,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1076,108.26,1:48.26,e,PERCO Emilio,1994,PM,ANA ATL.FELTRE,1 se- 2,Caprino Veronese,2014-05-31,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1074,108.32,1:48.32,e,PERCO Emilio,1994,PM,ANA ATL.FELTRE,8 su- 1,Lignano Sabbiadoro,2014-07-08,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1067,108.56,1:48.56,e,PERCO Emilio,1994,PM,ANA ATL.FELTRE,3 se- 1,Salisburgo,2014-05-24,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1058,108.88,1:48.88,e,PERCO Emilio,1994,JM,ANA ATL.FELTRE,3 se- 1,Chiari,2012-06-24,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1048,109.22,1:49.22,e,PERCO Emilio,1994,JM,ANA ATL.FELTRE,7 se- 1,Pergine Valsugana,2012-07-21,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1047,109.28,1:49.28,e,PERCO Emilio,1994,JM,ANA ATL.FELTRE,7 se- 7,Caprino Veronese,2012-06-09,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1036,109.66,1:49.66,e,PERCO Emilio,1994,PM,ANA ATL.FELTRE,1 fi- 1,Torino,2014-06-07,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1034,109.71,1:49.71,e,PERCO Emilio,1994,JM,ANA ATL.FELTRE,5 su- 1,Bressanone,2012-07-08,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1014,110.43,1:50.43,e,PERCO Emilio,1994,JM,ANA ATL.FELTRE,1 se- 4,Marcon,2012-09-11,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1008,110.62,1:50.62,e,PERCO Emilio,1994,JM,ANA ATL.FELTRE,2 su- 1,Pavia,2013-05-05,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
1002,110.84,1:50.84,e,PERCO Emilio,1994,JM,ANA ATL.FELTRE,6 se- 2,Rovereto,2012-05-06,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
979,111.66,1:51.66,e,PERCO Emilio,1994,PM,ANA ATL.FELTRE,5 su- 1,Gavardo,2014-05-18,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
970,111.98,1:51.98,e,PERCO Emilio,1994,PM,ANA ATL.FELTRE,4 ba- 1,Rovereto,2014-07-18,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
964,112.2,1:52.20,e,PERCO Emilio,1994,PM,ANA ATL.FELTRE,7 se- 1,Pergine Valsugana,2014-08-03,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
961,112.29,1:52.29,e,PERCO Emilio,1994,JM,ANA ATL.FELTRE,1 se- 2,Bassano Del Grappa,2012-09-16,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
958,112.41,1:52.41,e,PERCO Emilio,1994,PM,ANA ATL.FELTRE,1 se- 1,Trento,2014-09-09,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
955,112.53,1:52.53,e,COSTA Edgard,1999,JM,ANA ATL.FELTRE,7 se- 1,San Biagio Di Callalta,2017-05-21,https://www.fidal.it/atleta/COSTA-Edgard/eKmRlJSjbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
946,112.86,1:52.86,e,PERCO Emilio,1994,JM,ANA ATL.FELTRE,1 su- 1,Caorle,2012-06-03,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
944,112.94,1:52.94,e,DAL SASSO Alberto,1998,JM,ANA ATL.FELTRE,6 fi- 1,Firenze,2017-06-10,https://www.fidal.it/atleta/DAL-SASSO-Alberto/eKmRlJWfbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
941,113.04,1:53.04,e,PERCO Emilio,1994,PM,ANA ATL.FELTRE,2 ba- 2,Torino,2014-06-06,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
931,113.4,1:53.40,e,COSTA Edgard,1999,JM,ANA ATL.FELTRE,6 se- 1,Bussolengo,2017-05-07,https://www.fidal.it/atleta/COSTA-Edgard/eKmRlJSjbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
925,113.65,1:53.65,e,PERCO Emilio,1994,AM,ANA ATL.FELTRE,1 se- 1,Bassano Del Grappa,2011-09-18,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
923,113.7,1:53.70,e,PERCO Emilio,1994,AM,ANA ATL.FELTRE,1 se- 5,Rieti,2011-10-02,https://www.fidal.it/atleta/PERCO-Emilio/eKmRlJOjaGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
917,113.92,1:53.92,e,DE PAOLI Nicola,1992,SM,ANA ATL.FELTRE,2 se- 2,Fidenza,2015-05-23,https://www.fidal.it/atleta/DE-PAOLI-Nicola/eKmRlJWocGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
914,114.05,1:54.05,e,COSTA Edgard,1999,JM,ANA ATL.FELTRE,6 se- 1,Palmanova,2017-05-01,https://www.fidal.it/atleta/COSTA-Edgard/eKmRlJSjbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
911,134.89,2:14.89,e,FANTINEL Ilaria,1998,JF,ANA ATL.FELTRE,2 se- 2,Trento,2016-07-19,https://www.fidal.it/atleta/FANTINEL-Ilaria/eKmRlJWlbWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
907,135.15,2:14.9,m,D'ALBERTO Arianna,2000,PF,ANA ATL.FELTRE,2 se- 1,Domegge Di Cadore,2021-08-21,https://www.fidal.it/atleta/D-ALBERTO-Arianna/eKmRlJWmaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
903,114.45,1:54.45,e,DAL SASSO Alberto,1998,JM,ANA ATL.FELTRE,6 se- 1,Vicenza,2016-05-08,https://www.fidal.it/atleta/DAL-SASSO-Alberto/eKmRlJWfbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
902,114.5,1:54.50,e,DAL SASSO Alberto,1998,PM,ANA ATL.FELTRE,9 se- 1,San Biagio Di Callalta,2019-05-12,https://www.fidal.it/atleta/DAL-SASSO-Alberto/eKmRlJWfbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
901,135.52,2:15.52,e,D'ALBERTO Arianna,2000,PF,ANA ATL.FELTRE,6 se- 2,Grosseto,2021-06-11,https://www.fidal.it/atleta/D-ALBERTO-Arianna/eKmRlJWmaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
901,135.52,2:15.52,e,D'ALBERTO Arianna,2000,PF,ANA ATL.FELTRE,6 se- 1,Trento,2021-07-13,https://www.fidal.it/atleta/D-ALBERTO-Arianna/eKmRlJWmaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
901,135.5,2:15.50,e,D'ALBERTO Arianna,2000,JF,ANA ATL.FELTRE,9 se- 1,Trento,2018-07-10,https://www.fidal.it/atleta/D-ALBERTO-Arianna/eKmRlJWmaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
896,114.72,1:54.72,e,DAL SASSO Alberto,1998,JM,ANA ATL.FELTRE,2 se- 2,San Biagio Di Callalta,2017-05-21,https://www.fidal.it/atleta/DAL-SASSO-Alberto/eKmRlJWfbGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
895,114.74,1:54.74,e,DE PAOLI Nicola,1992,PM,ANA ATL.FELTRE,3 se- 1,Trento,2014-09-09,https://www.fidal.it/atleta/DE-PAOLI-Nicola/eKmRlJWocGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
