punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
521,29.95,SCOPEL Diletta,2004,JF,ANA ATL.FELTRE,6 su- 1,Cles,2022-09-10,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
506,29.11,SCOPEL Diletta,2004,AF,ANA ATL.FELTRE,3 su- 1,Cles,2021-09-26,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
499,28.71,SCOPEL Diletta,2004,PF,ANA ATL.FELTRE,12 su- 1,Vicenza,2024-05-31,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
496,28.56,SCOPEL Diletta,2004,AF,ANA ATL.FELTRE,17 su- 1,Padova,2021-05-23,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
494,28.45,SCOPEL Diletta,2004,JF,ANA ATL.FELTRE,10 su- 1,San Biagio Di Callalta,2023-04-29,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
491,28.26,SCOPEL Diletta,2004,JF,ANA ATL.FELTRE,15 se- 2,Padova,2023-05-14,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
489,28.17,SCOPEL Diletta,2004,JF,ANA ATL.FELTRE,12 su- 1,Verona,2023-06-02,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
482,27.8,SCOPEL Diletta,2004,PF,ANA ATL.FELTRE,4 se- 1,Caorle,2024-05-26,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
482,27.79,SCOPEL Diletta,2004,JF,ANA ATL.FELTRE,7 su- 1,Conegliano,2023-02-05,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
479,27.6,SCOPEL Diletta,2004,JF,ANA ATL.FELTRE,9 su- 1,San Biagio Di Callalta,2022-07-02,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
475,27.39,SCOPEL Diletta,2004,PF,ANA ATL.FELTRE,8 se- 1,Montebelluna,2024-04-21,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
473,27.29,FERRACIN Giulia,2007,AF,ANA ATL.FELTRE,7 se- 2,Borgo Valbelluna,2023-05-07,https://www.fidal.it/atleta/FERRACIN-Giulia/eKmRlJmgbGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
472,27.24,SCOPEL Diletta,2004,JF,ANA ATL.FELTRE,15 se- 2,Padova,2022-05-15,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
467,26.94,SCOPEL Diletta,2004,AF,ANA ATL.FELTRE,7 su- 1,Verona,2021-09-12,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
460,26.56,SCOPEL Diletta,2004,AF,ANA ATL.FELTRE,14 su- 1,Vicenza,2021-05-16,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
458,26.49,SCOPEL Diletta,2004,JF,ANA ATL.FELTRE,12 su- 1,Vittorio Veneto,2022-05-29,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
440,25.45,FERRACIN Giulia,2007,AF,ANA ATL.FELTRE,5 se- 1,Padova,2023-05-14,https://www.fidal.it/atleta/FERRACIN-Giulia/eKmRlJmgbGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
438,25.38,SCOPEL Diletta,2004,AF,ANA ATL.FELTRE,11 su- 1,San Biagio Di Callalta,2021-07-03,https://www.fidal.it/atleta/SCOPEL-Diletta/eKmRlJmibmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
435,25.21,FERRACIN Giulia,2007,AF,ANA ATL.FELTRE,9 su- 1,Conegliano,2023-02-05,https://www.fidal.it/atleta/FERRACIN-Giulia/eKmRlJmgbGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
428,24.8,CESCATO Beatrice,1993,PF,ANA ATL.FELTRE,19 su- 1,Marcon,2015-05-10,https://www.fidal.it/atleta/CESCATO-Beatrice/eKmRlJOgb2k%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
425,24.63,FERRACIN Giulia,2007,CF,ANA ATL.FELTRE,5 su- 1,Padova,2022-10-16,https://www.fidal.it/atleta/FERRACIN-Giulia/eKmRlJmgbGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
416,24.15,CESCATO Beatrice,1993,AF,ANA ATL.FELTRE,10 su- 1,Mogliano Veneto,2009-09-20,https://www.fidal.it/atleta/CESCATO-Beatrice/eKmRlJOgb2k%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
