punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
631,46.79,PIAZZA Pierdomenico,1959,SM45,ANA ATL.FELTRE,3 su- 1,Treviso,2007-05-06,https://www.fidal.it/atleta/PIAZZA-Pierdomenico/eKiRkpiga2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
631,46.73,DE MARTINI Alessandro,1997,JM,ANA ATL.FELTRE,11 su- 1,Vicenza,2016-05-07,https://www.fidal.it/atleta/DE-MARTINI-Alessandro/eKmRlJSkaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
627,46.46,DE MARTINI Alessandro,1997,JM,ANA ATL.FELTRE,15 su- 1,Agordo,2016-05-21,https://www.fidal.it/atleta/DE-MARTINI-Alessandro/eKmRlJSkaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
623,46.2,PIAZZA Pierdomenico,1959,SM45,ANA ATL.FELTRE,5 su- 1,Milano,2007-06-30,https://www.fidal.it/atleta/PIAZZA-Pierdomenico/eKiRkpiga2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
621,46.05,TREVISAN David,1994,JM,ANA ATL.FELTRE,3 su- 1,Rovereto,2012-06-29,https://www.fidal.it/atleta/TREVISAN-David/eKmRlJSlaGk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
608,45.14,PIAZZA Pierdomenico,1959,SM45,ANA ATL.FELTRE,7 qu- 2,Riccione,2007-09-10,https://www.fidal.it/atleta/PIAZZA-Pierdomenico/eKiRkpiga2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
600,44.59,PIAZZA Pierdomenico,1959,SM45,ANA ATL.FELTRE,2 su- 1,San Giovanni Lupatoto,2007-05-26,https://www.fidal.it/atleta/PIAZZA-Pierdomenico/eKiRkpiga2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
595,44.22,PIAZZA Pierdomenico,1959,SM45,ANA ATL.FELTRE,6 su- 1,Mogliano Veneto,2007-07-10,https://www.fidal.it/atleta/PIAZZA-Pierdomenico/eKiRkpiga2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
595,44.23,DE MARTINI Alessandro,1997,JM,ANA ATL.FELTRE,3 su- 1,Caorle,2016-05-28,https://www.fidal.it/atleta/DE-MARTINI-Alessandro/eKmRlJSkaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
580,43.13,DE MARTINI Alessandro,1997,JM,ANA ATL.FELTRE,5 su- 1,Bovolone,2016-06-04,https://www.fidal.it/atleta/DE-MARTINI-Alessandro/eKmRlJSkaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
