punteggio,prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
692,12.78,DOGLIONI Giorgio,1996,PM,ANA ATL.FELTRE,2 su- 1,Padova,2017-04-25,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
670,12.4,DOGLIONI Giorgio,1996,SM,ANA ATL.FELTRE,6 su- 1,San Biagio Di Callalta,2019-05-12,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
668,12.37,DOGLIONI Giorgio,1996,PM,ANA ATL.FELTRE,4 su- 1,Conegliano,2016-09-25,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
667,12.36,DOGLIONI Giorgio,1996,PM,ANA ATL.FELTRE,8 su- 1,Caorle,2018-05-06,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
661,12.25,DOGLIONI Giorgio,1996,PM,ANA ATL.FELTRE,6 su- 1,Bussolengo,2017-05-07,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
655,12.15,DOGLIONI Giorgio,1996,PM,ANA ATL.FELTRE,6 su- 1,Agordo,2016-05-22,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
647,12.02,DOGLIONI Giorgio,1996,PM,ANA ATL.FELTRE,4 su- 1,San Biagio Di Callalta,2018-04-29,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
643,11.95,DOGLIONI Giorgio,1996,PM,ANA ATL.FELTRE,6 su- 1,Arzignano,2017-06-25,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
639,11.88,DOGLIONI Giorgio,1996,JM,ANA ATL.FELTRE,11 su- 1,Marcon,2015-05-10,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
633,11.78,DOGLIONI Giorgio,1996,PM,ANA ATL.FELTRE,1 se- 1,Feltre,2017-10-14,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
620,11.56,DOGLIONI Giorgio,1996,SM,ANA ATL.FELTRE,5 su- 1,Trento,2019-10-12,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
614,11.45,DOGLIONI Giorgio,1996,PM,ANA ATL.FELTRE,9 su- 1,Vicenza,2016-05-08,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
611,11.4,DOGLIONI Giorgio,1996,JM,ANA ATL.FELTRE,9 su- 1,Bassano Del Grappa,2014-06-29,https://www.fidal.it/atleta/DOGLIONI-Giorgio/eKmRlJSgaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
592,11.09,STRAPPAZZON Nicola,1987,SM,ANA ATL.FELTRE,3 su- 1,Rovereto,2012-06-29,https://www.fidal.it/atleta/STRAPPAZZON-Nicola/eKiRlZWjcGQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
560,10.54,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,15 su- 1,Padova,2022-05-15,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
558,10.51,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,1 su- 1,Lana,2022-09-03,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
553,10.42,TOIGO Robin,1992,PM,ANA ATL.FELTRE,1 se- 1,Feltre,2014-08-28,https://www.fidal.it/atleta/TOIGO-Robin/eKmRlJKoaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
550,10.37,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,8 su- 1,Vittorio Veneto,2022-05-29,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
541,10.21,CICCOMASCOLO Lorenzo,1997,AM,ANA ATL.FELTRE,4 su- 1,Rovereto,2013-06-28,https://www.fidal.it/atleta/CICCOMASCOLO-Lorenzo/eKmRlJWjbmU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
529,10.02,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,8 su- 1,Bovolone,2023-04-29,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
528,10.0,DALLA CORTE Matteo,2001,SM,ANA ATL.FELTRE,4 su- 1,Bovolone,2024-05-04,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
526,9.96,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,11 su- 1,Caorle,2023-05-28,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
522,9.9,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,1 su- 1,Domegge Di Cadore,2022-04-30,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
488,9.31,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,5 su- 1,Lana,2022-04-23,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
484,9.25,DALLA POZZA Elia,1991,PM,ANA ATL.FELTRE,16 su- 1,Marcon,2011-05-15,https://www.fidal.it/atleta/DALLA-POZZA-Elia/eKmRlJWjbWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
439,8.49,BARP Andrea,1971,SM40,ANA ATL.FELTRE,17 su- 1,Marcon,2015-05-10,https://www.fidal.it/atleta/BARP-Andrea/eKiRlJmfa2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
