punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
802,909.38,15:09.38,e,STACH Marta,1995,CF,ANA ATL.FELTRE,2 se- 2,Cles,2010-10-10,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
799,911.03,15:11.03,e,STACH Marta,1995,AF,ANA ATL.FELTRE,2 su- 1,Roma,2011-05-24,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
778,923.85,15:23.6,m,STACH Marta,1995,CF,ANA ATL.FELTRE,1 se- 1,Padova,2010-09-11,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
759,935.06,15:35.06,e,STACH Marta,1995,CF,ANA ATL.FELTRE,1 su- 1,Borgo Valsugana,2010-05-23,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
754,937.7,15:37.70,e,STACH Marta,1995,CF,ANA ATL.FELTRE,1 su- 1,Rovigo,2010-06-05,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
743,944.61,15:44.61,e,STACH Marta,1995,CF,ANA ATL.FELTRE,1 su- 1,Mogliano Veneto,2010-09-18,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
733,950.84,15:50.84,e,STACH Marta,1995,CF,ANA ATL.FELTRE,2 su- 1,Modena,2010-03-14,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
727,954.45,15:54.2,m,STACH Marta,1995,CF,ANA ATL.FELTRE,1 su- 1,Belluno,2010-05-08,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
718,959.65,15:59.4,m,STACH Marta,1995,CF,ANA ATL.FELTRE,1 se- 1,Feltre,2010-06-02,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
696,973.1,16:13.10,e,STACH Marta,1995,CF,ANA ATL.FELTRE,1 su- 1,Mogliano Veneto,2009-09-19,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
689,977.87,16:17.87,e,STACH Marta,1995,CF,ANA ATL.FELTRE,3 se- 1,Desenzano Del Garda,2009-10-11,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
671,989.05,16:28.8,m,STACH Marta,1995,CF,ANA ATL.FELTRE,1 se- 1,Feltre,2009-08-26,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
666,991.95,16:31.7,m,STACH Marta,1995,CF,ANA ATL.FELTRE,1 se- 1,Feltre,2010-08-25,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
660,897.07,14:57.07,e,VISCA Gianmarco,1995,AM,ANA ATL.FELTRE,1 su- 1,Cervia,2011-09-09,https://www.fidal.it/atleta/VISCA-Gianmarco/eKmRlJOnbWQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
647,1004.66,16:44.66,e,STACH Marta,1995,CF,ANA ATL.FELTRE,3 su- 1,Rossano Veneto,2009-09-06,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
593,1040.35,17:20.1,m,STACH Marta,1995,CF,ANA ATL.FELTRE,1 se- 1,Longarone,2009-05-09,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
568,1057.17,17:37.17,e,GRANZOTTO Elena,2001,AF,ANA ATL.FELTRE,2 se- 1,Vicenza,2018-05-08,https://www.fidal.it/atleta/GRANZOTTO-Elena/eKmRlJSmcWw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
552,1068.57,17:48.57,e,STACH Marta,1995,CF,ANA ATL.FELTRE,2 su- 1,Vicenza,2009-06-06,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
349,1226.35,20:26.35,e,PROCACCINI Sara,1999,CF,ANA ATL.FELTRE,13 su- 1,Bassano Del Grappa,2013-06-01,https://www.fidal.it/atleta/PROCACCINI-Sara/eKmRlJSmbWw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
196,1381.01,23:01.01,e,BERTELLE Marta,1993,CF,ANA ATL.FELTRE,12 su- 1,Verona,2007-06-02,https://www.fidal.it/atleta/BERTELLE-Marta/eKmRlJOjaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
