punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,12.65,12.4,m,DALLO Francesca,1990,CF,ANA ATL.FELTRE,1 se- 1,Verona,2005-06-02,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.65,12.4,m,DALLO Francesca,1990,CF,ANA ATL.FELTRE,1 su- 1,Longarone,2005-06-22,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.95,12.7,m,DALLO Francesca,1990,CF,ANA ATL.FELTRE,3 se- 1,Cassola,2005-04-30,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,12.95,12.95,e,BERTONI Alessandra,1991,CF,ANA ATL.FELTRE,4 se- 1,Rossano Veneto,2005-09-11,https://www.fidal.it/atleta/BERTONI-Alessandra/eKmRlJKlamw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.25,13.0,m,DALLO Francesca,1990,CF,ANA ATL.FELTRE,1 se- 2,Belluno,2005-04-23,https://www.fidal.it/atleta/DALLO-Francesca/eKiRlZSfamQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.25,13.0,m,BERTONI Alessandra,1991,CF,ANA ATL.FELTRE,2 su- 1,Longarone,2005-05-08,https://www.fidal.it/atleta/BERTONI-Alessandra/eKmRlJKlamw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.28,13.28,e,BERTONI Alessandra,1991,CF,ANA ATL.FELTRE,2 se- 1,Majano,2005-09-03,https://www.fidal.it/atleta/BERTONI-Alessandra/eKmRlJKlamw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.45,13.2,m,BERTONI Alessandra,1991,CF,ANA ATL.FELTRE,1 se- 2,Verona,2005-06-02,https://www.fidal.it/atleta/BERTONI-Alessandra/eKmRlJKlamw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.55,13.3,m,BERTONI Alessandra,1991,CF,ANA ATL.FELTRE,3 su- 1,Longarone,2005-06-22,https://www.fidal.it/atleta/BERTONI-Alessandra/eKmRlJKlamw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.95,13.7,m,BERTONI Alessandra,1991,CF,ANA ATL.FELTRE,3 se- 2,Belluno,2005-04-23,https://www.fidal.it/atleta/BERTONI-Alessandra/eKmRlJKlamw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,13.95,13.7,m,BERTONI Alessandra,1991,CF,ANA ATL.FELTRE,5 se- 1,Tezze Sul Brenta,2005-09-18,https://www.fidal.it/atleta/BERTONI-Alessandra/eKmRlJKlamw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,14.05,13.8,m,BERTONI Alessandra,1991,CF,ANA ATL.FELTRE,2 se- 1,Bassano Del Grappa,2005-10-15,https://www.fidal.it/atleta/BERTONI-Alessandra/eKmRlJKlamw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,1512.25,25:12,m,STACH Marta,1995,AF,ANA ATL.FELTRE,5 su- 1,Caorle,2012-06-02,https://www.fidal.it/atleta/STACH-Marta/eKmRlJKna2Q%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
