punteggio,prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
938,14.73,+2.6,14.73,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,3 se- 1,Caorle,2024-05-25,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
918,14.85,+0.5,14.85,e,ROLDO Demis,1985,SM,ANA ATL.FELTRE,1 su- 1,Codroipo,2017-06-02,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
916,14.86,+1.7,14.86,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,5 ba- 3,Rieti,2024-07-27,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
908,14.91,+1.7,14.91,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,5 ba- 1,Brescia,2024-06-16,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
901,14.95,+0.0,14.95,e,ROLDO Demis,1985,SM,ANA ATL.FELTRE,4 se- 1,Bussolengo,2018-05-26,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
896,14.98,-1.1,14.98,e,ROLDO Demis,1985,SM,ANA ATL.FELTRE,1 se- 1,Arzignano,2017-06-24,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
883,15.06,+0.1,15.06,e,ROLDO Demis,1985,SM,ANA ATL.FELTRE,7 ba- 2,Trieste,2017-07-01,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
881,15.07,+0.3,15.07,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,2 su- 1,Rovereto,2024-05-01,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
878,15.09,+0.0,15.09,e,ROLDO Demis,1985,SM,ANA ATL.FELTRE,2 se- 1,Treviso,2018-05-23,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
872,15.13,+0.0,15.13,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,7 ba- 2,La Spezia,2024-06-29,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
