punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
986,53.0,53.00,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,7 ba- 7,Barcellona,2012-07-11,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
977,53.19,53.19,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,2 fi- 1,Misano Adriatico,2012-06-17,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
958,53.61,53.61,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,1 su- 1,Bassano Del Grappa,2012-09-16,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
948,53.81,53.81,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,2 su- 1,Cles,2012-06-07,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
938,54.04,54.04,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,1 se- 2,Caorle,2012-06-03,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
934,54.14,54.14,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,2 se- 2,Osimo,2012-06-09,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
920,54.45,54.45,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,1 ba- 1,Misano Adriatico,2012-06-16,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
919,54.46,54.46,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,3 se- 2,Treviso,2012-05-30,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
891,55.09,55.09,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,1 su- 1,Marcon,2012-05-06,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
880,55.35,55.35,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,2 se- 1,Caorle,2011-06-12,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
