punteggio,prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
769,10.55,-0.2,FONTANA Stefania,1994,JF,ANA ATL.FELTRE,9 su- 1,Vicenza,2012-05-19,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
768,10.54,+0.4,COLUSSI Ilary,2006,AF,ANA ATL.FELTRE,3 su- 1,Pordenone,2023-09-30,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
765,13.19,+2.0,ZIVOJINOVIC Milan,2001,PM,ANA ATL.FELTRE,14 su- 1,Padova,2022-05-14,https://www.fidal.it/atleta/ZIVOJINOVIC-Milan/eK6Rkpqja2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
748,10.34,+0.4,ANDREOLI Vittoria,2007,AF,ANA ATL.FELTRE,9 su- 1,San Biagio Di Callalta,2023-04-29,https://www.fidal.it/atleta/ANDREOLI-Vittoria/eKmRlJmmbWw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
746,10.32,+0.4,FONTANA Stefania,1994,AF,ANA ATL.FELTRE,4 su- 1,Bastia Umbra,2011-06-11,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
745,10.31,+1.1,COLUSSI Ilary,2006,AF,ANA ATL.FELTRE,10 se- 2,Borgo Valbelluna,2023-05-06,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
739,10.24,-0.2,ANDREOLI Vittoria,2007,AF,ANA ATL.FELTRE,4 su- 1,Pordenone,2023-09-30,https://www.fidal.it/atleta/ANDREOLI-Vittoria/eKmRlJmmbWw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
736,10.21,,FONTANA Stefania,1994,CF,ANA ATL.FELTRE,1 se- 1,Belluno,2008-08-26,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
727,10.12,-0.7,MAHJOUBI Gaia,2004,AF,ANA ATL.FELTRE,9 su- 1,Cles,2021-09-25,https://www.fidal.it/atleta/MAHJOUBI-Gaia/eKmRlJejamY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
725,10.1,+0.2,COLUSSI Ilary,2006,AF,ANA ATL.FELTRE,14 su- 1,Vittorio Veneto,2022-05-28,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
725,12.8,-0.1,BIESUZ Enrico,2002,AM,ANA ATL.FELTRE,4 su- 1,Bovolone,2018-09-29,https://www.fidal.it/atleta/BIESUZ-Enrico/eKmRlJSjb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
721,12.76,+0.2,BIESUZ Enrico,2002,CM,ANA ATL.FELTRE,11 se- 2,Cles,2017-10-07,https://www.fidal.it/atleta/BIESUZ-Enrico/eKmRlJSjb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
720,10.05,+1.1,COLUSSI Ilary,2006,AF,ANA ATL.FELTRE,8 su- 1,Caorle,2022-05-21,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
709,9.94,+0.2,FONTANA Stefania,1994,AF,ANA ATL.FELTRE,4 su- 1,Vicenza,2011-05-21,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
707,9.92,+0.6,FONTANA Stefania,1994,AF,ANA ATL.FELTRE,7 su- 1,Rovigo,2011-05-07,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
704,9.89,+0.5,MAHJOUBI Gaia,2004,AF,ANA ATL.FELTRE,15 su- 1,San Biagio Di Callalta,2021-05-01,https://www.fidal.it/atleta/MAHJOUBI-Gaia/eKmRlJejamY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
700,9.85,-0.8,ANDREOLI Vittoria,2007,AF,ANA ATL.FELTRE,14 se- 2,Borgo Valbelluna,2023-05-06,https://www.fidal.it/atleta/ANDREOLI-Vittoria/eKmRlJmmbWw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
695,12.51,+0.0,BIESUZ Enrico,2002,AM,ANA ATL.FELTRE,9 su- 1,San Biagio Di Callalta,2018-05-12,https://www.fidal.it/atleta/BIESUZ-Enrico/eKmRlJSjb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
694,12.5,+1.4,SARTORI Tommaso,1995,AM,ANA ATL.FELTRE,9 su- 1,Bastia Umbra,2012-06-23,https://www.fidal.it/atleta/SARTORI-Tommaso/eKmRlJKkaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
692,9.77,,GIUSTI Lovely,2009,CF,ANA ATL.FELTRE,1 su- 1,Borgo Valbelluna,2023-04-15,https://www.fidal.it/atleta/GIUSTI-Lovely/eKmRlJiiaWg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
691,12.47,,BIESUZ Enrico,2002,CM,ANA ATL.FELTRE,1 se- 1,Agordo,2017-09-30,https://www.fidal.it/atleta/BIESUZ-Enrico/eKmRlJSjb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
