punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
,209.61,3:29.61,e,COSTA Edgard,1999,CM,ANA ATL.FELTRE,9 se- 3,Borgo Valsugana,2014-10-12,https://www.fidal.it/atleta/COSTA-Edgard/eKmRlJSjbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,210.3,3:30.30,e,COSTA Edgard,1999,CM,ANA ATL.FELTRE,1 se- 1,Caprino Veronese,2014-09-28,https://www.fidal.it/atleta/COSTA-Edgard/eKmRlJSjbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,212.06,3:32.06,e,COSTA Edgard,1999,CM,ANA ATL.FELTRE,1 su- 1,Feltre,2014-06-21,https://www.fidal.it/atleta/COSTA-Edgard/eKmRlJSjbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,217.14,3:37.14,e,COSTA Edgard,1999,CM,ANA ATL.FELTRE,1 su- 1,Pordenone,2014-10-04,https://www.fidal.it/atleta/COSTA-Edgard/eKmRlJSjbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,217.76,3:37.76,e,BONAN Marco,2000,CM,ANA ATL.FELTRE,2 su- 1,Pordenone,2014-10-04,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,218.95,3:38.7,m,COSTA Edgard,1999,CM,ANA ATL.FELTRE,1 se- 1,Feltre,2014-09-23,https://www.fidal.it/atleta/COSTA-Edgard/eKmRlJSjbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,220.22,3:40.22,e,BONAN Marco,2000,CM,ANA ATL.FELTRE,1 se- 2,Caprino Veronese,2014-09-28,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,225.95,3:45.7,m,COSTA Edgard,1999,CM,ANA ATL.FELTRE,1 se- 1,Belluno,2014-05-18,https://www.fidal.it/atleta/COSTA-Edgard/eKmRlJSjbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,228.27,3:48.27,e,BONAN Marco,2000,CM,ANA ATL.FELTRE,7 se- 1,Belluno,2014-06-08,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,232.15,3:51.9,m,BONAN Marco,2000,CM,ANA ATL.FELTRE,3 se- 1,Belluno,2014-05-18,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,240.89,4:00.89,e,CORSO Lorenzo,1999,CM,ANA ATL.FELTRE,13 su- 1,Feltre,2014-06-21,https://www.fidal.it/atleta/CORSO-Lorenzo/eKmRlJWkbWc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,261.91,4:21.91,e,D'ALBERTO Arianna,2000,CF,ANA ATL.FELTRE,3 su- 1,Pordenone,2014-10-04,https://www.fidal.it/atleta/D-ALBERTO-Arianna/eKmRlJWmaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,263.85,4:23.6,m,D'ALBERTO Arianna,2000,CF,ANA ATL.FELTRE,1 se- 1,Belluno,2014-05-18,https://www.fidal.it/atleta/D-ALBERTO-Arianna/eKmRlJWmaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,264.19,4:24.19,e,D'ALBERTO Arianna,2000,CF,ANA ATL.FELTRE,5 se- 1,Belluno,2014-06-08,https://www.fidal.it/atleta/D-ALBERTO-Arianna/eKmRlJWmaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,267.4,4:27.40,e,D'ALBERTO Arianna,2000,CF,ANA ATL.FELTRE,7 su- 1,Feltre,2014-06-21,https://www.fidal.it/atleta/D-ALBERTO-Arianna/eKmRlJWmaGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,278.76,4:38.76,e,GIOPP Alessandra,2000,CF,ANA ATL.FELTRE,8 su- 1,Feltre,2014-06-21,https://www.fidal.it/atleta/GIOPP-Alessandra/eKmRlJWlbmM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,207.26,3:27.26,e,BONAN Marco,2000,CM,ANA ATL.FELTRE,1 su- 1,Trento,2015-09-19,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
,209.07,3:29.07,e,BONAN Marco,2000,CM,ANA ATL.FELTRE,1 su- 1,Marostica,2015-09-27,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
