punteggio,prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
912,560.25,9:20.25,e,POLESANA Federico,1994,PM,ANA ATL.FELTRE,4 su- 1,Fidenza,2015-05-22,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
903,562.35,9:22.35,e,BONAN Marco,2000,JM,ANA ATL.FELTRE,1 su- 1,Vittorio Veneto,2019-07-13,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
902,562.65,9:22.65,e,BONAN Marco,2000,JM,ANA ATL.FELTRE,12 su- 1,Bressanone,2019-07-28,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
899,563.36,9:23.36,e,BONAN Marco,2000,JM,ANA ATL.FELTRE,6 su- 1,Rieti,2019-06-07,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
896,564.27,9:24.27,e,POLESANA Federico,1994,PM,ANA ATL.FELTRE,6 su- 1,Rieti,2015-06-12,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
896,564.18,9:24.18,e,POLESANA Federico,1994,PM,ANA ATL.FELTRE,2 su- 1,Agordo,2016-05-21,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
891,565.54,9:25.54,e,POLESANA Federico,1994,PM,ANA ATL.FELTRE,1 su- 1,Marcon,2015-05-09,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
890,565.87,9:25.87,e,POLESANA Federico,1994,PM,ANA ATL.FELTRE,3 su- 1,Vicenza,2016-05-07,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
885,567.13,9:27.13,e,BONAN Marco,2000,JM,ANA ATL.FELTRE,5 su- 1,San Biagio Di Callalta,2019-05-11,https://www.fidal.it/atleta/BONAN-Marco/eKmRlJShbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
877,569.09,9:29.09,e,POLESANA Federico,1994,JM,ANA ATL.FELTRE,4 su- 1,Vicenza,2012-05-19,https://www.fidal.it/atleta/POLESANA-Federico/eKmRlJOoaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
