prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
8.64,,LELLA Federico,1988,AM,O.S.A. SARONNO LIB.,7 su- 1,Milano,2005-01-30,https://www.fidal.it/atleta/LELLA-Federico/drKRkpSmbmM%3D,https://www.fidal.it/societa/O-S-A--SARONNO-LIB-/VA119
12.62,,VISMARA Alessio,1986,JM,O.S.A. SARONNO LIB.,3 su- 1,Milano,2005-01-30,https://www.fidal.it/atleta/VISMARA-Alessio/dqiRlZSib2M%3D,https://www.fidal.it/societa/O-S-A--SARONNO-LIB-/VA119
8.89,,DOSSENA Riccardo,1989,AM,ATLETICA MILANESE,6 su- 1,Milano,2005-01-30,https://www.fidal.it/atleta/DOSSENA-Riccardo/dq2Rk5KmbGY%3D,https://www.fidal.it/societa/ATLETICA-MILANESE/MI456
12.86,,BARONIO Fabio,1986,JM,ATL. BERGAMO 1959,2 su- 1,Milano,2005-01-30,https://www.fidal.it/atleta/BARONIO-Fabio/dqmRlpincGo%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959/BG003
12.56,,ABATE Domenico,1987,JM,ATL. VIRTUS SENAGO,4 su- 1,Milano,2005-01-30,https://www.fidal.it/atleta/ABATE-Domenico/dq2Rkpmga2s%3D,https://www.fidal.it/societa/ATL--VIRTUS-SENAGO/MI062
10.17,,TAVOLA Dario,1987,JM,ATLETICA MILANESE,5 su- 1,Milano,2005-01-30,https://www.fidal.it/atleta/TAVOLA-Dario/dq2Rk5egaWY%3D,https://www.fidal.it/societa/ATLETICA-MILANESE/MI456
12.93,,POLIDORI Luca,1986,JM,C.U.S. PAVIA,1 su- 1,Milano,2005-01-30,https://www.fidal.it/atleta/POLIDORI-Luca/dqAAARlpuhaWU%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
12.06,,ABATE Domenico,1987,JM,ATL. VIRTUS SENAGO,2 se- 1,Milano,2005-02-13,https://www.fidal.it/atleta/ABATE-Domenico/dq2Rkpmga2s%3D,https://www.fidal.it/societa/ATL--VIRTUS-SENAGO/MI062
13.33,,POLIDORI Luca,1986,JM,C.U.S. PAVIA,1 se- 1,Milano,2005-02-13,https://www.fidal.it/atleta/POLIDORI-Luca/dqAAARlpuhaWU%3D,https://www.fidal.it/societa/C-U-S--PAVIA/PV108
14.7,,MASSA Alessio,1986,JM,POL JOLAO IGLESIAS,1 fi- 1,Carbonia,2005-03-06,https://www.fidal.it/atleta/MASSA-Alessio/iKiRk5OoaWg%3D,https://www.fidal.it/societa/POL-JOLAO-IGLESIAS/CA038
10.86,,PISU Marco,1987,JM,SS ESPERIA,2 fi- 1,Carbonia,2005-03-06,https://www.fidal.it/atleta/PISU-Marco/iKiSmJqjbmg%3D,https://www.fidal.it/societa/SS-ESPERIA/CA003
11.28,,VENTURELLI Marco,1986,JM,SS ESPERIA,1 fi- 1,Serramanna,2005-03-20,https://www.fidal.it/atleta/VENTURELLI-Marco/iKiRk5Wnb2Y%3D,https://www.fidal.it/societa/SS-ESPERIA/CA003
8.28,,PISU Marco,1987,JM,SS ESPERIA,2 fi- 1,Serramanna,2005-03-20,https://www.fidal.it/atleta/PISU-Marco/iKiSmJqjbmg%3D,https://www.fidal.it/societa/SS-ESPERIA/CA003
8.6,,VENTURELLI Marco,1986,JM,SS ESPERIA,2 fi- 1,Sanluri,2005-04-03,https://www.fidal.it/atleta/VENTURELLI-Marco/iKiRk5Wnb2Y%3D,https://www.fidal.it/societa/SS-ESPERIA/CA003
