disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
50m (I),6.40,,FANALE Svetlana,2000,A.S.D. C.U.S. PALERMO,1 ba- 1,Palermo,2025-01-11,https://www.fidal.it/atleta/FANALE-Svetlana/h66RkpSjcGg%3D,https://www.fidal.it/societa/A-S-D--C-U-S--PALERMO/PA001,SF,6.4,e
50m (I),6.48,,CONTRAN Ilaria,2005,SAFATLETICA PIEMONTE ASD,1 fi- 1,Fossano,2025-01-12,https://www.fidal.it/atleta/CONTRAN-Ilaria/dK6RlpKicWs%3D,https://www.fidal.it/societa/SAFATLETICA-PIEMONTE-ASD/TO226,PF,6.48,e
50m (I),6.49,,SUCCO Alessia,2009,ATLETICA SETTIMESE,1 ba- 5,Fossano,2025-01-25,https://www.fidal.it/atleta/SUCCO-Alessia/dK6Rl5encWY%3D,https://www.fidal.it/societa/ATLETICA-SETTIMESE/TO211,AF,6.49,e
50m (I),6.50,,FANTONI Gaia,2003,N. ATL. VARESE,1 ba- 1,Parma,2025-02-09,https://www.fidal.it/atleta/FANTONI-Gaia/drKRk5KfamQ%3D,https://www.fidal.it/societa/N--ATL--VARESE/VA130,PF,6.5,e
50m (I),6.50,,NERVETTI Eleonora,2002,BRACCO ATLETICA,1 fi- 1,Parma,2025-01-18,https://www.fidal.it/atleta/NERVETTI-Eleonora/eq2RkpSlbmM%3D,https://www.fidal.it/societa/BRACCO-ATLETICA/MI221,SF,6.5,e
50m (I),6.50,,APRILE Megane,2002,A.S.D. RUNNING MODICA,2 ba- 1,Palermo,2025-01-11,https://www.fidal.it/atleta/APRILE-Megane/h6AAARkpKncGs%3D,https://www.fidal.it/societa/A-S-D--RUNNING-MODICA/RG444,SF,6.5,e
50m (I),6.54,,DE PIETRI Greta,2002,ATL. REGGIO ASD,2 ba- 1,Parma,2025-01-18,https://www.fidal.it/atleta/DE-PIETRI-Greta/erGRkpakamk%3D,https://www.fidal.it/societa/ATL--REGGIO-ASD/RE128,SF,6.54,e
60m (I),7.08,,DOSSO Zaynab,1999,G.S. FIAMME AZZURRE,1 ba- 2,Belgrado,2025-01-29,https://www.fidal.it/atleta/DOSSO-Zaynab/erGRkpSibWo%3D,https://www.fidal.it/societa/G-S--FIAMME-AZZURRE/RM002,SF,7.08,e
60m (I),7.19,,DOUALLA EDIMO Kelly ann maevane,2009,CUS PRO PATRIA MILANO,1 fi- 1,Ancona,2025-02-08,https://www.fidal.it/atleta/DOUALLA-EDIMO-Kelly-ann-maevane/dq2RmpSmaGo%3D,https://www.fidal.it/societa/CUS-PRO-PATRIA-MILANO/MI077,AF,7.19,e
60m (I),7.32,,OBIJIAKU Ugochinyere amanda,2003,A.S. ATLETICA VIRTUS LUCCA,2 fi- 1,Manhattan,2025-02-07,https://www.fidal.it/atleta/OBIJIAKU-Ugochinyere-amanda/fa2RkpifaGc%3D,https://www.fidal.it/societa/A-S--ATLETICA-VIRTUS-LUCCA/LU100,PF,7.32,e
