disciplina,tempo,vento,atleta,anno,società,posizione,luogo,data,link_atleta,link_società,categoria,prestazione,cronometraggio
50m (I),5.81,,LAI Luca,1992,ATHLETIC CLUB 96 ALPERIA,1 fi- 1,Parma,2025-02-01,https://www.fidal.it/atleta/LAI-Luca/iKiRlJOja2Y%3D,https://www.fidal.it/societa/ATHLETIC-CLUB-96-ALPERIA/BZ066,SM,5.81,e
50m (I),5.85,,FORNESI Tommaso,2000,TOSCANA ATLETICA JOLLY,2 fi- 1,Parma,2025-02-01,https://www.fidal.it/atleta/FORNESI-Tommaso/fbORkpKocGU%3D,https://www.fidal.it/societa/TOSCANA-ATLETICA-JOLLY/FI018,SM,5.85,e
50m (I),5.87,,DONOLA Mattia,2000,C.S. CARABINIERI SEZ. ATLETICA,3 fi- 1,Parma,2025-02-01,https://www.fidal.it/atleta/DONOLA-Mattia/dq2RlZaha2U%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011,SM,5.87,e
50m (I),5.88,,FAVARI Mattia,2004,ATL. PIACENZA,1 fi- 1,Parma,2025-01-18,https://www.fidal.it/atleta/FAVARI-Mattia/eq2RkpefaGg%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084,PM,5.88,e
50m (I),5.88,,SANCIN Enrico,2002,TRIESTE ATLETICA,1 fi- 2,Parma,2025-02-01,https://www.fidal.it/atleta/SANCIN-Enrico/eauRk5Kjb2o%3D,https://www.fidal.it/societa/TRIESTE-ATLETICA/TS044,SM,5.88,e
60m (I),6.61,,AWUAH BAFFOUR Stephen,2003,BATTAGLIO C.U.S. TORINO ATL,1 ba- 1,Sheffield,2025-01-25,https://www.fidal.it/atleta/AWUAH-BAFFOUR-Stephen/dK6RmJWmaGc%3D,https://www.fidal.it/societa/BATTAGLIO-C-U-S--TORINO-ATL/TO001,PM,6.61,e
60m (I),6.63,,JACOBS Lamont marcell,1994,G.S. FIAMME ORO PADOVA,4 fi- 1,Boston,2025-02-02,https://www.fidal.it/atleta/JACOBS-Lamont-marcell/dqqRlpuiaWs%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131,SM,6.63,e
60m (I),6.63,,BANDAOGO Yassin,2004,G.S. FIAMME ORO PADOVA,1 fi- 1,Ancona,2025-02-01,https://www.fidal.it/atleta/BANDAOGO-Yassin/eK6Rk5Smb2w%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131,PM,6.63,e
60m (I),6.63,,RANDAZZO Filippo,1996,G.A. FIAMME GIALLE,1 fi- 1,Ancona,2025-01-18,https://www.fidal.it/atleta/RANDAZZO-Filippo/h6iRlpaobWM%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SM,6.63,e
60m (I),6.64,,CECCARELLI Samuele,2000,G.S. FIAMME ORO PADOVA,5 fi- 1,Dusseldorf,2025-02-09,https://www.fidal.it/atleta/CECCARELLI-Samuele/fa6RkpOgaWw%3D,https://www.fidal.it/societa/G-S--FIAMME-ORO-PADOVA/PD131,SM,6.64,e
60m (I),6.65,,CAPPELLETTI Filippo,2003,ATL. O.S.A. SARONNO LIB.,1 fi- 1,Padova,2025-01-19,https://www.fidal.it/atleta/CAPPELLETTI-Filippo/drKRkpqmaWs%3D,https://www.fidal.it/societa/ATL--O-S-A--SARONNO-LIB-/VA119,PM,6.65,e
60m (I),6.65,,MELLUZZO Matteo,2002,G.A. FIAMME GIALLE,3 fi- 1,Ancona,2025-01-18,https://www.fidal.it/atleta/MELLUZZO-Matteo/h7GRkpKka2s%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056,SM,6.65,e
60m (I),6.70,,TARDIOLI Junior,2003,ATL.STUD. RIETI ANDREA MILARDI,2 fi- 1,Ancona,2025-02-01,https://www.fidal.it/atleta/TARDIOLI-Junior/fqmRkpujamM%3D,https://www.fidal.it/societa/ATL-STUD--RIETI-ANDREA-MILARDI/RI223,PM,6.7,e
