"COD","Società"
"AG051","A.S.D. POL. ATHLON RIBERA"
"AG052","A.S.D. POL. AGATOCLE SCIACCA"
"AG075","A.S.D.G.S. VALLE DEI TEMPLI AG"
"AG200","A.S.D. SCIACCA RUNNING"
"AG228","A.S.D. OLIMPUS KERKENT RUNNERS"
"AG239","A.S.ATL. ARCOBALENO MONTAL."
"AG289","A.S.D. AIRONE CASTELTERMINI"
"AG300","A.S.D. FLG GRANDI EVENTI"
"AG331","ASS. CULT. S.D. PROMOTOR"
"AG350","A.C.S.D. NEW TIME CANICATTI'"
"AG407","A.S. DIL. POL.  MENFI '95"
"AG447","A.S.D. PRO SPORT RAVANUSA"
"AG463","A.S.D. ATLETICA CANICATTI"
"AG487","A.S.D. PASSIONE CORSA RIBERA"
"AG489","ATLETICAROSAMARIA"
"AG495","ATLETICA LICATA"
"AG503","A.S. DILETT. LA TARTARUGA"
"AG505","A.S.D.PROSPORT CASTROFILIPPO"
"AG639","A.S.D. MARATHON TEAM CANICATTI"
"AG641","A.S.D. CAMPOBELLO CORRE"
"AG644","A.S. DILETT. AMATORI ARAGONA"
"AL001","ATL. ALESSANDRIA"
"AL002","A.T.A."
"AL003","DERTHONA ATLETICA"
"AL004","A.S.D. ATL. SERRAVALLESE"
"AL005","ATL. OVADESE ORMIG"
"AL006","A.S.D. ACCADEMIATLETICA"
"AL007","ATL. NOVESE"
"AL010","G.P. BOGGERI ARQUATA SCRIVIA"
"AL011","ASD VERDENERO"
"AL012","G.S.D. SAI  FRECCE BIANCHE POD"
"AL017","JUNIORATLETICA ASD"
"AL023","ATLETICA ALERAMICA"
"AL025","POLISPORTIVA GALILEO GALILEI"
"AL026","G.P. SOLVAY"
"AL028","ACQUIRUNNERS"
"AL030","AZALAI A.S.D."
"AL031","BIO CORRENDO AVIS"
"AL032","APS LA FENICE ASD"
"AL033","A.S.D. FRECCE BIANCHE"
"AL034","0131RUN OF MADE A.S.D."
"AL037","A.S.D AIRONE TRIATHLON"
"AN001","ATLETICA OSIMO"
"AN002","A.ATL. FABRIANO"
"AN003","A.S.ATLETICA FALCONARA"
"AN005","ATL. VALLESINA"
"AN007","ATL. CHIARAVALLE"
"AN009","ATL. AMAT. AVIS CASTELFIDARDO"
"AN010","S.E.F. STAMURA ANCONA A.S.D."
"AN011","ATL. ENDAS ANCONA"
"AN015","SPORT D.L.F. ANCONA"
"AN016","ATL.CASTELFIDARDO CRIMINESI"
"AN017","NUOVA PODISTICA LORETO"
"AN018","ATL.AMAT.OSIMO"
"AN019","POL.CANDIA BARACCOLA ASPIO"
"AN022","S.ATL. SENIGALLIA"
"AN028","G.S. GIANNINO PIERALISI"
"AN032","ATL. JESI"
"AN034","POL. FUTURA OSIMO"
"AN037","ATLETICA FABRIANO - OSIMO"
"AN040","POLISPORTIVA EXTRA"
"AN042","A.S.D.  C.S. FILOTTRANO  ATLET"
"AN046","UPR MONTEMARCIANO SSD"
"AN048","A.S.D.PODISTICA AVIS FABRIANO"
"AN049","ASD SPACE RUNNING"
"AN050","A.S.D. PODISTICA VALMISA"
"AN054","TRECASTELLI POLISPORTIVA ASD"
"AO001","ATLETICA COGNE AOSTA"
"AO002","ATLETICA PONT DONNAS"
"AO003","ATLETICA MONTEROSA FOGU ARNAD"
"AO004","ATLETICA SANDRO CALVESI"
"AO006","POLISPORTIVA SANT'ORSO AOSTA"
"AO007","ATL. ZERBION ST-VINCENT CHAT"
"AO010","I GRIFONI - RAPPR. GDF"
"AO013","A.P.D. PONT-SAINT-MARTIN"
"AO015","ATLETIC TEAM 2000"
"AO016","R.A.S. COURMAYEUR"
"AO018","POLISPORTIVA CITTA' DI AOSTA"
