,punti TOT,100Hs_h84-8.50,100Hs_h84-8.50 p,lungo,lungo p,200m,200m p,atleta,link_atleta
1,3107.0,13.63,1031.0,6.97,1162.0,24.71,914.0,IAPICHINO Larissa,https://www.fidal.it/atleta/IAPICHINO-Larissa/faqRkpqka2U%3D
2,3060.0,13.35,1072.0,6.34,956.0,23.47,1032.0,GEREVINI Sveva,https://www.fidal.it/atleta/GEREVINI-Sveva/dqiSl5SkaWQ%3D
3,2981.0,13.83,1003.0,6.67,1062.0,24.68,916.0,DERKACH Dariya,https://www.fidal.it/atleta/DERKACH-Dariya/gKiRlZelcGw%3D
4,2972.0,12.98,1127.0,6.03,859.0,23.94,986.0,CATTANEO Micol,https://www.fidal.it/atleta/CATTANEO-Micol/dqiRlJWgcWU%3D
5,2965.0,13.33,1075.0,6.29,940.0,24.32,950.0,DOVERI Francesca,https://www.fidal.it/atleta/DOVERI-Francesca/faiRk5ikcWk%3D
6,2962.0,12.76,1161.0,6.01,853.0,24.34,948.0,BORSI Veronica,https://www.fidal.it/atleta/BORSI-Veronica/f6iRlZmhaGs%3D
7,2891.0,12.9,1140.0,6.13,890.0,25.28,861.0,BESANA Veronica,https://www.fidal.it/atleta/BESANA-Veronica/dquRkpmfamM%3D
8,2878.0,13.76,1013.0,6.24,924.0,24.42,941.0,BETTINI Elisa,https://www.fidal.it/atleta/BETTINI-Elisa/dqiRlJOocGk%3D
9,2875.0,14.12,961.0,6.35,959.0,24.27,955.0,RICCARDI Giulia,https://www.fidal.it/atleta/RICCARDI-Giulia/d6iRk5SoaGU%3D
10,2863.0,13.78,1010.0,6.24,924.0,24.54,929.0,TREVISAN Elisa,https://www.fidal.it/atleta/TREVISAN-Elisa/eKiRkpeibGY%3D
11,2851.0,14.35,929.0,6.72,1079.0,25.48,843.0,STRATI Laura,https://www.fidal.it/atleta/STRATI-Laura/eKiRlZKnaGs%3D
12,2836.0,14.55,902.0,6.32,949.0,23.96,985.0,FIORESE Beatrice,https://www.fidal.it/atleta/FIORESE-Beatrice/eK6RkpSocGU%3D
13,2808.0,13.66,1027.0,6.1,880.0,24.85,901.0,GIOVANNINI Marta giaele,https://www.fidal.it/atleta/GIOVANNINI-Marta-giaele/faiSk5KjbGk%3D
14,2806.0,15.34,797.0,6.55,1023.0,23.95,986.0,BATTISTELLA Arianna,https://www.fidal.it/atleta/BATTISTELLA-Arianna/eK6Rkpqob2M%3D
15,2794.0,14.41,921.0,6.46,994.0,25.09,879.0,CESTONARO Ottavia,https://www.fidal.it/atleta/CESTONARO-Ottavia/eK6RkpKobWU%3D
16,2791.0,13.02,1121.0,6.04,862.0,25.88,808.0,MOSETTI Nicla,https://www.fidal.it/atleta/MOSETTI-Nicla/eauRkpuiaGw%3D
17,2785.0,13.51,1049.0,6.12,887.0,25.42,849.0,CUCCU' Martina,https://www.fidal.it/atleta/CUCCU-Martina/e62RkpKob2s%3D
18,2781.0,13.38,1068.0,5.61,732.0,24.0,981.0,LATINI Giulia,https://www.fidal.it/atleta/LATINI-Giulia/f6iRl5ahb2M%3D
19,2779.0,13.4,1065.0,5.46,688.0,23.53,1026.0,FOLORUNSO Ayomide temilade,https://www.fidal.it/atleta/FOLORUNSO-Ayomide-temilade/eq6RkpOla2k%3D
20,2772.0,12.89,1141.0,5.45,686.0,24.38,945.0,CARRARO Elena,https://www.fidal.it/atleta/CARRARO-Elena/dqqRmJKicGk%3D
21,2766.0,14.36,928.0,6.24,924.0,24.71,914.0,OBERTO Laura,https://www.fidal.it/atleta/OBERTO-Laura/dK6RlJqjaWk%3D
22,2740.0,14.53,905.0,6.19,908.0,24.57,927.0,NASELLA Flavia,https://www.fidal.it/atleta/NASELLA-Flavia/f6iRmJmmcGs%3D
23,2739.0,14.68,884.0,6.37,965.0,24.96,890.0,ZANON Veronica,https://www.fidal.it/atleta/ZANON-Veronica/eKqRkpOmb2k%3D
24,2723.0,14.52,906.0,6.14,893.0,24.6,924.0,SERAMONDI Alessia,https://www.fidal.it/atleta/SERAMONDI-Alessia/dqqRl5iib2g%3D
25,2722.0,13.58,1039.0,6.19,908.0,26.25,775.0,FERRARI Sandra milena,https://www.fidal.it/atleta/FERRARI-Sandra-milena/erGRkpWiaWU%3D
26,2698.0,14.44,917.0,6.17,902.0,25.08,879.0,BIANCHI BAZZI Sara,https://www.fidal.it/atleta/BIANCHI-BAZZI-Sara/dquRkpWkbGY%3D
27,2690.0,14.09,966.0,6.09,877.0,25.44,847.0,RICALI Cecilia,https://www.fidal.it/atleta/RICALI-Cecilia/dqiRlpefaWc%3D
28,2690.0,13.27,1084.0,5.66,747.0,25.3,859.0,GUARRIELLO Giulia,https://www.fidal.it/atleta/GUARRIELLO-Giulia/erGRkpSib2w%3D
29,2686.0,14.55,902.0,6.27,934.0,25.4,850.0,BRUGNOLO Greta,https://www.fidal.it/atleta/BRUGNOLO-Greta/eK2RkpijcWQ%3D
30,2683.0,14.65,888.0,5.98,843.0,24.3,952.0,BERTI Alessia,https://www.fidal.it/atleta/BERTI-Alessia/faiRk5encGU%3D
31,2662.0,14.07,968.0,5.92,825.0,25.19,869.0,FERRERO Eleonora,https://www.fidal.it/atleta/FERRERO-Eleonora/daiUlpakcGY%3D
32,2660.0,13.36,1071.0,5.67,750.0,25.53,839.0,POLZONETTI Celeste,https://www.fidal.it/atleta/POLZONETTI-Celeste/dq2RmZSlaWk%3D
33,2652.0,14.14,959.0,6.15,896.0,26.0,797.0,LUNARDON Alice,https://www.fidal.it/atleta/LUNARDON-Alice/eKqRkpSmbGk%3D
34,2650.0,14.71,880.0,6.1,880.0,24.97,890.0,BIANCHI BAZZI Sara elena,https://www.fidal.it/atleta/BIANCHI-BAZZI-Sara-elena/dquRkpWkbGY%3D
35,2647.0,14.18,953.0,5.91,822.0,25.16,872.0,CARBONCINI Matilde,https://www.fidal.it/atleta/CARBONCINI-Matilde/faqRkpambmY%3D
36,2642.0,14.17,954.0,5.84,801.0,25.0,887.0,MASSACCISI Jennifer,https://www.fidal.it/atleta/MASSACCISI-Jennifer/e6iRk5SlaGs%3D
37,2642.0,14.1,964.0,5.83,798.0,25.07,880.0,BIANCHI Carolina,https://www.fidal.it/atleta/BIANCHI-Carolina/eqiRlJSicWk%3D
38,2635.0,14.11,963.0,5.96,837.0,25.57,835.0,GENNARI Rebecca,https://www.fidal.it/atleta/GENNARI-Rebecca/drKRkpema2Y%3D
39,2626.0,14.24,945.0,6.24,924.0,26.47,757.0,CIPOLLONI Enrica,https://www.fidal.it/atleta/CIPOLLONI-Enrica/e6iRk5eibWM%3D
40,2624.0,14.11,963.0,6.1,880.0,26.19,781.0,SALA Chiara,https://www.fidal.it/atleta/SALA-Chiara/dKAAARlJOgb2Y%3D
41,2623.0,14.21,949.0,6.14,893.0,26.18,781.0,MENSI Glenda,https://www.fidal.it/atleta/MENSI-Glenda/dqiRk5KlaGk%3D
42,2621.0,13.75,1014.0,5.58,723.0,25.03,884.0,MARCOMIN Giorgia,https://www.fidal.it/atleta/MARCOMIN-Giorgia/drKRkpelcWk%3D
43,2605.0,14.37,927.0,6.06,868.0,25.85,810.0,BYLYKBASHI Alessia,https://www.fidal.it/atleta/BYLYKBASHI-Alessia/faiSkpmma2Q%3D
44,2605.0,14.9,855.0,6.29,940.0,25.85,810.0,DI LORETO Teresa,https://www.fidal.it/atleta/DI-LORETO-Teresa/gKiRlZajaGo%3D
45,2602.0,14.01,977.0,5.58,723.0,24.83,902.0,GARGANTINI Giulia,https://www.fidal.it/atleta/GARGANTINI-Giulia/dq2RlZShaGU%3D
46,2599.0,13.61,1034.0,6.33,953.0,28.24,612.0,CRIDA Veronica,https://www.fidal.it/atleta/CRIDA-Veronica/dKAAARlJOibWQ%3D
47,2598.0,14.3,936.0,5.92,825.0,25.55,837.0,BARBE' CORNALBA  Sofia,https://www.fidal.it/atleta/BARBE-CORNALBA-Sofia/dq2RlJuiamk%3D
48,2594.0,14.04,973.0,5.79,786.0,25.57,835.0,PALUMBO Federica,https://www.fidal.it/atleta/PALUMBO-Federica/dq2Rk5SfcWk%3D
49,2590.0,14.47,913.0,5.68,753.0,24.6,924.0,BOFFELLI Valentina,https://www.fidal.it/atleta/BOFFELLI-Valentina/eqiRkpOkcGY%3D
50,2588.0,14.08,967.0,5.92,825.0,26.01,796.0,PIETROGRANDE Alessandra,https://www.fidal.it/atleta/PIETROGRANDE-Alessandra/eKiRkpagbWs%3D
51,2584.0,15.36,795.0,6.33,953.0,25.56,836.0,PALEZZA Giada,https://www.fidal.it/atleta/PALEZZA-Giada/eK6RkpKfcWc%3D
52,2581.0,14.77,872.0,6.33,953.0,26.48,756.0,ALIVENTI Martina,https://www.fidal.it/atleta/ALIVENTI-Martina/e6qRkpSgaGc%3D
53,2574.0,14.27,941.0,5.81,792.0,25.5,841.0,VITALE Anabel,https://www.fidal.it/atleta/VITALE-Anabel/dayRkpOmaWQ%3D
54,2574.0,12.9,1140.0,5.01,562.0,25.16,872.0,DI LAZZARO Elisa maria,https://www.fidal.it/atleta/DI-LAZZARO-Elisa-maria/eauRkpuiaWQ%3D
55,2573.0,14.8,868.0,6.32,949.0,26.48,756.0,SMERALDO Chiara,https://www.fidal.it/atleta/SMERALDO-Chiara/daqRkpKgaGU%3D
56,2572.0,14.38,925.0,5.34,654.0,23.87,993.0,MARCHIANDO Eleonora,https://www.fidal.it/atleta/MARCHIANDO-Eleonora/jKiRlJWob2c%3D
57,2571.0,14.43,918.0,5.95,834.0,25.75,819.0,RENDINA Laura,https://www.fidal.it/atleta/RENDINA-Laura/f6iRlJKkamw%3D
58,2570.0,13.7,1021.0,5.91,822.0,26.82,727.0,BIONDA Anna,https://www.fidal.it/atleta/BIONDA-Anna/eauRk5Kka2Y%3D
59,2566.0,15.21,814.0,5.93,828.0,24.6,924.0,DI CUONZO Stefania,https://www.fidal.it/atleta/DI-CUONZO-Stefania/eqAAARkpSgcWs%3D
60,2564.0,15.21,814.0,6.08,874.0,25.12,876.0,AVINO Beatrice,https://www.fidal.it/atleta/AVINO-Beatrice/gKyRkpWlamM%3D
61,2563.0,14.0,978.0,5.66,747.0,25.54,838.0,QUAGLIERI Lucia,https://www.fidal.it/atleta/QUAGLIERI-Lucia/eqiRlpKfbmg%3D
62,2562.0,14.85,862.0,6.17,902.0,25.99,798.0,TRAVAR Milica,https://www.fidal.it/atleta/TRAVAR-Milica/dKAAARlJOgb2c%3D
63,2562.0,14.16,956.0,5.73,768.0,25.54,838.0,CALGARINI Chiara,https://www.fidal.it/atleta/CALGARINI-Chiara/eqAAARkpKjcWM%3D
64,2558.0,15.12,826.0,5.77,780.0,24.3,952.0,MORELLI Irene,https://www.fidal.it/atleta/MORELLI-Irene/drKRkpelaWU%3D
65,2558.0,14.5,909.0,5.69,756.0,24.93,893.0,MONTAGNA Sofia,https://www.fidal.it/atleta/MONTAGNA-Sofia/dqAAARl5KhbGY%3D
66,2556.0,14.57,899.0,5.93,828.0,25.64,829.0,CRIPPA Chiara,https://www.fidal.it/atleta/CRIPPA-Chiara/dqmRl5Kibmg%3D
67,2553.0,13.54,1044.0,5.45,686.0,25.71,823.0,TAINI Silvia,https://www.fidal.it/atleta/TAINI-Silvia/dqqRl5Sfa2k%3D
