,punti TOT,100m,100m p,800m,800m p,atleta,link_atleta
1,2126.0,23.52,1027.0,121.09,1099.0,REINA Daniela,https://www.fidal.it/atleta/REINA-Daniela/e6iRkpKkaWQ%3D
2,2101.0,23.74,1006.0,121.35,1095.0,MILANI Marta,https://www.fidal.it/atleta/MILANI-Marta/dqiRlpanaWc%3D
3,2054.0,13.35,1072.0,128.84,982.0,GEREVINI Sveva,https://www.fidal.it/atleta/GEREVINI-Sveva/dqiSl5SkaWQ%3D
4,2051.0,24.64,920.0,119.07,1131.0,COIRO Eloisa,https://www.fidal.it/atleta/COIRO-Eloisa/f6yRk5mjaGk%3D
5,2017.0,13.33,1075.0,131.55,942.0,DOVERI Francesca,https://www.fidal.it/atleta/DOVERI-Francesca/faiRk5ikcWk%3D
6,2009.0,23.77,1003.0,127.19,1006.0,SPACCA Maria enrica,https://www.fidal.it/atleta/SPACCA-Maria-enrica/f6iRlpWha2M%3D
7,2008.0,23.37,1042.0,129.92,966.0,CHIGBOLU Maria benedicta,https://www.fidal.it/atleta/CHIGBOLU-Maria-benedicta/f6iRmJufbGU%3D
8,1966.0,23.85,995.0,129.55,971.0,BONORA Alessandra,https://www.fidal.it/atleta/BONORA-Alessandra/dqqRl5mhaWs%3D
9,1961.0,12.07,939.0,126.15,1022.0,ALMICI Alexandra,https://www.fidal.it/atleta/ALMICI-Alexandra/dqqRl5ejaGc%3D
10,1958.0,25.69,824.0,118.89,1134.0,BELLO' Elena,https://www.fidal.it/atleta/BELLO-Elena/eK6Rkpajb2c%3D
11,1956.0,25.05,882.0,122.74,1074.0,RIVA Antonella,https://www.fidal.it/atleta/RIVA-Antonella/eqiRk5Sha2U%3D
12,1942.0,24.53,930.0,126.82,1012.0,ROSATI Martina,https://www.fidal.it/atleta/ROSATI-Martina/daiRk5SjbWg%3D
13,1937.0,12.42,873.0,123.35,1064.0,TROIANI Serena,https://www.fidal.it/atleta/TROIANI-Serena/drKRkpenbGk%3D
14,1935.0,25.59,833.0,120.88,1102.0,VANDI Eleonora,https://www.fidal.it/atleta/VANDI-Eleonora/e6iRk5eoaGc%3D
